
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending August 17, 2002 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	555	331	9	16	2	-	20,960	22,589													
NEW ENGLAND	-	2	-	-	-	-	1,222	1,531													
Maine	-	-	-	-	-	-	93	132													
N.H.	-	-	-	-	-	-	77	121													
Vt.	-	-	-	-	-	-	42	45													
Mass.	-	2	-	-	-	-	670	892													
R.I.	-	-	-	-	-	-	95	64													
Conn.	-	-	-	-	-	-	245	277													
MID. ATLANTIC	32	15	4	7	-	-	2,528	3,039													
Upstate N.Y.	8	-	2	1	-	-	843	700													
N.Y. City	6	1	-	5	-	-	739	780													
N.J.	8	4	2	1	-	-	343	763													
Pa.	10	10	-	-	-	-	603	796													
E.N. CENTRAL	14	14	-	2	-	-	3,222	3,163													
Ohio	10	1	-	-	-	-	823	848													
Ind.	2	1	-	-	-	-	290	316													
Ill.	-	12	-	2	-	-	1,024	915													
Mich.	2	-	-	-	-	-	570	556													
Wis.	-	-	-	-	-	-	515	528													
W.N. CENTRAL	75	47	-	3	-	-	1,452	1,301													
Minn.	-	-	-	-	-	-	340	388													
Iowa	1	2	-	1	-	-	248	199													
Mo.	68	43	-	1	-	-	522	328													
N. Dak.	-	-	-	-	-	-	25	37													
S. Dak.	-	2	-	-	-	-	59	80													
Nebr.	4	-	-	-	-	-	70	99													
Kans.	2	-	-	1	-	-	188	170													
S. ATLANTIC	286	156	-	3	-	-	5,519	5,058													
Del.	2	1	-	-	-	-	40	57													
Md.	38	29	-	-	-	-	565	477													
D.C.	-	-	-	-	-	-	48	55													
Va.	19	16	-	-	-	-	562	858													
W. Va.	1	-	-	-	-	-	80	74													
N.C.	165	83	-	-	-	-	709	701													
S.C.	37	16	-	2	-	-	324	488													
Ga.	18	8	-	-	-	-	1,019	947													
Fla.	6	3	-	1	-	-	2,172	1,401													
E.S. CENTRAL	51	67	-	-	1	-	1,495	1,324													
Ky.	3	2	-	-	-	-	207	205													
Tenn.	36	46	-	-	1	-	398	326													
Ala.	12	10	-	-	-	-	440	381													
Miss.	-	9	-	-	-	-	450	412													
W.S. CENTRAL	82	22	2	-	-	-	1,222	2,716													
Ark.	21	4	-	-	-	-	500	409													
La.	-	2	-	-	-	-	183	473													
Okla.	61	16	-	-	-	-	268	237													
Tex.	-	-	2	-	-	-	271	1,597													
MOUNTAIN	10	8	-	-	-	-	1,262	1,332													
Mont.	1	1	-	-	-	-	63	47													
Idaho	-	1	-	-	-	-	85	89													
Wyo.	3	2	-	-	-	-	38	45													
Colo.	1	-	-	-	-	-	303	365													
N. Mex.	-	1	-	-	-	-	174	162													
Ariz.	-	-	-	-	-	-	356	370													
Utah	-	3	-	-	-	-	113	135													
Nev.	5	-	-	-	-	-	130	119													
PACIFIC	5	-	3	1	1	-	3,038	3,125													
Wash.	-	-	-	-	-	-	280	301													
Oreg.	2	-	-	-	-	-	235	188													
Calif.	3	-	3	-	-	-	2,305	2,387													
Alaska	-	-	-	-	-	-	41	27													
Hawaii	-	-	-	1	1	-	177	222													
Guam	-	-	-	-	-	-	-	18													
P.R.	-	-	-	3	-	-	120	606													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	24	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


