
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 31, 2002 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	10,212	12,097	3,054	2,691	1,523	1,990	163	306													
NEW ENGLAND	202	211	146	170	12	94	2	32													
Maine	3	6	20	10	-	-	-	-													
N.H.	8	4	27	N	-	-	N	N													
Vt.	-	7	9	9	4	7	1	-													
Mass.	128	145	76	54	N	N	N	N													
R.I.	8	15	14	8	8	3	1	3													
Conn.	55	34	-	89	-	84	-	29													
MID. ATLANTIC	713	1,053	500	499	82	131	49	78													
Upstate N.Y.	180	370	231	209	72	125	49	78													
N.Y. City	258	291	125	141	U	U	U	U													
N.J.	148	208	102	98	N	N	N	N													
Pa.	127	184	42	51	10	6	-	-													
E.N. CENTRAL	1,089	2,923	547	632	162	134	68	83													
Ohio	445	1,935	174	162	31	-	1	-													
Ind.	63	157	40	49	126	134	42	39													
Ill.	366	399	105	208	2	-	-	44													
Mich.	115	207	228	162	3	-	N	N													
Wis.	100	225	-	51	N	N	25	-													
W.N. CENTRAL	760	1,086	186	273	159	107	36	48													
Minn.	155	320	96	120	48	49	36	40													
Iowa	94	312	-	-	N	N	N	N													
Mo.	120	198	37	56	6	9	-	-													
N. Dak.	15	20	-	11	1	5	-	8													
S. Dak.	150	122	11	9	1	3	-	-													
Nebr.	161	56	16	32	26	13	N	N													
Kans.	65	58	26	45	77	28	N	N													
S. ATLANTIC	3,964	1,615	602	455	939	1,068	3	4													
Del.	57	7	2	2	3	3	N	N													
Md.	774	105	98	N	N	N	N	N													
D.C.	40	43	6	15	48	5	1	3													
Va.	619	199	57	62	N	N	N	N													
W. Va.	7	8	16	18	34	37	2	1													
N.C.	235	245	103	120	N	N	U	U													
S.C.	67	202	27	9	139	218	N	N													
Ga.	1,032	211	137	147	257	306	N	N													
Fla.	1,133	595	156	82	458	499	N	N													
E.S. CENTRAL	845	1,047	74	82	103	195	-	-													
Ky.	88	408	13	29	12	23	N	N													
Tenn.	44	66	61	53	91	171	N	N													
Ala.	450	176	-	-	-	1	N	N													
Miss.	263	397	-	-	-	-	-	-													
W.S. CENTRAL	764	1,943	101	241	37	227	3	61													
Ark.	148	434	5	-	6	14	-	-													
La.	100	171	-	1	31	213	1	61													
Okla.	319	32	35	35	N	N	2	-													
Tex.	197	1,306	61	205	N	N	-	-													
MOUNTAIN	455	641	491	283	29	32	2	-													
Mont.	3	2	-	-	-	-	-	-													
Idaho	5	25	6	7	N	N	N	N													
Wyo.	6	3	7	7	9	5	-	-													
Colo.	87	160	164	120	-	-	-	-													
N. Mex.	88	78	77	60	19	25	-	-													
Ariz.	208	272	209	86	-	-	N	N													
Utah	26	44	28	3	1	-	2	-													
Nev.	32	57	-	-	-	2	-	-													
PACIFIC	1,420	1,578	407	56	-	2	-	-													
Wash.	101	138	65	-	-	-	N	N													
Oreg.	73	79	N	N	N	N	N	N													
Calif.	1,206	1,313	289	-	N	N	N	N													
Alaska	3	4	-	-	-	-	N	N													
Hawaii	37	44	53	56	-	2	-	-													
Guam	-	36	-	1	-	-	-	-													
P.R.	5	15	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


