
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending September 7, 2002 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	10,621	12,475	3,125	2,728	1,549	2,000	165	308													
NEW ENGLAND	213	221	149	172	14	95	2	32													
Maine	3	6	20	10	-	-	-	-													
N.H.	8	4	29	N	-	-	N	N													
Vt.	-	7	9	9	4	7	1	-													
Mass.	135	151	77	55	N	N	N	N													
R.I.	8	16	14	8	10	3	1	3													
Conn.	59	37	-	90	-	85	-	29													
MID. ATLANTIC	786	1,083	508	506	85	131	49	78													
Upstate N.Y.	193	384	237	212	75	125	49	78													
N.Y. City	265	298	125	141	U	U	U	U													
N.J.	197	213	103	101	N	N	N	N													
Pa.	131	188	43	52	10	6	-	-													
E.N. CENTRAL	1,129	3,030	552	640	167	135	69	84													
Ohio	452	2,009	174	162	33	-	1	-													
Ind.	64	157	41	49	129	135	43	40													
Ill.	391	419	105	210	2	-	-	44													
Mich.	119	214	232	168	3	-	N	N													
Wis.	103	231	-	51	N	N	25	-													
W.N. CENTRAL	769	1,115	189	281	159	108	36	48													
Minn.	158	323	98	126	48	50	36	40													
Iowa	97	313	-	-	N	N	N	N													
Mo.	122	218	38	58	6	9	-	-													
N. Dak.	15	20	-	11	1	5	-	8													
S. Dak.	150	122	11	9	1	3	-	-													
Nebr.	161	58	16	32	26	13	N	N													
Kans.	66	61	26	45	77	28	N	N													
S. ATLANTIC	4,091	1,650	613	457	952	1,073	4	5													
Del.	83	9	2	2	3	3	N	N													
Md.	798	109	99	N	N	N	N	N													
D.C.	40	43	6	15	48	5	1	3													
Va.	627	208	57	62	N	N	N	N													
W. Va.	8	8	16	18	36	37	3	2													
N.C.	242	253	105	122	N	N	U	U													
S.C.	69	204	29	9	139	220	N	N													
Ga.	1,044	221	137	147	257	309	N	N													
Fla.	1,180	595	162	82	469	499	N	N													
E.S. CENTRAL	876	1,086	74	83	103	196	-	-													
Ky.	91	433	13	29	12	23	N	N													
Tenn.	50	71	61	54	91	172	N	N													
Ala.	472	176	-	-	-	1	N	N													
Miss.	263	406	-	-	-	-	-	-													
W.S. CENTRAL	776	2,005	101	246	37	227	3	61													
Ark.	151	438	5	-	6	14	-	-													
La.	105	175	-	1	31	213	1	61													
Okla.	323	38	35	35	N	N	2	-													
Tex.	197	1,354	61	210	N	N	-	-													
MOUNTAIN	475	657	496	286	32	32	2	-													
Mont.	3	2	-	-	-	-	-	-													
Idaho	5	25	6	7	N	N	N	N													
Wyo.	6	4	7	8	9	5	-	-													
Colo.	91	166	165	121	-	-	-	-													
N. Mex.	96	83	77	61	22	25	-	-													
Ariz.	214	272	213	86	-	-	N	N													
Utah	26	45	28	3	1	-	2	-													
Nev.	34	60	-	-	-	2	-	-													
PACIFIC	1,506	1,628	443	57	-	3	-	-													
Wash.	101	142	65	-	-	-	N	N													
Oreg.	77	80	N	N	N	N	N	N													
Calif.	1,285	1,356	323	-	N	N	N	N													
Alaska	3	4	-	-	-	-	N	N													
Hawaii	40	46	55	57	-	3	-	-													
Guam	-	37	-	1	-	-	-	-													
P.R.	5	15	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


