
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 26, 2002 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	14,791	15,886	3,438	3,086	1,968	2,186	205	351													
NEW ENGLAND	275	270	163	193	18	105	2	37													
Maine	10	6	20	10	-	-	-	-													
N.H.	11	6	32	N	-	-	N	N													
Vt.	1	7	9	14	5	7	1	1													
Mass.	165	190	87	58	N	N	N	N													
R.I.	16	17	15	12	13	4	1	3													
Conn.	72	44	-	99	-	94	-	33													
MID. ATLANTIC	1,137	1,289	558	564	92	141	55	90													
Upstate N.Y.	251	420	256	227	80	134	55	90													
N.Y. City	355	356	133	155	U	U	U	U													
N.J.	332	246	118	115	N	N	N	N													
Pa.	199	267	51	67	12	7	-	-													
E.N. CENTRAL	1,502	3,756	596	697	186	154	86	105													
Ohio	553	2,505	188	177	45	1	11	-													
Ind.	84	186	46	56	136	153	50	48													
Ill.	579	520	105	221	2	-	-	57													
Mich.	151	269	257	192	3	-	N	N													
Wis.	135	276	-	51	N	N	25	-													
W.N. CENTRAL	882	1,541	211	321	409	130	46	53													
Minn.	191	360	108	143	292	58	46	44													
Iowa	111	332	-	-	N	N	N	N													
Mo.	158	276	41	68	5	9	-	-													
N. Dak.	15	20	-	17	1	6	-	9													
S. Dak.	150	410	12	11	1	3	-	-													
Nebr.	179	77	18	35	29	19	N	N													
Kans.	78	66	32	47	81	35	N	N													
S. ATLANTIC	5,453	2,197	702	508	1,044	1,163	7	5													
Del.	231	14	2	4	3	6	N	N													
Md.	966	130	120	N	N	N	N	N													
D.C.	48	51	6	21	48	5	1	3													
Va.	791	297	67	69	N	N	N	N													
W. Va.	9	8	19	18	37	37	6	2													
N.C.	368	305	111	131	N	N	U	U													
S.C.	102	227	34	10	165	238	N	N													
Ga.	1,284	378	149	161	267	354	N	N													
Fla.	1,654	787	194	94	524	523	N	N													
E.S. CENTRAL	1,189	1,459	98	101	116	210	-	-													
Ky.	143	684	18	35	14	24	N	N													
Tenn.	81	87	80	66	102	185	N	N													
Ala.	657	185	-	-	-	1	N	N													
Miss.	308	503	-	-	-	-	-	-													
W.S. CENTRAL	1,261	2,481	108	283	65	245	5	61													
Ark.	164	517	6	-	6	14	-	-													
La.	336	211	-	1	59	231	2	61													
Okla.	496	66	39	37	N	N	3	-													
Tex.	265	1,687	63	245	N	N	-	-													
MOUNTAIN	744	807	489	349	38	34	4	-													
Mont.	3	5	-	-	-	-	-	-													
Idaho	14	34	9	7	N	N	N	N													
Wyo.	8	7	7	11	9	5	-	-													
Colo.	154	218	125	135	-	-	-	-													
N. Mex.	185	108	93	72	29	27	-	-													
Ariz.	308	318	226	121	-	-	N	N													
Utah	29	49	29	3	-	-	4	-													
Nev.	43	68	-	-	-	2	-	-													
PACIFIC	2,348	2,086	513	70	-	4	-	-													
Wash.	140	174	65	-	-	-	N	N													
Oreg.	98	98	N	N	N	N	N	N													
Calif.	2,051	1,755	358	-	N	N	N	N													
Alaska	6	6	-	-	-	-	N	N													
Hawaii	53	53	90	70	-	4	-	-													
Guam	-	42	-	1	-	-	-	-													
P.R.	7	16	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


