
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 23, 2002 (WEEK 47)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	16,914	17,506	3,656	3,300	2,095	2,325	243	381													
NEW ENGLAND	298	283	171	209	18	116	3	41													
Maine	10	6	20	12	-	-	-	-													
N.H.	11	6	35	N	-	-	N	N													
Vt.	1	7	10	15	5	7	2	1													
Mass.	178	198	91	63	N	N	N	N													
R.I.	17	17	15	12	13	4	1	3													
Conn.	81	49	-	107	-	105	-	37													
MID. ATLANTIC	1,278	1,381	594	608	103	151	67	98													
Upstate N.Y.	299	442	268	240	85	144	65	98													
N.Y. City	405	382	136	157	U	U	U	U													
N.J.	349	257	128	132	N	N	N	N													
Pa.	225	300	62	79	18	7	2	-													
E.N. CENTRAL	1,646	4,042	660	733	216	169	106	119													
Ohio	602	2,686	195	187	67	3	23	-													
Ind.	95	213	46	57	144	166	57	56													
Ill.	629	569	145	235	2	-	-	63													
Mich.	172	285	273	203	3	-	N	N													
Wis.	148	289	1	51	N	N	26	-													
W.N. CENTRAL	929	1,777	227	346	417	142	49	54													
Minn.	205	402	113	159	292	63	49	45													
Iowa	118	348	-	-	N	N	N	N													
Mo.	171	294	42	70	5	10	-	-													
N. Dak.	16	21	3	17	1	6	-	9													
S. Dak.	153	556	13	11	1	4	-	-													
Nebr.	179	87	18	39	29	21	N	N													
Kans.	87	69	38	50	89	38	N	N													
S. ATLANTIC	6,344	2,578	734	540	1,103	1,223	8	8													
Del.	316	16	2	4	3	6	N	N													
Md.	1,101	139	128	N	N	N	N	N													
D.C.	56	54	7	21	52	7	1	4													
Va.	905	389	70	72	N	N	N	N													
W. Va.	12	8	19	19	42	37	7	4													
N.C.	405	316	112	135	N	N	U	U													
S.C.	106	238	34	12	169	256	N	N													
Ga.	1,453	524	155	171	270	387	N	N													
Fla.	1,990	894	207	106	567	530	N	N													
E.S. CENTRAL	1,343	1,575	105	108	122	218	-	-													
Ky.	176	753	18	36	17	24	N	N													
Tenn.	104	93	87	72	105	193	N	N													
Ala.	747	198	-	-	-	1	N	N													
Miss.	316	531	-	-	-	-	-	-													
W.S. CENTRAL	1,625	2,700	105	305	75	264	6	61													
Ark.	188	544	7	-	8	16	-	-													
La.	394	226	-	1	67	248	3	61													
Okla.	534	86	41	43	N	N	3	-													
Tex.	509	1,844	57	261	N	N	-	-													
MOUNTAIN	817	879	537	374	41	38	4	-													
Mont.	3	8	-	-	-	-	-	-													
Idaho	15	39	9	7	N	N	N	N													
Wyo.	9	7	7	12	10	7	-	-													
Colo.	165	229	135	146	-	-	-	-													
N. Mex.	194	112	96	78	30	29	-	-													
Ariz.	350	358	260	128	-	-	N	N													
Utah	36	57	30	3	-	-	4	-													
Nev.	45	69	-	-	1	2	-	-													
PACIFIC	2,634	2,291	523	77	-	4	-	-													
Wash.	158	197	65	-	-	-	N	N													
Oreg.	108	103	N	N	N	N	N	N													
Calif.	2,301	1,928	366	-	N	N	N	N													
Alaska	6	7	-	-	-	-	N	N													
Hawaii	61	56	92	77	-	4	-	-													
Guam	-	48	-	1	-	-	-	-													
P.R.	8	16	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


