
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 7, 2002 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis cummulative for 2002
Shigellosis cummulative for 2001
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2001
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive cummulative for 2001
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2001

tab delimited data:
test
UNITED STATES	18,038	18,527	3,786	3,413	2,179	2,413	270	405													
NEW ENGLAND	306	295	173	218	18	122	3	45													
Maine	12	6	20	12	-	-	-	-													
N.H.	12	6	35	N	-	-	N	N													
Vt.	1	7	10	16	5	9	2	1													
Mass.	183	202	93	66	N	N	N	N													
R.I.	17	22	15	13	13	4	1	3													
Conn.	81	52	-	111	-	109	-	41													
MID. ATLANTIC	1,328	1,430	605	629	111	158	73	106													
Upstate N.Y.	327	458	272	250	87	151	71	106													
N.Y. City	419	401	142	161	U	U	U	U													
N.J.	349	263	128	136	N	N	N	N													
Pa.	233	308	63	82	24	7	2	-													
E.N. CENTRAL	1,727	4,248	730	754	237	171	117	124													
Ohio	634	2,854	202	192	77	3	28	-													
Ind.	100	218	46	59	155	168	63	58													
Ill.	649	595	196	248	2	-	-	66													
Mich.	177	289	285	204	3	-	N	N													
Wis.	167	292	1	51	N	N	26	-													
W.N. CENTRAL	973	1,884	227	355	422	155	55	60													
Minn.	219	412	114	167	292	70	55	51													
Iowa	120	357	-	-	N	N	N	N													
Mo.	193	303	42	71	5	11	-	-													
N. Dak.	16	21	3	17	1	6	-	9													
S. Dak.	156	626	13	11	1	4	-	-													
Nebr.	179	92	18	39	29	24	N	N													
Kans.	90	73	37	50	94	40	N	N													
S. ATLANTIC	6,804	2,902	756	551	1,145	1,258	8	9													
Del.	356	17	2	4	3	6	N	N													
Md.	1,159	147	136	N	N	N	N	N													
D.C.	58	54	9	22	54	11	1	4													
Va.	927	508	71	75	N	N	N	N													
W. Va.	12	8	19	19	43	38	7	5													
N.C.	422	331	113	136	N	N	U	U													
S.C.	120	244	35	12	181	262	N	N													
Ga.	1,612	616	161	176	275	408	N	N													
Fla.	2,138	977	210	107	589	533	N	N													
E.S. CENTRAL	1,426	1,645	108	111	124	228	-	-													
Ky.	187	792	18	38	17	26	N	N													
Tenn.	119	108	90	73	107	201	N	N													
Ala.	789	203	-	-	-	1	N	N													
Miss.	331	542	-	-	-	-	-	-													
W.S. CENTRAL	1,733	2,811	113	312	81	273	10	61													
Ark.	192	556	8	-	9	18	-	-													
La.	401	235	-	1	72	255	4	61													
Okla.	561	97	43	45	N	N	6	-													
Tex.	579	1,923	62	266	N	N	-	-													
MOUNTAIN	902	920	546	401	41	44	4	-													
Mont.	4	8	-	-	-	-	-	-													
Idaho	17	40	11	7	N	N	N	N													
Wyo.	9	7	7	12	10	9	-	-													
Colo.	210	239	136	151	-	-	-	-													
N. Mex.	216	117	102	84	30	33	-	-													
Ariz.	360	379	260	144	-	-	N	N													
Utah	39	60	30	3	-	-	4	-													
Nev.	47	70	-	-	1	2	-	-													
PACIFIC	2,839	2,392	528	82	-	4	-	-													
Wash.	170	203	65	-	-	-	N	N													
Oreg.	115	111	N	N	N	N	N	N													
Calif.	2,485	2,014	370	-	N	N	N	N													
Alaska	6	7	-	-	-	-	N	N													
Hawaii	63	57	93	82	-	4	-	-													
Guam	-	49	-	1	-	-	-	-													
P.R.	8	18	N	N	-	-	N	N													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	-	-	U	U													
C.N.M.I.	17	U	-	U	-	-	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


