
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 4, 2003 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	462	814	480	376	55	143	67	65	-	4											
NEW ENGLAND	-	38	-	8	2	8	-	-	-	1											
Maine	-	3	-	-	-	2	-	-	-	-											
N.H.	-	1	-	-	-	N	-	-	N	N											
Vt.	-	2	-	-	1	1	-	-	-	1											
Mass.	-	32	-	7	1	4	N	N	N	N											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	-	-	1	-	-	-	-	-	-											
MID. ATLANTIC	-	98	-	25	-	22	-	2	-	-											
Upstate N.Y.	-	2	-	-	-	3	-	2	-	-											
N.Y. City	-	40	-	15	-	13	U	U	U	U											
N.J.	-	34	-	3	-	5	N	N	N	N											
Pa.	-	22	-	7	-	1	-	-	-	-											
E.N. CENTRAL	24	128	14	63	14	29	-	1	-	3											
Ohio	19	27	2	23	5	6	-	-	-	-											
Ind.	-	-	-	-	-	-	-	1	-	-											
Ill.	-	56	-	33	-	13	-	-	-	-											
Mich.	5	25	12	3	9	10	-	-	N	N											
Wis.	-	20	-	4	-	-	N	N	-	3											
W.N. CENTRAL	22	55	12	66	5	6	13	13	-	-											
Minn.	-	5	-	8	-	-	-	-	-	-											
Iowa	3	10	-	6	-	-	N	N	N	N											
Mo.	12	31	9	5	2	1	-	1	-	-											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	1	2	-	36	1	-	-	-	-	-											
Nebr.	-	-	-	8	-	4	-	3	N	N											
Kans.	6	7	3	3	2	1	13	9	N	N											
S. ATLANTIC	328	197	409	78	15	42	51	45	-	-											
Del.	-	-	11	2	-	-	-	-	N	N											
Md.	26	22	42	9	3	N	N	N	N	N											
D.C.	-	1	-	3	-	1	-	1	-	-											
Va.	-	-	1	-	-	-	N	N	N	N											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	54	27	35	9	1	5	N	N	U	U											
S.C.	1	4	-	-	1	-	2	5	N	N											
Ga.	145	4	185	18	3	25	19	30	N	N											
Fla.	102	139	135	37	7	8	30	9	N	N											
E.S. CENTRAL	39	41	21	29	1	-	1	-	-	-											
Ky.	-	-	-	5	-	-	-	-	N	N											
Tenn.	5	1	1	-	1	-	1	-	N	N											
Ala.	30	22	19	15	-	-	-	-	N	N											
Miss.	4	18	1	9	-	-	-	-	-	-											
W.S. CENTRAL	6	58	3	28	1	10	-	-	-	-											
Ark.	4	2	-	3	-	-	-	-	-	-											
La.	-	2	-	3	-	-	-	-	-	-											
Okla.	2	1	3	-	1	-	N	N	-	-											
Tex.	-	53	-	22	-	10	N	N	-	-											
MOUNTAIN	22	38	14	11	16	11	2	4	-	-											
Mont.	1	-	-	-	-	-	-	-	-	-											
Idaho	4	5	-	-	1	-	N	N	N	N											
Wyo.	-	1	1	-	-	1	-	2	-	-											
Colo.	10	18	3	4	8	5	-	-	-	-											
N. Mex.	4	1	3	2	2	5	2	2	-	-											
Ariz.	3	-	7	-	5	-	-	-	N	N											
Utah	-	2	-	4	-	-	-	-	-	-											
Nev.	-	11	-	1	-	-	-	-	-	-											
PACIFIC	21	161	7	68	1	15	-	-	-	-											
Wash.	1	-	-	-	-	-	-	-	N	N											
Oreg.	-	11	-	5	N	N	N	N	N	N											
Calif.	15	145	5	62	1	13	N	N	N	N											
Alaska	2	2	-	1	-	-	-	-	N	N											
Hawaii	3	3	2	-	-	2	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	3	-	-	N	N	-	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


