
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 4, 2003 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Primary and Secondary) cummulative for 2002
Syphilis (Congenital) cummulative for 2003
Syphilis (Congenital) cummulative for 2002
Tuberculosis cummulative for 2003
Tuberculosis cummulative for 2002
Typhoid Fever cummulative for 2003
Typhoid Fever cummulative for 2002
Varicella (Chicken Pox) cummulative for 2003
Varicella (Chicken Pox) cummulative for 2002

tab delimited data:
test
UNITED STATES	115	127	2	11	54	154	4	8	225												
NEW ENGLAND	2	1	-	-	1	9	-	-	36												
Maine	-	-	-	-	-	-	-	-	36												
N.H.	-	-	-	-	-	-	-	-	-												
Vt.	-	-	-	-	-	-	-	-	-												
Mass.	2	-	-	-	-	-	-	-	-												
R.I.	-	-	-	-	-	4	-	-	-												
Conn.	-	1	-	-	1	5	-	-	-												
MID. ATLANTIC	7	9	-	2	35	11	-	1	-												
Upstate N.Y.	-	-	-	-	-	-	-	-	-												
N.Y. City	7	5	-	1	35	-	-	1	-												
N.J.	-	3	-	1	-	-	-	-	-												
Pa.	-	1	-	-	-	11	-	-	-												
E.N. CENTRAL	11	16	-	1	3	5	-	2	110												
Ohio	1	4	-	-	1	3	-	-	8												
Ind.	-	3	-	-	2	1	-	-	-												
Ill.	2	8	-	1	-	1	-	-	-												
Mich.	7	-	-	-	-	-	-	-	102												
Wis.	1	1	-	-	-	-	-	2	-												
W.N. CENTRAL	6	6	-	-	3	22	-	-	-												
Minn.	-	3	-	-	-	-	-	-	-												
Iowa	-	-	-	-	-	-	-	-	-												
Mo.	1	2	-	-	-	18	-	-	-												
N. Dak.	-	-	-	-	-	-	-	-	-												
S. Dak.	-	-	-	-	1	-	-	-	-												
Nebr.	-	-	-	-	-	-	-	-	-												
Kans.	5	1	-	-	2	4	-	-	-												
S. ATLANTIC	45	34	2	3	-	1	1	4	79												
Del.	-	-	-	-	-	-	-	-	-												
Md.	5	5	-	-	-	-	1	1	-												
D.C.	1	1	-	-	-	-	-	-	-												
Va.	4	2	-	-	-	-	-	-	-												
W. Va.	-	-	-	-	-	-	-	-	79												
N.C.	4	10	-	2	-	1	-	-	-												
S.C.	2	-	-	1	-	-	-	-	-												
Ga.	3	4	-	-	-	-	-	-	-												
Fla.	26	12	2	-	-	-	-	3	-												
E.S. CENTRAL	9	17	-	1	4	12	-	-	-												
Ky.	1	1	-	-	-	-	-	-	-												
Tenn.	7	10	-	-	-	9	-	-	-												
Ala.	1	4	-	-	4	3	-	-	-												
Miss.	-	2	-	1	-	-	-	-	-												
W.S. CENTRAL	23	17	-	3	-	51	-	1	-												
Ark.	-	-	-	-	-	-	-	-	-												
La.	-	5	-	-	-	-	-	-	-												
Okla.	1	3	-	-	-	-	-	-	-												
Tex.	22	9	-	3	-	51	-	1	-												
MOUNTAIN	11	4	-	-	1	3	1	-	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	-	1	-	-	-	-	-	-	-												
Wyo.	-	-	-	-	1	-	-	-	-												
Colo.	-	-	-	-	-	-	-	-	-												
N. Mex.	-	1	-	-	-	2	1	-	-												
Ariz.	11	2	-	-	-	-	-	-	-												
Utah	-	-	-	-	-	-	-	-	-												
Nev.	-	-	-	-	-	1	-	-	-												
PACIFIC	1	23	-	1	7	40	2	-	-												
Wash.	-	1	-	-	4	3	-	-	-												
Oreg.	-	-	-	-	1	-	-	-	-												
Calif.	1	22	-	1	2	34	2	-	-												
Alaska	-	-	-	-	-	1	-	-	-												
Hawaii	-	-	-	-	-	2	-	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	7	-	1	-	-	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


