
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 11, 2003 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	-	898	13,447	21,736	87	38	23	70	-	-											
NEW ENGLAND	-	-	508	863	-	-	1	1	-	-											
Maine	-	-	52	35	N	N	-	-	-	-											
N.H.	-	-	-	56	-	-	-	-	-	-											
Vt.	-	-	7	17	-	-	1	-	-	-											
Mass.	-	-	185	364	-	-	-	1	-	-											
R.I.	-	-	105	116	-	-	-	-	-	-											
Conn.	-	-	159	275	-	-	-	-	-	-											
MID. ATLANTIC	-	427	28	2,248	-	-	-	6	-	-											
Upstate N.Y.	-	20	25	55	-	-	-	-	-	-											
N.Y. City	-	402	3	1,009	-	-	-	4	-	-											
N.J.	-	5	-	421	-	-	-	-	-	-											
Pa.	-	-	-	763	N	N	-	2	-	-											
E.N. CENTRAL	-	151	4,186	4,328	1	-	1	19	-	-											
Ohio	-	46	2,507	1,110	-	-	-	1	-	-											
Ind.	-	35	595	525	N	N	-	-	-	-											
Ill.	-	70	278	1,389	-	-	-	6	-	-											
Mich.	-	-	599	809	1	-	1	1	-	-											
Wis.	-	-	207	495	-	-	-	11	-	-											
W.N. CENTRAL	-	18	616	1,284	-	-	5	4	-	-											
Minn.	-	-	12	360	-	-	1	-	-	-											
Iowa	-	4	18	38	N	N	1	1	-	-											
Mo.	-	13	198	468	-	-	1	2	-	-											
N. Dak.	-	-	4	25	N	N	-	-	-	-											
S. Dak.	-	-	24	56	-	-	2	-	-	-											
Nebr.	-	-	-	99	-	-	-	1	-	-											
Kans.	-	1	360	238	N	N	-	-	-	-											
S. ATLANTIC	-	255	3,463	3,246	-	-	11	23	-	-											
Del.	-	-	111	78	N	N	-	-	-	-											
Md.	-	-	465	478	-	-	1	-	-	-											
D.C.	-	-	81	124	-	-	-	-	-	-											
Va.	-	-	438	317	-	-	-	-	-	-											
W. Va.	-	1	25	66	N	N	-	-	-	-											
N.C.	-	1	808	147	-	-	-	1	-	-											
S.C.	-	30	106	328	-	-	-	-	-	-											
Ga.	-	221	574	139	-	-	9	19	-	-											
Fla.	-	2	855	1,569	N	N	1	3	-	-											
E.S. CENTRAL	-	2	740	1,546	-	-	1	-	-	-											
Ky.	-	2	86	228	-	-	-	-	-	-											
Tenn.	-	-	384	568	-	-	1	-	-	-											
Ala.	-	-	-	466	-	-	-	-	-	-											
Miss.	-	-	270	284	N	N	-	-	-	-											
W.S. CENTRAL	-	-	2,615	3,596	-	-	-	3	-	-											
Ark.	-	-	181	257	-	-	-	1	-	-											
La.	-	-	37	456	N	N	-	-	-	-											
Okla.	-	-	302	374	N	N	-	-	-	-											
Tex.	-	-	2,095	2,509	-	-	-	2	-	-											
MOUNTAIN	-	-	1,006	1,539	82	4	3	3	-	-											
Mont.	-	-	77	62	-	-	-	-	-	-											
Idaho	-	-	102	38	-	-	2	1	-	-											
Wyo.	-	-	31	17	-	-	-	-	-	-											
Colo.	-	-	115	492	N	N	1	-	-	-											
N. Mex.	-	-	-	279	-	-	-	-	-	-											
Ariz.	-	-	681	443	82	-	-	-	-	-											
Utah	-	-	-	8	-	2	-	2	-	-											
Nev.	-	-	-	200	-	2	-	-	-	-											
PACIFIC	-	45	285	3,086	4	34	1	11	-	-											
Wash.	-	-	-	469	N	N	-	U	-	-											
Oreg.	-	45	-	112	-	-	-	3	-	-											
Calif.	-	-	247	2,292	4	34	1	8	-	-											
Alaska	-	-	34	66	-	-	-	-	-	-											
Hawaii	-	-	4	147	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	27	N	N	-	-	-	-											
V.I.	-	22	-	3	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


