
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 18, 2003 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	29	79	1	3	1	-	832	690	11,529	18,468											
NEW ENGLAND	4	5	-	-	-	-	31	71	197	462											
Maine	-	-	-	-	-	-	7	9	3	5											
N.H.	-	1	-	-	-	-	3	4	8	4											
Vt.	-	-	-	-	-	-	5	9	5	6											
Mass.	2	1	-	-	-	-	16	47	47	212											
R.I.	-	-	-	-	-	-	-	-	56	47											
Conn.	2	3	-	-	-	-	-	2	78	188											
MID. ATLANTIC	-	5	-	-	-	-	371	143	311	2,033											
Upstate N.Y.	-	3	-	-	-	-	9	15	120	105											
N.Y. City	-	-	-	-	-	-	355	69	10	737											
N.J.	-	2	-	-	-	-	1	23	181	494											
Pa.	N	N	-	-	-	-	6	36	-	697											
E.N. CENTRAL	8	29	-	-	1	-	93	169	3,268	3,729											
Ohio	4	5	-	-	1	-	61	38	1,957	973											
Ind.	-	1	-	-	-	-	-	-	399	368											
Ill.	-	13	-	-	-	-	1	66	352	1,238											
Mich.	3	-	-	-	-	-	30	30	489	843											
Wis.	1	10	-	-	-	-	1	35	71	307											
W.N. CENTRAL	4	14	-	2	-	-	44	47	487	1,029											
Minn.	2	3	-	2	-	-	6	3	4	193											
Iowa	-	4	-	-	-	-	16	10	21	26											
Mo.	2	2	N	N	N	N	14	16	280	491											
N. Dak.	-	-	-	-	-	-	-	-	-	1											
S. Dak.	-	-	-	-	-	-	1	3	1	13											
Nebr.	-	2	-	-	-	-	-	6	-	60											
Kans.	-	3	-	-	-	-	7	9	181	245											
S. ATLANTIC	5	10	1	1	-	-	182	154	3,416	3,805											
Del.	-	-	-	-	-	-	3	4	80	114											
Md.	-	-	-	-	-	-	8	8	465	466											
D.C.	-	-	-	-	-	-	-	5	97	160											
Va.	-	-	-	-	-	-	1	-	382	412											
W. Va.	-	-	-	-	-	-	-	-	44	46											
N.C.	2	1	-	-	-	-	-	-	887	378											
S.C.	-	-	-	-	-	-	-	-	87	556											
Ga.	-	9	-	-	-	-	122	34	626	328											
Fla.	3	-	1	1	-	-	48	103	748	1,345											
E.S. CENTRAL	-	-	-	-	-	-	11	8	1,060	1,802											
Ky.	-	-	-	-	-	-	-	-	146	187											
Tenn.	-	-	-	-	-	-	5	-	296	649											
Ala.	-	-	-	-	-	-	6	8	478	600											
Miss.	-	-	-	-	-	-	-	-	140	366											
W.S. CENTRAL	1	3	-	-	-	-	5	4	2,055	3,065											
Ark.	1	-	-	-	-	-	5	4	253	353											
La.	-	-	-	-	-	-	-	-	352	625											
Okla.	-	-	-	-	-	-	-	-	126	250											
Tex.	-	3	-	-	-	-	-	-	1,324	1,837											
MOUNTAIN	4	1	-	-	-	-	56	50	429	715											
Mont.	-	-	-	-	-	-	1	2	10	9											
Idaho	1	-	-	-	-	-	10	1	6	5											
Wyo.	-	-	-	-	-	-	2	-	4	3											
Colo.	1	-	-	-	-	-	19	28	104	245											
N. Mex.	-	-	-	-	-	-	2	6	23	84											
Ariz.	1	-	-	-	-	-	12	-	196	252											
Utah	1	-	-	-	-	-	3	1	4	-											
Nev.	-	1	-	-	-	-	7	12	82	117											
PACIFIC	3	12	-	-	-	-	39	44	306	1,828											
Wash.	-	-	-	-	-	-	-	4	125	181											
Oreg.	-	5	-	-	-	-	11	33	20	48											
Calif.	1	7	-	-	-	-	25	-	137	1,538											
Alaska	-	-	-	-	-	-	3	2	20	28											
Hawaii	2	-	-	-	-	-	-	5	4	33											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	8	5											
V.I.	-	-	-	-	-	-	-	-	-	3											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


