
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 25, 2003 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	-	2,266	35,745	50,988	212	121	68	148	-	-											
NEW ENGLAND	-	81	1,182	1,876	-	-	4	4	-	-											
Maine	-	-	138	90	N	N	-	-	-	-											
N.H.	-	2	117	130	-	-	-	1	-	-											
Vt.	-	3	67	55	-	-	1	-	-	-											
Mass.	-	76	185	735	-	-	1	2	-	-											
R.I.	-	-	203	212	-	-	1	1	-	-											
Conn.	-	-	472	654	-	-	1	-	-	-											
MID. ATLANTIC	-	693	1,587	5,366	-	-	23	17	-	-											
Upstate N.Y.	-	27	531	354	-	-	3	1	-	-											
N.Y. City	-	532	379	2,344	-	-	19	11	-	-											
N.J.	-	77	677	1,006	-	-	-	1	-	-											
Pa.	-	57	-	1,662	N	N	1	4	-	-											
E.N. CENTRAL	-	188	8,251	9,242	1	2	7	48	-	-											
Ohio	-	47	3,067	2,512	-	-	3	5	-	-											
Ind.	-	35	1,273	1,015	N	N	-	2	-	-											
Ill.	-	70	1,581	2,961	-	-	-	13	-	-											
Mich.	-	31	1,505	1,544	1	2	4	7	-	-											
Wis.	-	5	825	1,210	-	-	-	21	-	-											
W.N. CENTRAL	-	28	1,706	2,917	-	-	7	5	-	-											
Minn.	-	-	161	827	-	-	3	1	-	-											
Iowa	-	4	174	114	N	N	2	1	-	-											
Mo.	-	22	659	982	-	-	1	2	-	-											
N. Dak.	-	-	4	71	N	N	-	-	-	-											
S. Dak.	-	-	124	144	-	-	1	-	-	-											
Nebr.	-	-	-	207	-	-	-	1	-	-											
Kans.	-	2	584	572	N	N	-	-	-	-											
S. ATLANTIC	-	711	8,022	8,002	-	-	14	30	-	-											
Del.	-	-	229	181	N	N	-	-	-	-											
Md.	-	134	1,281	982	-	-	2	-	-	-											
D.C.	-	-	257	245	-	-	-	1	-	-											
Va.	-	65	953	906	-	-	-	-	-	-											
W. Va.	-	1	170	172	N	N	-	-	-	-											
N.C.	-	45	1,751	701	-	-	1	3	-	-											
S.C.	-	42	135	1,056	-	-	-	-	-	-											
Ga.	-	222	1,046	898	-	-	9	21	-	-											
Fla.	-	202	2,200	2,861	N	N	2	5	-	-											
E.S. CENTRAL	-	107	2,938	3,550	-	-	5	6	-	-											
Ky.	-	15	395	522	-	-	-	1	-	-											
Tenn.	-	40	782	1,245	-	-	2	-	-	-											
Ala.	-	19	931	1,103	-	-	3	4	-	-											
Miss.	-	33	830	680	N	N	-	1	-	-											
W.S. CENTRAL	-	311	6,009	7,760	-	-	1	4	-	-											
Ark.	-	13	459	586	-	-	1	2	-	-											
La.	-	-	747	1,197	N	N	-	-	-	-											
Okla.	-	7	302	678	N	N	-	-	-	-											
Tex.	-	291	4,501	5,299	-	-	-	2	-	-											
MOUNTAIN	-	95	1,909	3,167	184	63	5	6	-	-											
Mont.	-	-	129	138	-	-	-	-	-	-											
Idaho	-	1	152	150	-	-	2	2	-	-											
Wyo.	-	1	78	46	-	-	-	-	-	-											
Colo.	-	19	320	966	N	N	2	1	-	-											
N. Mex.	-	6	43	533	-	1	-	-	-	-											
Ariz.	-	39	681	894	183	56	1	-	-	-											
Utah	-	-	186	9	-	2	-	2	-	-											
Nev.	-	29	320	431	1	4	-	1	-	-											
PACIFIC	-	52	4,141	9,108	27	56	2	28	-	-											
Wash.	-	1	949	1,002	N	N	-	U	-	-											
Oreg.	-	45	251	384	-	-	-	6	-	-											
Calif.	-	3	2,556	7,233	27	56	2	22	-	-											
Alaska	-	-	196	176	-	-	-	-	-	-											
Hawaii	-	3	189	313	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	78	103	N	N	-	-	-	-											
V.I.	-	22	-	10	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


