
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 25, 2003 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral, Acute), Type B cummulative for 2003
Hepatitis (Viral, Acute), Type B cummulative for 2002
Hepatitis (Viral, Acute), Type C cummulative for 2003
Hepatitis (Viral, Acute), Type c cummulative for 2002
Legionellosis cummulative for 2003
Legionellosis cummulative for 2002
Listeriosis cummulative for 2003
Listeriosis cummulative for 2002
Lyme Disease cummulative for 2003
Lyme Disease cummulative for 2002

tab delimited data:
test
UNITED STATES	358	316	72	274	46	48	21	26	171	320											
NEW ENGLAND	11	15	-	1	2	2	2	2	1	35											
Maine	-	-	-	-	-	-	-	1	-	-											
N.H.	-	1	-	-	-	-	1	-	-	6											
Vt.	1	1	-	1	1	-	-	-	1	-											
Mass.	10	10	-	-	-	2	1	-	-	29											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	3	-	-	1	-	-	1	-	-											
MID. ATLANTIC	74	86	30	157	4	5	6	4	136	216											
Upstate N.Y.	-	3	1	1	2	1	1	2	80	136											
N.Y. City	48	54	-	-	2	-	4	1	49	-											
N.J.	23	21	29	155	-	1	-	-	5	44											
Pa.	3	8	-	1	-	3	1	1	2	36											
E.N. CENTRAL	30	31	8	3	18	22	3	7	2	7											
Ohio	13	5	1	-	9	15	3	2	2	1											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	3	1	-	-	-	-	1	-	-											
Mich.	17	19	6	3	9	6	-	1	-	-											
Wis.	-	4	-	-	-	1	-	3	U	6											
W.N. CENTRAL	10	13	9	46	1	2	1	-	-	6											
Minn.	-	1	-	-	-	-	1	-	-	1											
Iowa	1	2	-	-	-	-	-	-	-	3											
Mo.	7	7	9	44	-	1	-	-	-	2											
N. Dak.	1	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	1	-	2	-	1	-	-	-	-											
Kans.	1	2	-	-	1	-	-	-	-	-											
S. ATLANTIC	166	76	13	7	15	5	5	1	24	48											
Del.	-	1	-	2	-	1	-	-	-	5											
Md.	2	11	1	2	4	3	-	-	14	38											
D.C.	-	1	-	-	-	-	-	-	-	2											
Va.	-	1	-	-	-	-	-	-	-	-											
W. Va.	-	1	-	-	N	N	-	-	-	-											
N.C.	13	11	1	1	2	-	1	-	5	-											
S.C.	-	2	-	-	-	-	1	-	-	-											
Ga.	124	12	1	-	1	-	1	-	-	-											
Fla.	27	36	10	2	8	1	2	1	5	3											
E.S. CENTRAL	12	20	5	11	1	-	2	-	-	-											
Ky.	-	2	-	1	-	-	-	-	-	-											
Tenn.	2	4	-	-	1	-	-	-	-	-											
Ala.	4	4	-	1	-	-	2	-	-	-											
Miss.	6	10	5	9	-	-	-	-	-	-											
W.S. CENTRAL	1	8	1	42	1	2	-	3	-	4											
Ark.	-	7	-	1	-	-	-	-	-	-											
La.	1	1	1	-	-	-	-	-	-	1											
Okla.	-	-	-	-	1	-	-	-	-	-											
Tex.	-	-	-	41	-	2	-	3	-	3											
MOUNTAIN	32	19	3	3	2	2	2	2	-	1											
Mont.	1	-	-	-	-	-	1	-	-	-											
Idaho	-	-	-	-	-	-	-	-	-	-											
Wyo.	1	1	-	2	-	-	-	-	-	-											
Colo.	7	6	3	1	-	1	-	1	-	-											
N. Mex.	-	3	-	-	-	-	-	-	-	1											
Ariz.	18	1	-	-	1	-	1	1	-	-											
Utah	4	3	-	-	1	1	-	-	-	-											
Nev.	1	5	-	-	-	-	-	-	-	-											
PACIFIC	22	48	3	4	2	8	-	7	8	3											
Wash.	1	-	-	-	-	-	-	-	-	-											
Oreg.	3	12	-	2	N	N	-	-	2	-											
Calif.	18	35	3	2	2	8	-	7	6	3											
Alaska	-	1	-	-	-	-	-	-	-	-											
Hawaii	-	-	-	-	-	-	-	-	N	N											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	3	-	-	-	-	-	1	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


