
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 25, 2003 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	1,253	1,897	986	912	175	271	150	111	26	8											
NEW ENGLAND	57	83	13	16	6	17	1	-	-	1											
Maine	2	11	-	-	-	3	-	-	-	-											
N.H.	2	3	-	-	1	N	-	-	N	N											
Vt.	1	4	-	-	1	1	1	-	-	1											
Mass.	40	49	9	15	4	11	N	N	N	N											
R.I.	4	3	2	-	-	-	-	-	-	-											
Conn.	8	13	2	1	-	-	-	-	-	-											
MID. ATLANTIC	122	214	67	48	26	48	3	2	2	-											
Upstate N.Y.	15	13	8	4	10	11	3	2	2	-											
N.Y. City	91	92	45	29	11	22	U	U	U	U											
N.J.	6	65	5	3	1	13	N	N	N	N											
Pa.	10	44	9	12	4	2	-	-	-	-											
E.N. CENTRAL	149	289	48	163	39	60	30	5	21	6											
Ohio	95	48	21	66	19	13	30	-	20	-											
Ind.	8	9	4	3	-	2	-	5	1	2											
Ill.	7	137	3	66	-	21	-	-	-	-											
Mich.	37	52	19	19	20	24	-	-	N	N											
Wis.	2	43	1	9	-	-	N	N	-	4											
W.N. CENTRAL	71	116	27	127	9	14	18	22	1	-											
Minn.	16	19	1	16	-	-	-	-	1	-											
Iowa	21	16	1	9	-	-	N	N	N	N											
Mo.	22	52	18	17	3	6	-	1	-	-											
N. Dak.	1	-	-	-	-	-	-	-	-	-											
S. Dak.	4	3	2	53	3	-	-	-	-	-											
Nebr.	-	8	-	18	-	5	-	4	N	N											
Kans.	7	18	5	14	3	3	18	17	N	N											
S. ATLANTIC	502	541	655	245	39	63	85	65	-	1											
Del.	1	2	36	2	1	-	-	-	N	N											
Md.	40	48	73	27	11	N	N	N	N	N											
D.C.	-	6	-	3	-	2	-	3	-	1											
Va.	15	13	12	22	-	1	N	N	N	N											
W. Va.	-	1	-	1	-	-	-	-	-	-											
N.C.	67	79	61	18	2	12	N	N	U	U											
S.C.	3	13	3	1	1	2	7	10	N	N											
Ga.	185	125	244	82	7	26	28	34	N	N											
Fla.	191	254	226	89	17	10	50	18	N	N											
E.S. CENTRAL	101	103	45	66	2	4	4	10	-	-											
Ky.	4	7	2	18	-	1	-	-	N	N											
Tenn.	30	16	8	1	2	3	4	10	N	N											
Ala.	48	48	28	23	-	-	-	-	N	N											
Miss.	19	32	7	24	-	-	-	-	-	-											
W.S. CENTRAL	27	116	30	70	3	21	7	2	2	-											
Ark.	15	17	1	8	-	-	-	1	-	-											
La.	6	6	5	8	-	-	7	1	-	-											
Okla.	6	15	24	10	3	4	N	N	2	-											
Tex.	-	78	-	44	-	17	N	N	-	-											
MOUNTAIN	72	84	42	25	39	16	2	5	-	-											
Mont.	2	2	-	-	-	-	-	-	-	-											
Idaho	8	6	-	1	3	-	N	N	N	N											
Wyo.	1	2	1	-	-	1	1	2	-	-											
Colo.	23	37	8	8	10	7	-	-	-	-											
N. Mex.	3	8	7	2	6	8	1	3	-	-											
Ariz.	19	4	22	4	19	-	-	-	N	N											
Utah	8	9	2	5	1	-	-	-	-	-											
Nev.	8	16	2	5	-	-	-	-	-	-											
PACIFIC	152	351	59	152	12	28	-	-	-	-											
Wash.	15	3	-	-	-	-	-	-	N	N											
Oreg.	7	26	3	11	N	N	N	N	N	N											
Calif.	108	304	52	138	7	22	N	N	N	N											
Alaska	10	7	1	1	-	-	-	-	N	N											
Hawaii	12	11	3	2	5	6	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	5	-	1	N	N	-	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


