
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 1, 2003 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	-	3,372	51,862	67,296	329	134	87	181	-	-											
NEW ENGLAND	-	111	1,824	2,387	-	-	5	6	-	-											
Maine	-	1	138	130	N	N	-	-	-	-											
N.H.	-	2	147	157	-	-	-	1	-	-											
Vt.	-	3	94	71	-	-	1	-	-	-											
Mass.	-	76	428	949	-	-	2	2	-	-											
R.I.	-	5	269	263	-	-	1	3	-	-											
Conn.	-	24	748	817	-	-	1	-	-	-											
MID. ATLANTIC	-	835	2,022	7,162	-	-	24	19	-	-											
Upstate N.Y.	-	46	940	520	-	-	3	1	-	-											
N.Y. City	-	587	405	2,879	-	-	20	13	-	-											
N.J.	-	145	677	1,259	-	-	-	1	-	-											
Pa.	-	57	-	2,504	N	N	1	4	-	-											
E.N. CENTRAL	-	370	12,072	12,460	1	2	11	57	-	-											
Ohio	-	103	5,405	3,729	-	-	7	10	-	-											
Ind.	-	52	1,273	1,405	N	N	-	3	-	-											
Ill.	-	176	1,581	3,744	-	-	-	13	-	-											
Mich.	-	31	2,636	2,012	1	2	4	9	-	-											
Wis.	-	8	1,177	1,570	-	-	-	22	-	-											
W.N. CENTRAL	-	48	2,271	3,702	-	-	9	6	-	-											
Minn.	-	9	161	1,038	-	-	4	2	-	-											
Iowa	-	15	174	180	N	N	2	1	-	-											
Mo.	-	22	847	1,275	-	-	1	2	-	-											
N. Dak.	-	-	19	82	N	N	-	-	-	-											
S. Dak.	-	-	220	198	-	-	2	-	-	-											
Nebr.	-	-	114	237	-	-	-	1	-	-											
Kans.	-	2	736	692	N	N	-	-	-	-											
S. ATLANTIC	-	1,093	11,264	11,568	-	-	19	37	-	-											
Del.	-	21	293	229	N	N	1	-	-	-											
Md.	-	140	1,537	1,330	-	-	3	-	-	-											
D.C.	-	19	345	315	-	-	-	1	-	-											
Va.	-	107	1,339	1,296	-	-	-	-	-	-											
W. Va.	-	6	224	240	N	N	-	-	-	-											
N.C.	-	45	2,120	1,388	-	-	2	3	-	-											
S.C.	-	102	138	1,272	-	-	1	-	-	-											
Ga.	-	375	2,136	1,874	-	-	9	27	-	-											
Fla.	-	278	3,132	3,624	N	N	3	6	-	-											
E.S. CENTRAL	-	136	4,573	4,757	-	-	6	7	-	-											
Ky.	-	16	581	782	-	-	-	1	-	-											
Tenn.	-	66	1,260	1,587	-	-	2	-	-	-											
Ala.	-	20	1,365	1,433	-	-	4	5	-	-											
Miss.	-	34	1,367	955	N	N	-	1	-	-											
W.S. CENTRAL	-	379	8,555	9,831	-	-	1	5	-	-											
Ark.	-	15	532	648	-	-	1	2	-	-											
La.	-	65	1,255	1,667	N	N	-	-	-	-											
Okla.	-	7	505	829	N	N	-	-	-	-											
Tex.	-	292	6,263	6,687	-	-	-	3	-	-											
MOUNTAIN	-	106	2,353	4,262	290	67	6	6	-	-											
Mont.	-	3	129	228	-	-	-	-	-	-											
Idaho	-	1	152	150	-	-	3	2	-	-											
Wyo.	-	1	106	58	-	-	-	-	-	-											
Colo.	-	20	736	1,255	N	N	2	1	-	-											
N. Mex.	-	6	43	705	-	1	-	-	-	-											
Ariz.	-	39	681	1,301	288	60	1	-	-	-											
Utah	-	7	186	29	1	2	-	2	-	-											
Nev.	-	29	320	536	1	4	-	1	-	-											
PACIFIC	-	294	6,928	11,167	38	65	6	38	-	-											
Wash.	-	1	1,312	1,137	N	N	-	U	-	-											
Oreg.	-	75	395	510	-	-	2	6	-	-											
Calif.	-	215	4,610	8,840	38	65	4	32	-	-											
Alaska	-	-	287	278	-	-	-	-	-	-											
Hawaii	-	3	324	402	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	68	78	179	N	N	-	-	-	-											
V.I.	-	33	-	23	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


