
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 15, 2003 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	2,464	3,513	1,895	1,855	459	582	281	217	50	17											
NEW ENGLAND	97	160	31	33	12	24	2	1	-	1											
Maine	5	28	1	2	-	4	-	-	-	-											
N.H.	4	4	-	1	1	4	-	-	N	N											
Vt.	3	7	-	-	2	1	2	1	-	1											
Mass.	59	87	19	26	9	15	N	N	N	N											
R.I.	5	5	2	-	-	-	-	-	-	-											
Conn.	21	29	9	4	-	-	-	-	-	-											
MID. ATLANTIC	246	361	119	77	59	87	7	12	12	3											
Upstate N.Y.	41	48	26	7	39	30	7	12	12	3											
N.Y. City	184	103	79	36	15	27	U	U	U	U											
N.J.	11	126	5	18	1	26	N	N	N	N											
Pa.	10	84	9	16	4	4	-	-	-	-											
E.N. CENTRAL	342	600	127	261	120	150	65	17	28	12											
Ohio	152	106	45	132	50	28	56	-	26	-											
Ind.	26	33	8	6	7	3	9	15	2	2											
Ill.	75	307	39	89	1	44	-	2	-	-											
Mich.	64	89	30	20	61	49	-	-	N	N											
Wis.	25	65	5	14	1	26	N	N	-	10											
W.N. CENTRAL	166	239	106	199	42	25	41	37	5	-											
Minn.	50	46	9	21	17	-	-	-	5	-											
Iowa	48	35	3	11	-	-	N	N	N	N											
Mo.	34	109	25	23	5	12	1	1	-	-											
N. Dak.	2	-	-	-	1	-	1	-	-	-											
S. Dak.	5	11	8	91	5	-	-	1	-	-											
Nebr.	11	12	49	38	8	6	8	9	N	N											
Kans.	16	26	12	15	6	7	31	26	N	N											
S. ATLANTIC	864	1,023	1,090	707	94	98	141	113	-	1											
Del.	2	10	50	2	1	-	-	3	N	N											
Md.	78	70	107	52	34	13	-	-	-	-											
D.C.	-	9	-	3	-	2	-	3	-	1											
Va.	45	71	29	154	-	6	N	N	N	N											
W. Va.	1	4	-	1	-	-	7	3	-	-											
N.C.	169	118	119	37	17	23	N	N	U	U											
S.C.	39	31	14	6	1	2	9	21	N	N											
Ga.	219	282	416	307	13	39	35	48	N	N											
Fla.	311	428	355	145	28	13	90	35	N	N											
E.S. CENTRAL	202	182	101	123	15	16	9	25	-	-											
Ky.	35	19	12	30	2	3	-	3	N	N											
Tenn.	61	49	26	9	13	13	9	22	N	N											
Ala.	73	62	49	36	-	-	-	-	N	N											
Miss.	33	52	14	48	-	-	-	-	-	-											
W.S. CENTRAL	61	201	86	127	12	44	12	4	5	-											
Ark.	25	34	1	18	1	-	1	2	-	-											
La.	14	17	15	11	-	-	11	2	3	-											
Okla.	22	24	70	27	11	6	N	N	2	-											
Tex.	-	126	-	71	-	38	N	N	-	-											
MOUNTAIN	162	190	101	46	81	43	4	8	-	-											
Mont.	4	3	-	-	-	-	-	-	-	-											
Idaho	11	10	1	2	4	1	N	N	N	N											
Wyo.	3	5	1	-	-	1	1	5	-	-											
Colo.	45	67	17	15	25	19	-	-	-	-											
N. Mex.	13	26	13	3	12	19	3	3	-	-											
Ariz.	62	33	64	14	38	-	-	-	N	N											
Utah	16	16	3	5	2	3	-	-	-	-											
Nev.	8	30	2	7	-	-	-	-	-	-											
PACIFIC	324	557	134	282	24	95	-	-	-	-											
Wash.	30	13	6	3	-	16	-	-	N	N											
Oreg.	27	39	8	20	N	N	N	N	N	N											
Calif.	235	465	112	250	10	65	N	N	N	N											
Alaska	13	10	2	1	-	-	-	-	N	N											
Hawaii	19	30	6	8	14	14	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	1	16	-	1	N	N	-	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


