
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 22, 2003 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	177	263	2	2	22	48	4	2	590	1,442											
NEW ENGLAND	18	26	-	-	1	5	1	-	20	70											
Maine	-	1	-	-	-	-	-	-	1	1											
N.H.	4	2	-	-	-	-	-	-	2	3											
Vt.	4	2	-	-	-	-	-	-	1	-											
Mass.	8	13	-	-	1	3	1	-	13	37											
R.I.	-	-	-	-	-	-	-	-	1	4											
Conn.	2	8	-	-	-	2	-	-	2	25											
MID. ATLANTIC	13	44	-	-	2	4	1	-	51	124											
Upstate N.Y.	7	17	-	-	1	2	1	-	14	18											
N.Y. City	5	11	-	-	1	1	-	-	37	30											
N.J.	1	13	-	-	-	1	-	-	-	34											
Pa.	-	3	-	-	-	-	-	-	-	42											
E.N. CENTRAL	17	49	1	-	4	7	-	-	78	176											
Ohio	8	21	-	-	3	3	-	-	22	41											
Ind.	4	6	-	-	1	1	-	-	3	5											
Ill.	-	21	-	-	-	3	-	-	20	75											
Mich.	5	1	1	-	-	-	-	-	30	34											
Wis.	-	-	-	-	-	-	-	-	3	21											
W.N. CENTRAL	17	3	-	-	3	-	2	1	26	60											
Minn.	7	-	-	-	2	-	-	-	2	3											
Iowa	-	1	-	-	-	-	-	-	8	13											
Mo.	6	2	-	-	-	-	2	1	4	12											
N. Dak.	-	-	-	-	-	-	-	-	1	-											
S. Dak.	1	-	-	-	-	-	-	-	-	2											
Nebr.	-	-	-	-	-	-	-	-	3	4											
Kans.	3	-	-	-	1	-	-	-	8	26											
S. ATLANTIC	44	59	-	-	3	12	-	-	219	368											
Del.	-	-	-	-	-	-	-	-	1	3											
Md.	12	16	-	-	1	-	-	-	30	65											
D.C.	-	-	-	-	-	-	-	-	-	13											
Va.	1	3	-	-	-	1	-	-	2	5											
W. Va.	-	-	-	-	-	-	-	-	2	1											
N.C.	3	7	-	-	-	-	-	-	5	57											
S.C.	1	-	-	-	-	-	-	-	6	7											
Ga.	9	21	-	-	1	7	-	-	99	51											
Fla.	18	12	-	-	1	4	-	-	74	166											
E.S. CENTRAL	21	6	-	1	3	1	-	-	23	58											
Ky.	2	-	-	-	-	-	-	-	5	9											
Tenn.	9	3	-	-	2	-	-	-	12	25											
Ala.	10	2	-	1	1	1	-	-	6	5											
Miss.	-	1	-	-	-	-	-	-	-	19											
W.S. CENTRAL	12	13	-	1	1	4	-	-	14	139											
Ark.	1	1	-	-	-	-	-	-	-	8											
La.	3	-	-	-	-	-	-	-	5	4											
Okla.	8	11	-	-	1	4	-	-	3	7											
Tex.	-	1	-	1	-	-	-	-	6	120											
MOUNTAIN	24	33	1	-	4	7	-	-	36	97											
Mont.	-	-	-	-	-	-	-	-	-	2											
Idaho	-	-	-	-	-	-	-	-	-	7											
Wyo.	-	-	-	-	-	-	-	-	-	2											
Colo.	6	7	-	-	1	1	-	-	4	16											
N. Mex.	2	8	-	-	-	3	-	-	1	4											
Ariz.	11	13	1	-	1	2	-	-	23	43											
Utah	4	4	-	-	2	-	-	-	5	9											
Nev.	1	1	-	-	-	1	-	-	3	14											
PACIFIC	11	30	-	-	1	8	-	1	123	350											
Wash.	-	-	-	-	-	-	-	-	3	10											
Oreg.	9	19	-	-	1	3	-	-	17	21											
Calif.	-	5	-	-	-	4	-	1	100	318											
Alaska	-	1	-	-	-	1	-	-	1	1											
Hawaii	2	5	-	-	-	-	-	-	2	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


