
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending February 22, 2003 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral, Acute), Type B cummulative for 2003
Hepatitis (Viral, Acute), Type B cummulative for 2002
Hepatitis (Viral, Acute), Type C cummulative for 2003
Hepatitis (Viral, Acute), Type c cummulative for 2002
Legionellosis cummulative for 2003
Legionellosis cummulative for 2002
Listeriosis cummulative for 2003
Listeriosis cummulative for 2002
Lyme Disease cummulative for 2003
Lyme Disease cummulative for 2002

tab delimited data:
test
UNITED STATES	646	754	129	253	106	107	45	52	382	655											
NEW ENGLAND	23	33	-	7	6	5	4	7	5	60											
Maine	-	-	-	-	-	-	-	1	-	-											
N.H.	1	3	-	-	-	1	1	2	-	9											
Vt.	1	2	-	4	1	-	-	-	3	1											
Mass.	19	24	-	3	1	2	2	2	-	47											
R.I.	-	-	-	-	1	-	-	-	2	3											
Conn.	2	4	-	-	3	2	1	2	-	-											
MID. ATLANTIC	102	141	8	11	8	22	8	6	309	476											
Upstate N.Y.	6	5	4	6	6	5	2	3	273	286											
N.Y. City	38	63	-	-	2	-	3	1	-	-											
N.J.	55	48	4	3	-	7	2	-	34	103											
Pa.	3	25	-	2	-	10	1	2	2	87											
E.N. CENTRAL	56	62	16	16	31	41	5	10	6	19											
Ohio	26	9	2	-	18	25	2	5	4	2											
Ind.	-	3	-	-	-	3	1	-	2	2											
Ill.	-	3	2	3	-	-	-	1	-	-											
Mich.	30	41	12	13	13	9	2	1	-	-											
Wis.	-	6	-	-	-	4	-	3	U	15											
W.N. CENTRAL	30	31	29	94	2	3	2	1	1	8											
Minn.	2	1	-	-	-	-	1	-	-	2											
Iowa	1	6	-	1	1	-	-	-	1	3											
Mo.	19	14	26	90	-	2	-	1	-	3											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	6	5	3	3	-	1	1	-	-	-											
Kans.	2	5	-	-	1	-	-	-	-	-											
S. ATLANTIC	258	233	29	15	45	13	12	6	44	68											
Del.	1	2	-	3	-	3	-	-	-	10											
Md.	16	20	3	2	11	5	2	1	31	48											
D.C.	-	2	-	-	-	-	-	-	-	3											
Va.	6	19	-	-	3	-	-	-	-	-											
W. Va.	-	2	-	-	N	N	-	-	-	-											
N.C.	17	34	1	3	5	2	1	-	6	3											
S.C.	-	3	-	1	-	-	1	2	-	1											
Ga.	135	78	3	1	5	3	3	2	1	-											
Fla.	83	73	22	5	21	-	5	1	6	3											
E.S. CENTRAL	28	59	13	27	1	2	4	2	1	3											
Ky.	6	5	2	1	-	1	-	-	-	1											
Tenn.	6	25	-	4	1	-	-	1	1	-											
Ala.	9	15	1	2	-	1	3	1	-	-											
Miss.	7	14	10	20	-	-	1	-	-	2											
W.S. CENTRAL	12	26	21	63	2	2	1	4	2	9											
Ark.	-	21	-	4	-	-	-	-	-	-											
La.	12	4	9	2	-	-	-	-	2	1											
Okla.	-	1	-	-	2	-	1	-	-	-											
Tex.	-	-	12	57	-	2	-	4	-	8											
MOUNTAIN	69	57	7	5	6	4	8	4	1	1											
Mont.	2	-	-	-	-	-	1	-	-	-											
Idaho	-	-	-	-	1	-	-	-	1	-											
Wyo.	1	3	-	2	-	-	-	-	-	-											
Colo.	10	11	5	1	1	1	5	1	-	-											
N. Mex.	1	11	-	-	-	1	-	-	-	1											
Ariz.	50	24	2	-	3	-	2	3	-	-											
Utah	4	3	-	-	1	2	-	-	-	-											
Nev.	1	5	-	2	-	-	-	-	-	-											
PACIFIC	68	112	6	15	5	15	1	12	13	11											
Wash.	4	5	1	2	-	-	-	-	-	-											
Oreg.	19	24	2	6	N	N	-	1	3	1											
Calif.	44	82	3	7	5	15	1	11	10	10											
Alaska	-	1	-	-	-	-	-	-	-	-											
Hawaii	1	-	-	-	-	-	-	-	N	N											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


