
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 8, 2003 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	3,597	5,136	2,746	2,545	839	893	483	395	67	36											
NEW ENGLAND	155	243	49	42	45	47	2	1	-	1											
Maine	9	38	2	2	4	6	-	-	-	-											
N.H.	9	7	-	2	5	12	-	-	N	N											
Vt.	3	9	-	-	6	1	2	1	-	1											
Mass.	90	135	30	34	30	28	N	N	N	N											
R.I.	10	5	2	-	-	-	-	-	-	-											
Conn.	34	49	15	4	-	-	-	-	-	-											
MID. ATLANTIC	265	597	161	145	110	141	13	21	14	10											
Upstate N.Y.	75	109	42	18	73	60	13	21	14	10											
N.Y. City	111	196	51	73	12	34	U	U	U	U											
N.J.	27	194	45	34	10	41	N	N	N	N											
Pa.	52	98	23	20	15	6	-	-	-	-											
E.N. CENTRAL	530	892	197	342	208	227	90	33	35	19											
Ohio	192	247	48	167	73	37	72	-	32	-											
Ind.	38	44	15	10	7	7	18	31	3	5											
Ill.	169	382	82	106	41	87	-	2	-	-											
Mich.	89	118	39	32	86	62	N	N	N	N											
Wis.	42	101	13	27	1	34	N	N	-	14											
W.N. CENTRAL	265	367	142	243	71	44	66	75	8	5											
Minn.	76	72	11	25	24	5	-	21	8	4											
Iowa	65	50	7	17	-	-	N	N	N	N											
Mo.	67	164	42	31	17	19	3	1	-	1											
N. Dak.	4	5	-	-	3	-	2	-	-	-											
S. Dak.	13	17	8	95	8	3	-	1	-	-											
Nebr.	14	17	62	54	10	6	12	16	N	N											
Kans.	26	42	12	21	9	11	49	36	N	N											
S. ATLANTIC	1,166	1,348	1,396	945	151	153	271	206	2	1											
Del.	4	11	66	3	2	-	-	3	N	N											
Md.	111	97	124	107	61	17	-	-	-	-											
D.C.	-	14	-	7	-	3	-	11	-	1											
Va.	72	82	43	188	1	11	N	N	N	N											
W. Va.	3	6	-	2	1	-	10	6	2	-											
N.C.	226	182	158	49	22	38	N	N	U	U											
S.C.	39	62	14	9	1	8	9	40	N	N											
Ga.	295	330	515	365	16	50	97	100	N	N											
Fla.	416	564	476	215	47	26	155	46	N	N											
E.S. CENTRAL	268	265	146	183	25	29	20	40	-	-											
Ky.	45	30	23	40	5	5	1	3	N	N											
Tenn.	84	83	40	14	20	24	19	37	N	N											
Ala.	91	85	60	52	-	-	-	-	N	N											
Miss.	48	67	23	77	-	-	-	-	-	-											
W.S. CENTRAL	144	314	259	178	35	61	15	7	8	-											
Ark.	49	53	6	25	1	-	3	2	-	-											
La.	31	40	32	20	1	1	12	5	6	-											
Okla.	33	44	104	39	18	11	N	N	2	-											
Tex.	31	177	117	94	15	49	N	N	-	-											
MOUNTAIN	306	310	196	84	143	67	6	12	-	-											
Mont.	14	5	-	-	-	-	-	-	-	-											
Idaho	15	17	2	2	6	1	N	N	N	N											
Wyo.	4	11	1	1	-	3	1	6	-	-											
Colo.	92	86	28	21	46	27	-	-	-	-											
N. Mex.	23	45	27	11	33	31	5	6	-	-											
Ariz.	114	82	123	35	53	-	-	-	N	N											
Utah	26	24	6	7	5	5	-	-	-	-											
Nev.	18	40	9	7	-	-	-	-	-	-											
PACIFIC	498	800	200	383	51	124	-	-	-	-											
Wash.	55	26	24	11	-	16	-	-	N	N											
Oreg.	48	53	11	27	N	N	N	N	N	N											
Calif.	354	667	153	332	33	90	N	N	N	N											
Alaska	17	14	2	1	-	-	-	-	N	N											
Hawaii	24	40	10	12	18	18	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	1	-	-	-	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


