
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending March 15, 2003 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	282	400	2	4	39	73	9	4	902	2,077											
NEW ENGLAND	22	35	-	-	1	5	1	-	27	87											
Maine	1	1	-	-	-	-	-	-	1	3											
N.H.	4	4	-	-	-	-	-	-	3	3											
Vt.	4	2	-	-	-	-	-	-	1	-											
Mass.	8	18	-	-	1	3	1	-	17	46											
R.I.	-	-	-	-	-	-	-	-	2	4											
Conn.	5	10	-	-	-	2	-	-	3	31											
MID. ATLANTIC	45	72	-	1	7	10	2	-	115	226											
Upstate N.Y.	23	32	-	1	6	4	1	-	21	34											
N.Y. City	6	17	-	-	1	4	-	-	68	99											
N.J.	8	19	-	-	-	2	-	-	15	40											
Pa.	8	4	-	-	-	-	1	-	11	53											
E.N. CENTRAL	23	63	1	1	5	9	-	-	111	257											
Ohio	13	25	-	-	4	3	-	-	31	64											
Ind.	6	6	-	-	1	1	-	-	6	10											
Ill.	-	29	-	-	-	5	-	-	25	99											
Mich.	4	3	1	1	-	-	-	-	41	52											
Wis.	-	-	-	-	-	-	-	-	8	32											
W.N. CENTRAL	20	11	-	-	3	1	2	2	34	79											
Minn.	8	8	-	-	3	1	-	1	4	5											
Iowa	-	1	-	-	-	-	-	-	11	19											
Mo.	7	2	-	-	-	-	2	1	6	17											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	1	-	-	-	-	-	-	-	-	2											
Nebr.	-	-	-	-	-	-	-	-	4	4											
Kans.	4	-	-	-	-	-	-	-	9	32											
S. ATLANTIC	63	91	-	-	4	20	-	-	283	545											
Del.	-	-	-	-	-	-	-	-	1	5											
Md.	15	18	-	-	1	-	-	-	39	77											
D.C.	-	-	-	-	-	-	-	-	-	20											
Va.	2	8	-	-	-	2	-	-	2	11											
W. Va.	2	1	-	-	-	-	-	-	4	5											
N.C.	3	10	-	-	-	1	-	-	15	75											
S.C.	1	3	-	-	-	1	-	-	10	12											
Ga.	15	28	-	-	2	10	-	-	112	68											
Fla.	25	23	-	-	1	6	-	-	100	272											
E.S. CENTRAL	24	18	-	1	3	4	-	-	31	78											
Ky.	2	1	-	-	-	-	-	-	6	16											
Tenn.	10	8	-	-	2	2	-	-	13	34											
Ala.	11	5	-	1	1	2	-	-	9	7											
Miss.	1	4	-	-	-	-	-	-	3	21											
W.S. CENTRAL	17	18	-	1	1	4	-	-	34	174											
Ark.	3	1	-	-	-	-	-	-	-	13											
La.	4	1	-	-	-	-	-	-	6	6											
Okla.	10	15	-	-	1	4	-	-	3	10											
Tex.	-	1	-	1	-	-	-	-	25	145											
MOUNTAIN	50	48	1	-	10	9	3	1	80	152											
Mont.	-	-	-	-	-	-	-	-	-	5											
Idaho	-	1	-	-	-	-	-	-	-	10											
Wyo.	-	1	-	-	-	-	-	-	-	2											
Colo.	9	11	-	-	2	1	-	-	7	21											
N. Mex.	5	10	-	-	1	4	2	-	5	4											
Ariz.	29	17	1	-	5	3	-	-	54	80											
Utah	5	5	-	-	2	-	-	-	5	12											
Nev.	2	3	-	-	-	1	1	1	9	18											
PACIFIC	18	44	-	-	5	11	1	1	187	479											
Wash.	3	-	-	-	2	-	1	-	12	21											
Oreg.	11	24	-	-	2	4	-	-	20	30											
Calif.	1	10	-	-	1	6	-	1	150	413											
Alaska	-	1	-	-	-	1	-	-	3	5											
Hawaii	3	9	-	-	-	-	-	-	2	10											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


