
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending April 5, 2003 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	378	552	2	5	60	96	7	6	1,357	2,757											
NEW ENGLAND	31	38	-	-	2	4	1	2	46	105											
Maine	2	1	-	-	1	-	-	-	3	4											
N.H.	5	4	-	-	-	-	-	-	3	6											
Vt.	5	3	-	-	-	-	-	-	1	-											
Mass.	11	20	-	-	1	2	1	2	26	55											
R.I.	1	-	-	-	-	-	-	-	4	4											
Conn.	7	10	-	-	-	2	-	-	9	36											
MID. ATLANTIC	57	111	-	1	11	16	1	-	161	364											
Upstate N.Y.	26	43	-	1	7	7	-	-	24	49											
N.Y. City	8	30	-	-	3	6	-	-	89	187											
N.J.	12	28	-	-	1	3	-	-	29	56											
Pa.	11	10	-	-	-	-	1	-	19	72											
E.N. CENTRAL	33	107	1	1	5	18	-	-	143	320											
Ohio	17	35	-	-	4	4	-	-	34	80											
Ind.	10	14	-	-	1	4	-	-	6	12											
Ill.	1	35	-	-	-	6	-	-	40	120											
Mich.	5	5	1	1	-	-	-	-	54	66											
Wis.	-	18	-	-	-	4	-	-	9	42											
W.N. CENTRAL	27	14	-	-	4	1	2	2	44	108											
Minn.	12	11	-	-	4	1	-	1	4	14											
Iowa	-	1	-	-	-	-	-	-	14	23											
Mo.	9	2	-	-	-	-	2	1	10	23											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	1	-	-	-	-	-	-	-	-	3											
Nebr.	-	-	-	-	-	-	-	-	4	6											
Kans.	5	-	-	-	-	-	-	-	12	39											
S. ATLANTIC	98	120	-	-	9	22	-	-	390	765											
Del.	-	-	-	-	-	-	-	-	3	6											
Md.	19	31	-	-	1	-	-	-	45	87											
D.C.	-	-	-	-	-	-	-	-	7	29											
Va.	9	9	-	-	3	2	-	-	21	24											
W. Va.	3	2	-	-	-	-	-	-	4	7											
N.C.	9	11	-	-	-	1	-	-	24	91											
S.C.	2	3	-	-	-	1	-	-	12	14											
Ga.	22	40	-	-	2	12	-	-	148	177											
Fla.	34	24	-	-	3	6	-	-	126	330											
E.S. CENTRAL	35	23	-	1	5	5	-	-	41	96											
Ky.	2	3	-	-	-	-	-	-	7	24											
Tenn.	19	11	-	-	3	3	-	-	21	40											
Ala.	12	5	-	1	1	2	-	-	9	10											
Miss.	2	4	-	-	1	-	-	-	4	22											
W.S. CENTRAL	20	23	-	1	3	4	-	-	72	198											
Ark.	4	1	-	-	1	-	-	-	2	13											
La.	4	2	-	-	-	-	-	-	11	13											
Okla.	12	19	-	-	2	4	-	-	4	12											
Tex.	-	1	-	1	-	-	-	-	55	160											
MOUNTAIN	57	61	1	1	15	13	2	1	105	176											
Mont.	-	-	-	-	-	-	-	-	1	5											
Idaho	-	1	-	-	-	-	-	-	-	15											
Wyo.	-	1	-	-	-	-	-	-	1	2											
Colo.	13	14	-	-	4	2	-	-	10	24											
N. Mex.	7	13	-	-	3	4	1	-	7	4											
Ariz.	28	19	1	-	5	4	-	-	65	90											
Utah	6	10	-	1	3	2	-	-	7	12											
Nev.	3	3	-	-	-	1	1	1	14	24											
PACIFIC	20	55	-	-	6	13	1	1	355	625											
Wash.	3	-	-	-	2	-	1	-	13	38											
Oreg.	12	27	-	-	3	4	-	-	22	34											
Calif.	1	15	-	-	1	7	-	1	314	536											
Alaska	-	1	-	-	-	1	-	-	3	6											
Hawaii	4	12	-	-	-	1	-	-	3	11											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	4	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


