
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 12, 2003 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	6,553	7,941	5,108	3,991	1,665	1,512	796	753	105	79											
NEW ENGLAND	311	396	79	71	108	78	3	1	1	1											
Maine	21	46	3	2	12	15	-	-	-	-											
N.H.	18	19	-	3	11	18	-	-	N	N											
Vt.	6	16	2	-	11	2	3	1	1	1											
Mass.	177	218	48	50	73	43	N	N	N	N											
R.I.	17	12	2	2	1	-	-	-	-	-											
Conn.	72	85	24	14	-	-	-	-	-	-											
MID. ATLANTIC	564	1,199	299	279	213	292	33	38	25	23											
Upstate N.Y.	158	243	76	38	129	125	21	38	19	23											
N.Y. City	216	423	103	126	30	75	U	U	U	U											
N.J.	60	257	66	60	13	61	N	N	N	N											
Pa.	130	276	54	55	41	31	12	-	6	-											
E.N. CENTRAL	901	1,322	332	496	372	368	161	63	52	35											
Ohio	311	323	76	248	113	75	110	-	39	-											
Ind.	79	73	33	18	30	15	51	61	8	10											
Ill.	267	519	130	150	67	125	-	2	-	-											
Mich.	149	231	65	45	145	101	N	N	N	N											
Wis.	95	176	28	35	17	52	N	N	5	25											
W.N. CENTRAL	411	518	202	362	129	98	90	198	13	16											
Minn.	109	115	23	39	55	48	-	128	13	15											
Iowa	85	68	10	34	N	N	N	N	N	N											
Mo.	115	207	67	40	27	24	4	4	-	1											
N. Dak.	9	5	-	-	5	-	3	-	-	-											
S. Dak.	18	21	8	119	12	4	-	1	-	-											
Nebr.	31	31	69	89	15	7	4	20	N	N											
Kans.	44	71	25	41	15	15	79	45	N	N											
S. ATLANTIC	1,869	1,948	2,093	1,530	334	236	430	344	3	1											
Del.	16	12	85	5	4	-	-	3	N	N											
Md.	175	150	165	170	119	33	-	-	-	-											
D.C.	10	22	15	18	5	3	2	26	-	1											
Va.	154	171	76	294	22	30	N	N	N	N											
W. Va.	15	19	-	2	11	2	17	21	3	-											
N.C.	287	242	221	94	36	52	N	N	U	U											
S.C.	76	78	54	17	9	20	35	74	N	N											
Ga.	463	478	759	572	42	65	143	134	N	N											
Fla.	673	776	718	358	86	31	233	86	N	N											
E.S. CENTRAL	386	382	241	286	56	42	41	64	-	-											
Ky.	79	56	35	46	10	5	1	8	N	N											
Tenn.	128	121	76	17	46	37	40	56	N	N											
Ala.	123	114	97	117	-	-	-	-	N	N											
Miss.	56	91	33	106	-	-	-	-	-	-											
W.S. CENTRAL	403	609	924	288	89	74	25	24	11	1											
Ark.	72	72	16	39	2	-	6	4	-	-											
La.	57	107	61	51	1	1	19	20	7	1											
Okla.	52	64	175	61	29	13	N	N	4	-											
Tex.	222	366	672	137	57	60	N	N	-	-											
MOUNTAIN	458	421	259	140	194	141	12	21	-	2											
Mont.	30	10	1	-	-	-	-	-	-	-											
Idaho	57	25	5	2	10	4	N	N	N	N											
Wyo.	5	16	1	1	-	3	3	8	-	-											
Colo.	119	119	42	33	68	43	-	-	-	-											
N. Mex.	31	66	36	39	47	41	9	13	-	-											
Ariz.	141	100	145	48	62	41	-	-	N	N											
Utah	47	31	15	9	7	9	-	-	-	2											
Nev.	28	54	14	8	-	-	-	-	-	-											
PACIFIC	1,250	1,146	679	539	170	183	1	-	-	-											
Wash.	98	54	44	18	-	-	-	-	N	N											
Oreg.	113	79	23	30	N	N	N	N	N	N											
Calif.	967	940	596	473	139	167	N	N	N	N											
Alaska	29	17	4	2	-	-	-	-	N	N											
Hawaii	43	56	12	16	31	16	1	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	24	62	1	1	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


