
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 3, 2003 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	8,149	9,666	6,494	4,488	2,106	1,927	944	915	140	100											
NEW ENGLAND	410	505	94	86	127	109	3	4	1	1											
Maine	25	53	4	2	13	16	-	-	-	-											
N.H.	25	26	2	4	11	21	-	-	N	N											
Vt.	10	20	2	-	11	6	3	3	1	1											
Mass.	226	286	59	60	91	59	N	N	N	N											
R.I.	27	20	3	4	1	7	-	1	-	-											
Conn.	97	100	24	16	-	-	-	-	-	-											
MID. ATLANTIC	764	1,385	360	342	279	340	45	49	39	34											
Upstate N.Y.	210	318	98	51	163	142	23	45	30	29											
N.Y. City	271	393	117	143	33	82	U	U	U	U											
N.J.	65	303	72	75	15	72	N	N	N	N											
Pa.	218	371	73	73	68	44	22	4	9	5											
E.N. CENTRAL	1,106	1,648	406	565	473	468	196	74	63	41											
Ohio	370	399	91	273	149	101	145	-	50	-											
Ind.	79	103	32	22	30	19	51	72	8	15											
Ill.	343	606	176	177	94	147	-	2	-	-											
Mich.	172	282	75	54	183	140	N	N	N	N											
Wis.	142	258	32	39	17	61	N	N	5	26											
W.N. CENTRAL	499	654	249	405	164	117	98	250	14	19											
Minn.	149	147	31	47	80	61	-	163	14	17											
Iowa	98	103	19	35	N	N	N	N	N	N											
Mo.	131	244	81	45	32	26	7	4	-	1											
N. Dak.	13	9	-	7	6	-	3	-	-	1											
S. Dak.	21	27	8	127	13	5	-	1	-	-											
Nebr.	38	37	82	94	18	9	-	21	N	N											
Kans.	49	87	28	50	15	16	88	61	N	N											
S. ATLANTIC	2,247	2,154	2,413	1,543	387	284	501	421	4	2											
Del.	16	15	100	5	4	1	-	3	N	N											
Md.	210	179	191	231	135	43	-	-	-	-											
D.C.	12	26	20	19	8	4	2	28	-	1											
Va.	194	213	90	325	36	33	N	N	N	N											
W. Va.	18	20	-	2	16	7	25	24	4	1											
N.C.	320	273	226	102	36	60	N	N	U	U											
S.C.	108	112	89	18	14	24	47	90	N	N											
Ga.	508	328	843	381	45	74	156	151	N	N											
Fla.	861	988	854	460	93	38	271	125	N	N											
E.S. CENTRAL	460	489	304	343	75	50	58	69	-	-											
Ky.	90	81	44	54	16	6	4	8	N	N											
Tenn.	152	139	97	19	59	44	54	61	N	N											
Ala.	156	147	121	138	-	-	-	-	N	N											
Miss.	62	122	42	132	-	-	-	-	-	-											
W.S. CENTRAL	667	828	1,610	397	139	80	29	27	18	1											
Ark.	89	98	20	61	2	1	7	4	-	-											
La.	62	155	72	80	1	1	22	23	7	1											
Okla.	68	78	212	89	32	15	N	N	11	-											
Tex.	448	497	1,306	167	104	63	N	N	-	-											
MOUNTAIN	545	585	303	172	239	247	13	21	1	2											
Mont.	33	21	1	1	1	-	-	-	-	-											
Idaho	62	41	7	2	10	5	N	N	N	N											
Wyo.	9	19	1	2	-	6	3	8	-	-											
Colo.	138	161	49	38	75	52	-	-	-	-											
N. Mex.	47	81	60	45	54	49	10	13	-	-											
Ariz.	168	154	155	61	92	124	-	-	N	N											
Utah	58	41	16	12	7	11	-	-	1	2											
Nev.	30	67	14	11	-	-	-	-	-	-											
PACIFIC	1,451	1,418	755	635	223	232	1	-	-	-											
Wash.	137	97	63	26	23	-	-	-	N	N											
Oreg.	128	113	25	31	N	N	N	N	N	N											
Calif.	1,136	1,119	663	558	189	210	N	N	N	N											
Alaska	35	20	4	2	-	-	-	-	N	N											
Hawaii	15	69	-	18	11	22	1	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	47	76	1	1	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


