
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 10, 2003 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	562	777	5	12	85	137	14	10	1,934	3,610											
NEW ENGLAND	46	53	-	-	2	4	3	2	75	143											
Maine	2	1	-	-	-	-	1	-	2	4											
N.H.	6	4	-	-	-	-	-	-	4	8											
Vt.	6	3	-	-	-	-	-	-	3	-											
Mass.	20	27	-	-	2	2	1	2	42	68											
R.I.	2	8	-	-	-	-	1	-	9	18											
Conn.	10	10	-	-	-	2	-	-	15	45											
MID. ATLANTIC	88	142	-	1	11	23	4	-	283	474											
Upstate N.Y.	34	54	-	1	5	7	-	-	38	69											
N.Y. City	15	32	-	-	4	7	-	-	117	171											
N.J.	16	34	-	-	2	5	-	-	36	72											
Pa.	23	22	-	-	-	4	4	-	92	162											
E.N. CENTRAL	69	147	1	1	12	26	-	-	196	448											
Ohio	29	42	-	-	6	5	-	-	36	115											
Ind.	19	16	-	-	2	5	-	-	11	22											
Ill.	14	59	-	-	3	11	-	-	64	153											
Mich.	7	6	1	1	1	-	-	-	72	92											
Wis.	-	24	-	-	-	5	-	-	13	66											
W.N. CENTRAL	42	22	-	-	5	2	4	3	62	135											
Minn.	18	15	-	-	5	2	-	1	14	22											
Iowa	-	1	-	-	-	-	-	-	15	26											
Mo.	15	4	-	-	-	-	4	2	17	30											
N. Dak.	-	-	-	-	-	-	-	-	-	1											
S. Dak.	1	1	-	-	-	-	-	-	-	3											
Nebr.	-	-	-	-	-	-	-	-	3	6											
Kans.	8	1	-	-	-	-	-	-	13	47											
S. ATLANTIC	131	201	-	3	13	30	-	1	495	1,042											
Del.	-	-	-	-	-	-	-	-	4	7											
Md.	30	42	-	-	4	1	-	-	55	117											
D.C.	-	-	-	-	-	-	-	-	14	36											
Va.	15	9	-	-	3	2	-	-	34	29											
W. Va.	3	2	-	-	-	-	-	-	6	9											
N.C.	10	16	-	-	-	3	-	-	26	110											
S.C.	3	4	-	-	-	1	-	-	18	29											
Ga.	25	37	-	-	3	8	-	-	190	214											
Fla.	45	91	-	3	3	15	-	1	148	491											
E.S. CENTRAL	44	27	1	1	6	8	-	-	51	117											
Ky.	2	3	-	-	-	-	-	-	11	26											
Tenn.	24	14	-	-	4	5	-	-	26	47											
Ala.	16	5	1	1	1	2	-	-	9	16											
Miss.	2	5	-	-	1	1	-	-	5	28											
W.S. CENTRAL	27	28	-	2	4	6	-	-	167	238											
Ark.	4	1	-	-	1	-	-	-	2	19											
La.	6	3	-	-	1	1	-	-	20	19											
Okla.	17	22	-	-	2	5	-	-	6	13											
Tex.	-	2	-	2	-	-	-	-	139	187											
MOUNTAIN	90	85	3	3	25	18	2	2	148	222											
Mont.	-	-	-	-	-	-	-	-	2	7											
Idaho	1	1	-	-	1	-	-	-	-	18											
Wyo.	-	1	-	-	-	-	-	-	1	2											
Colo.	15	16	-	-	4	2	-	-	20	32											
N. Mex.	13	15	-	-	4	4	1	-	7	6											
Ariz.	50	35	3	1	11	8	-	1	87	118											
Utah	7	11	-	1	4	3	-	-	14	14											
Nev.	4	6	-	1	1	1	1	1	17	25											
PACIFIC	25	72	-	1	7	20	1	2	457	791											
Wash.	3	2	-	1	2	1	1	-	21	56											
Oreg.	18	25	-	-	3	3	-	-	27	34											
Calif.	2	26	-	-	2	13	-	2	405	680											
Alaska	-	1	-	-	-	1	-	-	4	7											
Hawaii	2	18	-	-	-	2	-	-	-	14											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	9	72											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


