
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending July 5, 2003 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	14,153	16,842	9,406	7,945	3,116	2,860	1,289	1,588	232	177											
NEW ENGLAND	792	913	132	130	182	216	16	70	5	1											
Maine	57	68	6	3	19	16	-	-	-	-											
N.H.	52	50	4	4	17	24	-	-	N	N											
Vt.	30	34	5	-	16	9	6	3	2	1											
Mass.	449	532	81	95	125	77	N	N	N	N											
R.I.	39	54	4	6	5	12	10	6	3	-											
Conn.	165	175	32	22	-	78	-	61	U	U											
MID. ATLANTIC	1,627	2,392	1,017	646	534	490	82	76	59	50											
Upstate N.Y.	415	636	157	88	246	203	41	67	47	42											
N.Y. City	450	610	167	209	75	119	U	U	U	U											
N.J.	116	516	122	233	29	99	N	N	N	N											
Pa.	646	630	571	116	184	69	41	9	12	8											
E.N. CENTRAL	2,032	2,619	879	813	735	614	282	120	90	61											
Ohio	637	627	170	330	213	140	187	14	66	-											
Ind.	245	185	65	37	68	30	95	104	19	23											
Ill.	592	971	452	298	178	190	-	2	-	-											
Mich.	327	421	133	74	259	182	N	N	N	N											
Wis.	231	415	59	74	17	72	N	N	5	38											
W.N. CENTRAL	1,040	1,082	391	610	218	167	114	320	38	33											
Minn.	256	246	45	118	111	84	-	220	32	29											
Iowa	164	173	23	62	N	N	N	N	N	N											
Mo.	381	376	192	81	43	36	7	5	2	1											
N. Dak.	22	24	2	16	8	-	3	1	4	3											
S. Dak.	35	43	8	149	17	9	-	1	-	-											
Nebr.	69	66	85	128	19	14	-	25	N	N											
Kans.	113	154	36	56	20	24	104	68	N	N											
S. ATLANTIC	3,744	3,759	3,820	2,589	591	468	659	736	8	16											
Del.	32	31	136	9	6	1	1	3	N	N											
Md.	368	346	278	437	183	73	-	-	-	13											
D.C.	16	40	30	36	10	5	2	-	4	1											
Va.	390	383	205	468	76	51	N	N	N	N											
W. Va.	44	47	-	4	27	11	41	34	4	2											
N.C.	509	504	449	146	66	92	N	N	U	U											
S.C.	186	227	223	55	24	28	73	124	N	N											
Ga.	706	657	1,123	644	77	92	179	190	N	N											
Fla.	1,493	1,524	1,376	790	122	115	363	385	N	N											
E.S. CENTRAL	971	1,046	485	652	127	68	86	93	-	-											
Ky.	164	153	59	72	31	12	11	11	N	N											
Tenn.	308	260	162	29	96	56	75	82	N	N											
Ala.	261	276	162	311	-	-	-	-	N	N											
Miss.	238	357	102	240	-	-	-	-	-	-											
W.S. CENTRAL	865	1,658	1,203	1,240	109	183	30	142	29	14											
Ark.	239	283	50	99	4	5	7	5	-	-											
La.	123	346	107	262	1	1	23	137	10	4											
Okla.	156	167	458	216	55	32	N	N	19	1											
Tex.	347	862	588	663	49	145	N	N	-	9											
MOUNTAIN	978	989	474	281	319	345	18	31	3	2											
Mont.	48	44	2	2	2	-	-	-	-	-											
Idaho	93	59	11	2	12	5	N	N	N	N											
Wyo.	48	29	1	3	1	7	4	10	-	-											
Colo.	239	260	71	58	87	73	-	-	-	-											
N. Mex.	82	136	91	55	79	67	14	21	-	-											
Ariz.	299	273	248	128	129	171	-	-	N	N											
Utah	102	76	25	17	8	22	-	-	3	2											
Nev.	67	112	25	16	1	-	-	-	-	-											
PACIFIC	2,104	2,384	1,005	984	301	309	2	-	-	-											
Wash.	238	222	75	63	26	18	-	-	N	N											
Oreg.	193	192	52	42	N	N	N	N	N	N											
Calif.	1,565	1,807	867	849	235	261	N	N	N	N											
Alaska	48	35	4	2	-	-	-	-	N	N											
Hawaii	60	128	7	28	40	30	2	-	-	-											
Guam	-	25	-	17	-	-	-	3	-	-											
P.R.	124	189	1	15	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


