
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending August 23, 2003 (WEEK 34)*

column labels in same order that data fields appears in each record below:
Reporting Area
Syphilis (Primary and Secondary) cummulative for 2003
Syphilis (Primary and Secondary) cummulative for 2002
Syphilis (Congenital) cummulative for 2003
Syphilis (Congenital) cummulative for 2002
Tuberculosis cummulative for 2003
Tuberculosis cummulative for 2002
Typhoid Fever cummulative for 2003
Typhoid Fever cummulative for 2002
Varicella (Chicken Pox) cummulative for 2003
Varicella (Chicken Pox) cummulative for 2002

tab delimited data:
test
UNITED STATES	4,309	4,252	233	258	6,812	8,237	168	194	8,353												
NEW ENGLAND	136	90	1	-	201	263	19	10	1,245												
Maine	6	2	1	-	5	10	-	-	633												
N.H.	13	2	-	-	7	8	2	-	-												
Vt.	-	1	-	-	3	4	-	-	492												
Mass.	89	61	-	-	126	134	10	7	117												
R.I.	13	4	-	-	27	37	2	-	3												
Conn.	15	20	-	-	33	70	5	3	-												
MID. ATLANTIC	500	451	44	36	1,313	1,418	21	49	23												
Upstate N.Y.	26	23	13	1	173	210	5	4	N												
N.Y. City	307	265	24	16	740	682	10	25	-												
N.J.	82	90	7	18	215	314	5	13	-												
Pa.	85	73	-	1	185	212	1	7	23												
E.N. CENTRAL	581	799	42	40	729	806	11	21	3,768												
Ohio	136	98	2	2	135	127	1	5	927												
Ind.	31	39	7	2	86	72	3	2	-												
Ill.	218	307	14	29	334	395	1	7	-												
Mich.	186	337	19	7	140	165	6	3	2,265												
Wis.	10	18	-	-	34	47	-	4	576												
W.N. CENTRAL	93	81	3	-	295	354	2	9	38												
Minn.	32	40	-	-	116	147	-	3	N												
Iowa	4	2	-	-	17	21	1	-	N												
Mo.	33	18	3	-	77	98	1	2	-												
N. Dak.	-	-	-	-	-	4	-	-	38												
S. Dak.	1	-	-	-	16	10	-	-	-												
Nebr.	3	5	-	-	8	17	-	4	-												
Kans.	20	16	-	-	61	57	-	-	-												
S. ATLANTIC	1,161	1,051	43	60	1,362	1,710	35	24	1,553												
Del.	4	9	-	-	-	13	-	-	20												
Md.	202	127	8	12	144	185	7	5	-												
D.C.	35	35	-	1	-	-	-	-	22												
Va.	55	50	1	1	159	181	10	2	427												
W. Va.	2	2	-	-	12	20	-	-	916												
N.C.	106	195	13	16	198	210	6	1	N												
S.C.	71	82	4	7	103	115	-	-	168												
Ga.	281	219	4	9	200	339	6	4	-												
Fla.	405	332	13	14	546	647	6	12	N												
E.S. CENTRAL	202	339	13	19	420	504	5	4	-												
Ky.	29	65	1	3	80	91	-	4	N												
Tenn.	86	124	6	6	141	198	2	-	N												
Ala.	71	116	4	7	139	133	3	-	-												
Miss.	16	34	2	3	60	82	-	-	-												
W.S. CENTRAL	555	558	39	56	959	1,259	7	24	1,331												
Ark.	37	20	-	4	64	80	-	-	-												
La.	81	98	-	-	-	-	-	-	4												
Okla.	34	43	1	1	90	104	-	-	N												
Tex.	403	397	38	51	805	1,075	7	24	1,327												
MOUNTAIN	195	201	21	9	223	248	3	7	395												
Mont.	-	-	-	-	5	6	-	-	N												
Idaho	6	1	-	-	5	10	-	-	N												
Wyo.	-	-	-	-	3	2	-	-	42												
Colo.	12	42	3	1	43	55	3	3	-												
N. Mex.	35	22	-	-	6	23	-	-	-												
Ariz.	128	124	18	8	115	121	-	-	4												
Utah	5	4	-	-	24	18	-	2	349												
Nev.	9	8	-	-	22	13	-	2	-												
PACIFIC	886	682	27	38	1,310	1,675	65	46	-												
Wash.	50	36	-	1	160	155	2	4	-												
Oreg.	27	11	-	-	65	74	3	2	-												
Calif.	807	628	27	36	1,010	1,317	59	39	-												
Alaska	-	-	-	-	38	32	-	-	-												
Hawaii	2	7	-	1	37	97	1	1	-												
Guam	-	6	-	-	-	42	-	-	-												
P.R.	118	161	1	21	33	67	-	-	275												
V.I.	1	1	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


