
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending September 6, 2003 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	24,321	27,199	13,429	12,513	4,021	3,487	1,570	1,775	320	234											
NEW ENGLAND	1,435	1,478	202	231	330	266	40	83	6	2											
Maine	95	98	6	3	22	20	-	-	-	-											
N.H.	94	87	5	8	21	30	-	-	N	N											
Vt.	48	54	6	1	17	9	6	4	3	1											
Mass.	837	850	135	152	157	91	N	N	N	N											
R.I.	84	100	10	8	11	14	10	11	3	1											
Conn.	277	289	40	59	102	102	24	68	U	U											
MID. ATLANTIC	2,826	3,671	1,541	1,119	727	565	96	83	73	58											
Upstate N.Y.	691	955	268	186	293	228	54	72	56	48											
N.Y. City	764	955	249	322	92	130	U	U	U	U											
N.J.	326	748	198	409	128	120	N	N	N	N											
Pa.	1,045	1,013	826	202	214	87	42	11	17	10											
E.N. CENTRAL	3,674	3,924	1,215	1,444	885	747	329	162	133	88											
Ohio	992	920	245	448	251	169	216	32	77	1											
Ind.	415	362	109	71	92	41	113	128	34	44											
Ill.	1,170	1,356	591	675	180	213	-	2	-	-											
Mich.	554	638	185	118	300	236	N	N	N	N											
Wis.	543	648	85	132	62	88	N	N	22	43											
W.N. CENTRAL	1,680	1,684	557	766	261	191	127	331	44	40											
Minn.	355	392	68	155	131	98	-	220	38	36											
Iowa	255	274	44	96	N	N	N	N	N	N											
Mo.	675	568	289	118	55	38	9	5	2	1											
N. Dak.	28	24	3	16	11	-	3	1	4	3											
S. Dak.	70	76	11	151	18	11	1	1	-	-											
Nebr.	99	120	89	162	21	16	-	25	N	N											
Kans.	198	230	53	68	25	28	114	79	N	N											
S. ATLANTIC	6,532	6,585	5,265	3,934	714	569	817	821	15	24											
Del.	58	59	146	83	6	2	1	3	N	N											
Md.	548	638	462	784	211	89	-	-	-	18											
D.C.	31	51	50	42	11	6	2	-	5	3											
Va.	718	651	302	624	89	58	N	N	N	N											
W. Va.	80	93	-	8	31	16	57	36	10	3											
N.C.	791	867	673	241	86	105	N	N	U	U											
S.C.	425	432	302	80	32	31	114	141	N	N											
Ga.	1,212	1,246	1,322	892	86	107	193	205	N	N											
Fla.	2,669	2,548	2,008	1,180	162	155	450	436	N	N											
E.S. CENTRAL	1,619	1,973	624	922	156	79	105	110	-	-											
Ky.	284	228	72	97	37	14	13	13	N	N											
Tenn.	514	508	231	57	119	65	92	97	N	N											
Ala.	364	504	190	479	-	-	-	-	N	N											
Miss.	457	733	131	289	-	-	-	-	-	-											
W.S. CENTRAL	1,935	2,882	1,755	1,926	149	231	33	148	45	19											
Ark.	443	605	72	146	5	6	8	6	-	-											
La.	258	514	144	319	1	1	25	142	10	6											
Okla.	296	320	588	341	64	35	N	N	27	2											
Tex.	938	1,443	951	1,120	79	189	N	N	8	11											
MOUNTAIN	1,409	1,501	698	478	353	415	20	37	4	3											
Mont.	71	68	2	3	2	-	-	-	-	-											
Idaho	125	99	24	3	18	6	N	N	N	N											
Wyo.	68	45	5	6	2	7	4	10	-	-											
Colo.	311	439	126	108	98	87	-	-	-	-											
N. Mex.	135	204	129	96	88	78	16	27	-	-											
Ariz.	439	381	334	206	135	210	-	-	N	N											
Utah	153	117	38	21	9	27	-	-	4	3											
Nev.	107	148	40	35	1	-	-	-	-	-											
PACIFIC	3,211	3,501	1,572	1,693	446	424	3	-	-	-											
Wash.	352	320	108	101	38	46	-	-	N	N											
Oreg.	270	248	170	72	N	N	N	N	N	N											
Calif.	2,398	2,697	1,257	1,478	327	328	N	N	N	N											
Alaska	54	45	7	3	-	-	-	-	N	N											
Hawaii	137	191	30	39	81	50	3	-	-	-											
Guam	-	33	-	23	-	-	-	4	-	-											
P.R.	166	332	3	26	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


