
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending October 18, 2003 (WEEK 42)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	32,522	34,885	17,641	16,328	4,430	3,825	1,715	2,009	343	273											
NEW ENGLAND	1,731	1,857	255	280	338	280	40	94	7	3											
Maine	108	117	6	8	23	20	-	-	-	-											
N.H.	100	116	5	11	21	32	-	-	N	N											
Vt.	62	68	7	1	18	9	6	5	4	2											
Mass.	1,019	1,056	166	174	163	94	N	N	N	N											
R.I.	106	135	14	16	11	15	10	12	3	1											
Conn.	336	365	57	70	102	110	24	77	U	U											
MID. ATLANTIC	3,647	4,683	1,816	1,431	784	607	101	91	78	65											
Upstate N.Y.	933	1,231	363	232	315	245	56	76	60	54											
N.Y. City	1,030	1,184	320	404	105	136	U	U	U	U											
N.J.	426	902	228	511	131	131	N	N	N	N											
Pa.	1,258	1,366	905	284	233	95	45	15	18	11											
E.N. CENTRAL	4,389	4,702	1,420	1,801	922	820	366	181	140	106											
Ohio	1,143	1,144	263	536	264	179	236	44	79	10											
Ind.	484	469	132	91	95	46	130	135	38	49											
Ill.	1,386	1,565	704	865	182	235	-	2	-	-											
Mich.	655	755	216	151	314	259	N	N	N	N											
Wis.	721	769	105	158	67	101	N	N	23	47											
W.N. CENTRAL	2,131	2,149	676	873	287	206	137	404	46	46											
Minn.	472	459	89	183	143	103	-	284	40	42											
Iowa	319	416	63	103	N	N	N	N	N	N											
Mo.	846	708	328	150	63	41	11	5	2	1											
N. Dak.	30	24	3	16	13	-	3	1	4	3											
S. Dak.	100	101	16	151	19	12	1	1	-	-											
Nebr.	123	145	98	190	23	18	-	25	N	N											
Kans.	241	296	79	80	26	32	122	88	N	N											
S. ATLANTIC	8,587	8,883	6,072	5,256	769	635	876	918	17	28											
Del.	84	77	152	198	6	2	1	3	N	N											
Md.	699	773	522	931	226	99	-	-	-	21											
D.C.	37	66	62	51	13	7	2	-	7	3											
Va.	861	956	375	788	92	68	N	N	N	N											
W. Va.	109	111	-	9	31	18	58	37	10	4											
N.C.	1,105	1,195	837	335	93	110	N	N	U	U											
S.C.	622	661	399	99	35	35	123	161	N	N											
Ga.	1,591	1,625	1,396	1,278	100	118	204	230	N	N											
Fla.	3,479	3,419	2,329	1,567	173	178	488	487	N	N											
E.S. CENTRAL	2,143	2,622	721	1,151	171	93	117	116	-	-											
Ky.	333	300	111	131	40	19	15	14	N	N											
Tenn.	620	649	262	88	131	74	102	102	N	N											
Ala.	406	668	198	617	-	-	-	-	N	N											
Miss.	784	1,005	150	315	-	-	-	-	-	-											
W.S. CENTRAL	3,929	3,826	3,672	2,514	274	254	53	160	50	21											
Ark.	638	878	86	162	5	6	8	6	-	-											
La.	420	645	226	395	1	1	45	154	8	6											
Okla.	400	419	703	477	74	39	N	N	29	3											
Tex.	2,471	1,884	2,657	1,480	194	208	N	N	13	12											
MOUNTAIN	1,808	1,804	969	709	378	456	22	45	5	4											
Mont.	90	77	2	3	2	-	-	-	-	-											
Idaho	149	117	26	12	18	9	N	N	N	N											
Wyo.	71	60	6	8	2	7	5	13	-	-											
Colo.	404	496	235	155	115	99	-	-	-	-											
N. Mex.	207	251	190	163	94	92	17	32	-	-											
Ariz.	544	469	409	300	136	221	-	-	N	N											
Utah	187	150	43	24	9	28	-	-	5	4											
Nev.	156	184	58	44	2	-	-	-	-	-											
PACIFIC	4,157	4,359	2,040	2,313	507	474	3	-	-	-											
Wash.	445	430	131	136	53	46	-	-	N	N											
Oreg.	352	296	194	86	N	N	N	N	N	N											
Calif.	3,137	3,357	1,670	2,033	358	359	N	N	N	N											
Alaska	59	54	8	5	-	-	-	-	N	N											
Hawaii	164	222	37	53	96	69	3	-	-	-											
Guam	-	38	-	30	-	-	-	4	-	-											
P.R.	183	428	3	28	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


