
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 24, 2004 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	873	1,360	326	1,143	225	240	200	111	15	24											
NEW ENGLAND	48	50	11	13	4	27	-	9	-	-											
Maine	2	1	-	-	1	-	-	-	-	-											
N.H.	-	2	-	-	-	1	-	-	N	N											
Vt.	2	1	-	-	-	1	-	1	-	-											
Mass.	36	42	9	13	3	13	N	N	N	N											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	8	4	2	-	-	12	-	8	U	U											
MID. ATLANTIC	52	151	30	107	22	47	7	5	1	3											
Upstate N.Y.	16	7	22	8	12	5	3	1	1	2											
N.Y. City	3	56	-	29	-	5	U	U	U	U											
N.J.	5	35	3	38	1	11	N	N	N	N											
Pa.	28	53	5	32	9	26	4	4	-	1											
E.N. CENTRAL	136	158	38	51	53	50	65	23	14	15											
Ohio	62	72	15	13	27	18	61	23	13	10											
Ind.	-	3	-	1	-	-	4	-	1	-											
Ill.	30	27	12	13	-	5	-	-	-	-											
Mich.	29	26	6	16	26	16	N	N	N	N											
Wis.	15	30	5	8	-	11	N	N	-	5											
W.N. CENTRAL	52	72	18	40	9	15	14	18	-	2											
Minn.	11	15	1	1	-	-	-	-	-	1											
Iowa	13	14	2	-	N	N	N	N	N	N											
Mo.	-	27	-	21	-	7	-	-	-	-											
N. Dak.	1	-	1	-	-	-	-	-	-	1											
S. Dak.	5	4	1	2	2	2	-	-	-	-											
Nebr.	6	2	1	12	-	3	-	-	N	N											
Kans.	16	10	12	4	7	3	14	18	N	N											
S. ATLANTIC	301	437	133	572	80	16	107	43	-	-											
Del.	-	2	1	20	-	1	-	-	N	N											
Md.	24	33	8	61	13	5	-	-	-	-											
D.C.	-	-	2	-	-	-	-	-	-	-											
Va.	18	7	2	4	2	-	N	N	N	N											
W. Va.	-	-	-	-	-	-	2	-	-	-											
N.C.	33	67	14	51	2	2	N	N	U	U											
S.C.	1	3	-	2	1	1	-	7	N	N											
Ga.	68	182	36	237	43	6	57	28	N	N											
Fla.	157	143	70	197	19	1	48	8	N	N											
E.S. CENTRAL	42	90	5	48	10	4	3	2	-	-											
Ky.	2	4	-	5	-	1	1	-	N	N											
Tenn.	14	21	-	7	10	3	2	2	N	N											
Ala.	18	42	4	25	-	-	-	-	N	N											
Miss.	8	23	1	11	-	-	-	-	-	-											
W.S. CENTRAL	30	127	16	135	6	36	1	10	-	4											
Ark.	10	6	2	1	-	-	1	-	-	-											
La.	-	23	-	25	-	-	-	10	-	-											
Okla.	16	2	10	12	1	1	N	N	-	1											
Tex.	4	96	4	97	5	35	N	N	-	3											
MOUNTAIN	34	82	9	47	8	36	3	1	-	-											
Mont.	3	2	1	-	-	-	-	-	-	-											
Idaho	17	7	-	-	1	2	N	N	N	N											
Wyo.	2	1	1	1	2	-	2	-	-	-											
Colo.	-	34	-	9	-	9	-	-	-	-											
N. Mex.	4	8	7	14	5	7	1	1	-	-											
Ariz.	-	15	-	20	-	17	-	-	N	N											
Utah	8	4	-	2	-	1	-	-	-	-											
Nev.	-	11	-	1	-	-	-	-	-	-											
PACIFIC	178	193	66	130	33	9	-	-	-	-											
Wash.	2	1	3	-	-	-	-	-	N	N											
Oreg.	9	7	4	3	N	N	N	N	N	N											
Calif.	147	168	53	123	24	5	N	N	N	N											
Alaska	9	7	-	1	-	-	-	-	N	N											
Hawaii	11	10	6	3	9	4	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	10	-	-	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


