
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 31, 2004 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	3,016	42,993	55,542	92	225	118	123	2	-											
NEW ENGLAND	-	64	1,820	2,066	-	-	5	8	-	-											
Maine	-	-	50	138	N	N	2	-	-	-											
N.H.	-	1	-	118	-	-	-	-	-	-											
Vt.	-	-	71	68	-	-	2	1	-	-											
Mass.	-	1	1,286	758	-	-	1	5	-	-											
R.I.	-	5	361	202	-	-	-	1	-	-											
Conn.	-	57	52	782	N	N	-	1	-	-											
MID. ATLANTIC	-	905	5,582	6,978	-	-	15	15	1	-											
Upstate N.Y.	-	51	791	603	N	N	5	2	-	-											
N.Y. City	-	430	2,172	2,472	-	-	1	8	-	-											
N.J.	-	72	585	1,268	-	-	-	1	-	-											
Pa.	-	352	2,034	2,635	N	N	9	4	1	-											
E.N. CENTRAL	-	278	5,975	10,661	-	1	21	25	-	-											
Ohio	-	61	454	2,770	-	-	14	3	-	-											
Ind.	-	42	1,064	1,345	N	N	1	-	-	-											
Ill.	-	81	1,790	3,753	-	-	-	7	-	-											
Mich.	-	89	2,184	1,505	-	1	6	4	-	-											
Wis.	-	5	483	1,288	-	-	-	11	-	-											
W.N. CENTRAL	-	36	2,033	3,182	-	-	8	7	-	-											
Minn.	-	-	97	791	N	N	2	3	-	-											
Iowa	-	13	-	195	N	N	1	2	-	-											
Mo.	-	22	991	1,189	-	-	-	1	-	-											
N. Dak.	-	-	57	42	N	N	-	-	-	-											
S. Dak.	-	1	188	153	-	-	2	1	-	-											
Nebr.	-	-	229	234	-	-	-	-	-	-											
Kans.	-	-	471	578	N	N	3	-	-	-											
S. ATLANTIC	-	643	7,692	9,188	-	-	32	11	1	-											
Del.	-	-	187	229	N	N	-	-	-	-											
Md.	-	12	1,225	1,272	-	-	2	2	-	-											
D.C.	-	157	202	253	-	-	-	-	-	-											
Va.	-	137	992	947	-	-	1	-	-	-											
W. Va.	-	-	213	178	N	N	-	-	-	-											
N.C.	-	3	1,951	1,751	N	N	8	1	-	-											
S.C.	-	35	719	790	-	-	-	-	-	-											
Ga.	-	155	185	1,336	-	-	8	7	-	-											
Fla.	-	144	2,018	2,432	N	N	13	1	1	-											
E.S. CENTRAL	-	17	3,189	3,787	N	N	8	8	-	-											
Ky.	-	5	509	513	N	N	3	1	-	-											
Tenn.	-	-	1,292	984	N	N	2	4	-	-											
Ala.	-	12	973	1,156	-	-	2	3	-	-											
Miss.	-	-	415	1,134	N	N	1	-	-	-											
W.S. CENTRAL	-	572	8,151	7,253	-	-	5	3	-	-											
Ark.	-	-	485	473	-	-	2	1	-	-											
La.	-	-	2,865	1,034	N	N	-	-	-	-											
Okla.	-	1	415	500	N	N	2	-	-	-											
Tex.	-	571	4,386	5,246	-	-	1	2	-	-											
MOUNTAIN	-	120	2,180	3,218	3	184	2	5	-	-											
Mont.	-	6	26	128	N	N	-	-	-	-											
Idaho	-	-	120	151	N	N	-	2	-	-											
Wyo.	-	1	53	77	-	-	1	-	-	-											
Colo.	-	22	132	882	N	N	1	2	-	-											
N. Mex.	-	-	31	479	-	-	-	-	-	-											
Ariz.	-	78	1,726	922	-	181	-	1	-	-											
Utah	-	6	92	131	3	-	-	-	-	-											
Nev.	-	7	-	448	-	3	-	-	-	-											
PACIFIC	-	381	6,371	9,209	89	40	22	41	-	-											
Wash.	-	31	1,157	950	N	N	-	-	-	-											
Oreg.	-	35	-	270	-	-	1	2	-	-											
Calif.	-	312	5,025	7,354	89	40	21	39	-	-											
Alaska	-	3	178	222	-	-	-	-	-	-											
Hawaii	-	-	11	413	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	50	22	N	N	N	N	-	-											
V.I.	-	-	-	24	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


