
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 7, 2004 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	5,274	57,460	74,252	105	346	161	280	2	57											
NEW ENGLAND	-	192	2,163	2,587	-	-	5	10	-	-											
Maine	-	-	102	167	N	N	2	-	-	-											
N.H.	-	3	-	147	-	-	-	-	-	-											
Vt.	-	5	71	94	-	-	2	1	-	-											
Mass.	-	111	1,408	933	-	-	1	7	-	-											
R.I.	-	16	429	269	-	-	-	1	-	-											
Conn.	-	57	153	977	N	N	-	1	-	-											
MID. ATLANTIC	-	1,541	7,664	9,402	-	-	21	21	1	-											
Upstate N.Y.	-	77	1,371	922	N	N	7	3	-	-											
N.Y. City	-	942	2,757	3,001	-	-	2	10	-	-											
N.J.	-	170	1,125	1,548	-	-	1	1	-	-											
Pa.	-	352	2,411	3,931	N	N	11	7	1	-											
E.N. CENTRAL	-	632	8,945	14,792	-	1	32	34	-	-											
Ohio	-	95	483	3,764	-	-	15	7	-	-											
Ind.	-	84	1,429	1,755	N	N	2	-	-	-											
Ill.	-	290	2,301	4,983	-	-	-	8	-	-											
Mich.	-	143	3,954	2,636	-	1	10	4	-	-											
Wis.	-	20	778	1,654	-	-	5	15	-	-											
W.N. CENTRAL	-	60	3,139	4,126	-	-	14	9	-	-											
Minn.	-	9	192	1,024	N	N	2	4	-	-											
Iowa	-	17	-	269	N	N	1	2	-	-											
Mo.	-	25	1,620	1,565	-	-	3	1	-	-											
N. Dak.	-	-	90	63	N	N	-	-	-	-											
S. Dak.	-	1	249	204	-	-	4	2	-	-											
Nebr.	-	-	444	270	-	-	-	-	-	-											
Kans.	-	8	544	731	N	N	4	-	-	-											
S. ATLANTIC	-	1,118	9,219	12,093	-	-	36	143	1	57											
Del.	-	30	263	293	N	N	-	1	-	-											
Md.	-	103	1,633	1,532	-	-	2	3	-	-											
D.C.	-	179	202	348	-	-	-	-	-	-											
Va.	-	176	992	1,327	-	-	3	-	-	-											
W. Va.	-	6	275	230	N	N	-	-	-	-											
N.C.	-	123	1,951	2,120	N	N	10	2	-	-											
S.C.	-	45	893	973	-	-	-	1	-	-											
Ga.	-	309	280	1,908	-	-	8	7	-	-											
Fla.	-	147	2,730	3,362	N	N	13	129	1	57											
E.S. CENTRAL	-	80	3,873	4,909	N	N	11	10	-	-											
Ky.	-	28	509	694	N	N	3	1	-	-											
Tenn.	-	21	1,681	1,456	N	N	5	4	-	-											
Ala.	-	12	1,268	1,376	-	-	2	4	-	-											
Miss.	-	19	415	1,383	N	N	1	1	-	-											
W.S. CENTRAL	-	698	10,178	9,386	-	-	8	4	-	-											
Ark.	-	14	635	551	-	-	5	1	-	-											
La.	-	15	3,221	1,564	N	N	-	-	-	-											
Okla.	-	16	622	645	N	N	2	-	-	-											
Tex.	-	653	5,700	6,626	-	-	1	3	-	-											
MOUNTAIN	-	204	2,699	4,566	3	286	5	6	-	-											
Mont.	-	7	26	128	N	N	-	-	-	-											
Idaho	-	1	120	151	N	N	-	3	-	-											
Wyo.	-	1	96	104	-	-	1	-	-	-											
Colo.	-	23	200	1,228	N	N	4	2	-	-											
N. Mex.	-	14	31	638	-	-	-	-	-	-											
Ariz.	-	112	2,134	1,587	-	282	-	1	-	-											
Utah	-	6	92	191	3	1	-	-	-	-											
Nev.	-	40	-	539	-	3	-	-	-	-											
PACIFIC	-	749	9,580	12,391	102	59	29	43	-	-											
Wash.	-	72	1,444	1,313	N	N	-	-	-	-											
Oreg.	-	47	676	414	-	-	3	2	-	-											
Calif.	-	618	7,197	9,852	102	59	26	41	-	-											
Alaska	-	6	252	305	-	-	-	-	-	-											
Hawaii	-	6	11	507	-	-	-	-	-	-											
Guam	-	1	-	-	-	-	-	-	-	-											
P.R.	-	145	135	24	N	N	N	N	-	-											
V.I.	-	2	-	30	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


