
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 28, 2004 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	3,331	8,078	1,351	5,431	739	1,170	448	899	49	77											
NEW ENGLAND	146	145	35	53	33	82	1	22	1	-											
Maine	6	6	-	3	1	1	-	-	-	-											
N.H.	5	9	2	-	5	4	-	-	N	N											
Vt.	6	4	-	1	-	3	-	3	-	-											
Mass.	92	96	26	35	25	43	N	N	N	N											
R.I.	7	6	-	2	2	-	1	-	1	-											
Conn.	30	24	7	12	-	31	-	19	U	U											
MID. ATLANTIC	362	468	131	268	95	179	24	19	11	15											
Upstate N.Y.	67	52	50	32	40	50	9	9	5	13											
N.Y. City	112	152	37	62	5	29	U	U	U	U											
N.J.	53	95	20	69	15	43	N	N	N	N											
Pa.	130	169	24	105	35	57	15	10	6	2											
E.N. CENTRAL	464	540	121	225	111	249	102	75	23	43											
Ohio	146	147	36	46	46	55	83	64	16	29											
Ind.	31	27	4	9	6	12	19	11	6	2											
Ill.	117	216	46	114	2	72	-	-	-	-											
Mich.	89	72	20	33	54	73	N	N	N	N											
Wis.	81	78	15	23	3	37	N	N	1	12											
W.N. CENTRAL	192	196	51	117	61	59	38	50	5	10											
Minn.	42	52	11	11	24	24	-	-	5	8											
Iowa	33	50	3	2	N	N	N	N	N	N											
Mo.	58	47	17	45	10	16	2	1	-	-											
N. Dak.	4	4	1	-	3	1	-	1	-	2											
S. Dak.	9	10	1	8	4	5	-	-	-	-											
Nebr.	15	11	2	39	3	6	-	-	N	N											
Kans.	31	22	16	12	17	7	36	48	N	N											
S. ATLANTIC	897	5,318	396	3,659	222	309	242	692	2	2											
Del.	4	8	2	61	-	1	1	-	N	N											
Md.	55	88	19	107	43	35	-	1	-	-											
D.C.	4	-	8	-	-	-	-	-	2	-											
Va.	97	50	15	31	7	8	N	N	N	N											
W. Va.	5	2	-	-	6	1	8	10	-	2											
N.C.	112	179	47	121	17	17	N	N	U	U											
S.C.	47	59	15	21	1	3	17	28	N	N											
Ga.	186	263	94	469	108	13	112	42	N	N											
Fla.	387	4,669	196	2,849	40	231	104	611	N	N											
E.S. CENTRAL	167	244	71	125	38	22	22	13	-	-											
Ky.	23	40	7	22	19	5	6	-	N	N											
Tenn.	48	81	37	32	19	17	16	13	N	N											
Ala.	60	81	15	49	-	-	-	-	N	N											
Miss.	36	42	12	22	-	-	-	-	-	-											
W.S. CENTRAL	178	335	165	460	25	93	11	23	6	6											
Ark.	30	40	10	3	2	2	2	5	1	2											
La.	15	51	14	61	-	-	9	18	2	2											
Okla.	29	26	58	88	12	14	N	N	2	2											
Tex.	104	218	83	308	11	77	N	N	1	-											
MOUNTAIN	375	220	194	129	62	97	8	5	1	1											
Mont.	10	13	3	-	-	-	-	-	-	-											
Idaho	27	16	-	2	1	5	N	N	N	N											
Wyo.	4	3	1	1	3	-	4	-	-	-											
Colo.	87	68	37	25	38	26	-	-	-	-											
N. Mex.	20	20	23	25	10	23	3	5	-	-											
Ariz.	184	65	113	68	4	41	-	-	N	N											
Utah	26	17	8	4	6	2	-	-	1	1											
Nev.	17	18	9	4	-	-	1	-	-	-											
PACIFIC	550	612	187	395	92	80	-	-	-	-											
Wash.	36	36	8	8	-	-	-	-	N	N											
Oreg.	45	35	11	10	N	N	N	N	N	N											
Calif.	409	503	160	369	69	64	N	N	N	N											
Alaska	18	16	-	2	-	-	-	-	N	N											
Hawaii	42	22	8	6	23	16	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	9	60	1	2	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


