
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 6, 2004 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	-	8,321	120,410	140,014	1,219	602	418	412	4	57											
NEW ENGLAND	-	279	4,442	4,708	-	-	26	24	-	-											
Maine	-	8	181	298	N	N	4	1	-	-											
N.H.	-	3	309	257	-	-	6	3	-	-											
Vt.	-	5	178	192	-	-	3	3	-	-											
Mass.	-	111	2,569	1,761	-	-	10	12	-	-											
R.I.	-	21	646	467	-	-	-	3	-	-											
Conn.	-	131	559	1,733	N	N	3	2	-	-											
MID. ATLANTIC	-	2,163	17,580	15,485	-	-	75	43	1	-											
Upstate N.Y.	-	92	3,108	2,369	N	N	17	8	-	-											
N.Y. City	-	1,272	4,717	5,548	-	-	8	19	-	-											
N.J.	-	296	1,996	2,482	-	-	4	2	-	-											
Pa.	-	503	7,759	5,086	N	N	46	14	1	-											
E.N. CENTRAL	-	856	18,786	26,888	-	2	85	65	-	-											
Ohio	-	128	2,490	7,458	-	-	30	9	-	-											
Ind.	-	119	3,117	3,094	N	N	12	3	-	-											
Ill.	-	365	4,821	8,745	-	-	5	12	-	-											
Mich.	-	202	6,744	4,649	-	2	21	16	-	-											
Wis.	-	42	1,614	2,942	-	-	17	25	-	-											
W.N. CENTRAL	-	136	6,708	8,083	-	-	50	22	1	-											
Minn.	-	23	992	1,883	N	N	17	11	-	-											
Iowa	-	23	-	688	N	N	7	5	-	-											
Mo.	-	73	2,917	3,000	-	-	12	2	1	-											
N. Dak.	-	-	165	172	N	N	-	-	-	-											
S. Dak.	-	4	405	398	-	-	4	4	-	-											
Nebr.	-	6	894	715	-	-	-	-	-	-											
Kans.	-	7	1,335	1,227	N	N	10	-	-	-											
S. ATLANTIC	-	1,814	19,652	24,997	-	-	73	157	1	57											
Del.	-	49	513	517	N	N	-	1	-	-											
Md.	-	187	3,171	2,701	-	-	6	6	-	-											
D.C.	-	233	536	567	-	-	1	-	-	-											
Va.	-	264	1,245	2,398	-	-	8	2	-	-											
W. Va.	-	13	404	432	N	N	-	-	-	-											
N.C.	-	192	4,350	4,186	N	N	20	4	-	-											
S.C.	-	169	2,896	2,182	-	-	-	1	-	-											
Ga.	-	415	659	5,125	-	-	21	14	-	-											
Fla.	-	292	5,878	6,889	N	N	17	129	1	57											
E.S. CENTRAL	-	324	7,861	9,499	N	N	20	16	-	-											
Ky.	-	38	978	1,530	N	N	5	1	-	-											
Tenn.	-	145	3,178	3,039	N	N	11	7	-	-											
Ala.	-	64	2,025	2,560	-	-	2	6	-	-											
Miss.	-	77	1,680	2,370	N	N	2	2	-	-											
W.S. CENTRAL	-	940	17,124	17,728	-	1	15	8	1	-											
Ark.	-	23	1,289	1,056	-	-	7	2	-	-											
La.	-	49	4,405	3,552	N	N	-	-	1	-											
Okla.	-	40	1,301	1,221	N	N	5	1	-	-											
Tex.	-	828	10,129	11,899	-	1	3	5	-	-											
MOUNTAIN	-	312	7,343	8,941	966	479	23	15	-	-											
Mont.	-	7	27	355	N	N	1	1	-	-											
Idaho	-	4	620	403	N	N	-	4	-	-											
Wyo.	-	2	174	188	-	-	2	-	-	-											
Colo.	-	72	534	2,297	N	N	14	3	-	-											
N. Mex.	-	27	1,245	1,347	2	-	1	-	-	-											
Ariz.	-	145	3,402	2,900	951	471	4	1	-	-											
Utah	-	14	365	387	4	1	-	4	-	-											
Nev.	-	41	976	1,064	9	7	1	2	-	-											
PACIFIC	-	1,497	20,914	23,685	253	120	51	62	-	-											
Wash.	-	117	2,837	2,426	N	N	-	-	-	-											
Oreg.	-	66	1,312	1,066	-	-	8	3	-	-											
Calif.	-	1,294	16,286	18,667	253	120	42	59	-	-											
Alaska	-	7	468	601	-	-	-	-	-	-											
Hawaii	-	13	11	925	-	-	1	-	-	-											
Guam	-	1	-	-	-	-	-	-	-	-											
P.R.	-	235	298	139	N	N	N	N	-	-											
V.I.	-	6	-	53	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


