
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 20, 2004 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	181	246	29	56	21	20	2,874	4,088	54,486	67,541											
NEW ENGLAND	11	9	2	3	2	2	248	230	1,449	1,517											
Maine	-	-	-	-	-	-	25	20	55	26											
N.H.	1	2	-	1	-	-	8	14	24	23											
Vt.	-	-	-	-	-	-	16	17	14	22											
Mass.	1	3	1	-	2	2	121	117	695	568											
R.I.	1	-	-	-	-	-	23	18	200	198											
Conn.	8	4	1	2	-	-	55	44	461	680											
MID. ATLANTIC	16	24	1	1	3	2	626	655	7,517	8,331											
Upstate N.Y.	4	4	1	-	1	-	193	140	1,390	1,310											
N.Y. City	4	3	-	-	-	-	197	269	2,257	2,874											
N.J.	-	4	-	-	1	-	49	88	1,100	1,892											
Pa.	8	13	-	1	1	2	187	158	2,770	2,255											
E.N. CENTRAL	37	52	7	7	3	2	365	557	9,078	15,225											
Ohio	11	13	-	4	3	2	158	176	1,244	4,828											
Ind.	9	7	-	-	-	-	-	-	1,373	1,421											
Ill.	4	8	-	-	-	-	56	159	2,450	4,703											
Mich.	8	9	1	-	-	-	107	139	3,490	2,992											
Wis.	5	15	6	3	-	-	44	83	521	1,281											
W.N. CENTRAL	27	31	7	4	6	2	277	312	3,185	3,515											
Minn.	11	12	3	3	-	-	96	83	673	573											
Iowa	3	3	-	-	-	-	39	40	-	188											
Mo.	5	8	4	1	1	-	82	112	1,629	1,862											
N. Dak.	1	1	-	-	3	1	4	10	24	8											
S. Dak.	-	2	-	-	-	-	12	10	52	25											
Nebr.	4	4	-	-	-	-	20	33	255	293											
Kans.	3	1	-	-	2	1	24	24	552	566											
S. ATLANTIC	11	52	8	33	3	10	485	1,399	11,909	15,666											
Del.	-	-	N	N	N	N	11	11	216	287											
Md.	2	-	-	-	-	-	19	22	1,780	1,628											
D.C.	-	-	-	-	-	-	10	3	493	543											
Va.	-	2	2	-	-	-	64	39	472	1,566											
W. Va.	-	-	-	-	-	-	7	5	189	170											
N.C.	-	-	3	6	-	-	N	N	3,254	2,871											
S.C.	-	-	-	-	-	-	10	18	1,830	1,567											
Ga.	5	3	2	2	-	-	127	165	544	3,128											
Fla.	4	47	1	25	3	10	237	1,136	3,131	3,906											
E.S. CENTRAL	8	11	1	-	3	-	63	59	4,990	5,863											
Ky.	4	1	1	-	3	-	N	N	546	753											
Tenn.	2	6	-	-	-	-	25	26	1,550	1,797											
Ala.	1	3	-	-	-	-	38	33	1,631	1,880											
Miss.	1	1	-	-	-	-	-	-	1,263	1,433											
W.S. CENTRAL	8	10	-	2	-	2	58	44	8,206	8,957											
Ark.	-	1	-	-	-	-	28	28	747	769											
La.	-	-	-	-	-	-	7	3	2,592	2,343											
Okla.	3	-	-	-	-	-	23	13	690	694											
Tex.	5	9	-	2	-	2	-	-	4,177	5,151											
MOUNTAIN	37	21	2	5	1	-	288	261	2,182	2,365											
Mont.	1	-	-	-	-	-	5	5	8	31											
Idaho	3	6	1	3	-	-	42	30	13	16											
Wyo.	-	-	-	-	-	-	1	3	11	10											
Colo.	19	5	1	1	1	-	88	71	415	668											
N. Mex.	1	-	-	1	-	-	11	13	152	278											
Ariz.	8	8	N	N	N	N	80	55	1,067	937											
Utah	2	2	-	-	-	-	44	55	61	51											
Nev.	3	-	-	-	-	-	17	29	455	374											
PACIFIC	26	36	1	1	-	-	464	571	5,970	6,102											
Wash.	5	11	-	-	-	-	46	33	599	572											
Oreg.	2	4	1	1	-	-	82	68	179	194											
Calif.	15	21	-	-	-	-	315	436	5,069	5,014											
Alaska	-	-	-	-	-	-	8	14	122	113											
Hawaii	4	-	-	-	-	-	13	20	1	209											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	2	13	24	28											
V.I.	-	-	-	-	-	-	-	-	4	21											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


