
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 17, 2004 (WEEK 15)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	6,501	11,179	2,692	7,448	1,580	2,297	870	1,329	131	166											
NEW ENGLAND	309	344	58	90	66	222	8	36	3	1											
Maine	17	20	1	3	3	12	-	-	-	-											
N.H.	18	25	3	1	9	15	-	-	N	N											
Vt.	16	8	1	3	3	11	3	4	1	1											
Mass.	185	202	38	57	49	102	N	N	N	N											
R.I.	13	17	1	2	2	1	5	-	2	-											
Conn.	60	72	14	24	-	81	-	32	U	U											
MID. ATLANTIC	852	894	330	469	226	361	51	48	30	27											
Upstate N.Y.	198	156	146	75	87	125	22	23	21	17											
N.Y. City	250	280	89	126	27	49	U	U	U	U											
N.J.	154	159	55	114	39	85	N	N	N	N											
Pa.	250	299	40	154	73	102	29	25	9	10											
E.N. CENTRAL	922	1,057	223	408	266	525	198	161	46	67											
Ohio	255	307	51	75	95	112	158	109	31	39											
Ind.	77	78	41	31	29	37	40	52	11	7											
Ill.	228	368	74	202	25	145	-	-	-	-											
Mich.	185	148	32	66	106	151	N	N	N	N											
Wis.	177	156	25	34	11	80	N	N	4	21											
W.N. CENTRAL	456	391	101	185	130	135	82	78	17	16											
Minn.	102	100	13	25	63	55	-	-	14	13											
Iowa	87	86	29	9	N	N	N	N	N	N											
Mo.	137	103	26	66	26	29	3	3	3	1											
N. Dak.	12	8	1	3	4	7	-	3	-	2											
S. Dak.	19	19	6	8	8	13	1	-	-	-											
Nebr.	38	31	7	50	8	16	-	-	N	N											
Kans.	61	44	19	24	21	15	78	72	N	N											
S. ATLANTIC	1,581	5,646	850	3,858	382	532	436	897	3	4											
Del.	9	24	3	93	2	4	3	-	N	N											
Md.	118	172	30	164	72	117	-	2	-	-											
D.C.	11	9	13	16	2	3	2	-	3	-											
Va.	173	148	29	74	15	36	N	N	N	N											
W. Va.	29	15	-	-	9	11	42	16	-	4											
N.C.	216	286	121	222	45	36	N	N	U	U											
S.C.	83	91	118	60	21	11	31	63	N	N											
Ga.	327	232	185	380	146	83	157	205	N	N											
Fla.	615	4,669	351	2,849	70	231	201	611	N	N											
E.S. CENTRAL	354	408	156	266	75	62	51	49	-	-											
Ky.	68	77	23	34	26	12	13	3	N	N											
Tenn.	105	145	58	87	49	50	38	46	N	N											
Ala.	124	121	56	95	-	-	-	-	N	N											
Miss.	57	65	19	50	-	-	-	-	-	-											
W.S. CENTRAL	433	661	443	1,201	72	114	22	47	27	28											
Ark.	65	73	14	16	4	3	4	14	4	4											
La.	33	102	30	111	-	1	18	33	4	5											
Okla.	56	57	97	181	19	31	N	N	11	5											
Tex.	279	429	302	893	49	79	N	N	8	14											
MOUNTAIN	546	478	210	264	202	178	13	12	5	23											
Mont.	26	30	3	1	-	-	-	-	-	-											
Idaho	43	56	3	5	3	10	N	N	N	N											
Wyo.	16	5	1	1	5	-	4	2	-	-											
Colo.	142	132	45	43	62	55	-	-	3	21											
N. Mex.	33	41	32	48	27	49	5	10	-	-											
Ariz.	180	136	99	139	91	60	-	-	N	N											
Utah	60	47	11	14	13	4	2	-	2	2											
Nev.	46	31	16	13	1	-	2	-	-	-											
PACIFIC	1,048	1,300	321	707	161	168	9	1	-	-											
Wash.	72	112	19	52	20	-	-	-	N	N											
Oreg.	71	123	18	23	N	N	N	N	N	N											
Calif.	802	994	269	618	110	138	N	N	N	N											
Alaska	29	27	2	4	-	-	-	-	N	N											
Hawaii	74	44	13	10	31	30	9	1	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	32	137	1	2	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


