
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 24, 2004 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	293	300	36	54	37	20	4,305	4,566	85,344	97,464											
NEW ENGLAND	17	15	1	7	6	4	389	331	2,097	2,153											
Maine	-	1	-	-	-	-	35	35	82	51											
N.H.	3	5	-	1	-	-	13	17	40	41											
Vt.	-	-	-	-	-	-	25	22	23	29											
Mass.	2	4	-	2	6	4	202	180	1,050	828											
R.I.	2	1	-	-	-	-	33	33	293	295											
Conn.	10	4	1	4	-	-	81	44	609	909											
MID. ATLANTIC	23	35	1	1	9	5	942	962	10,642	12,459											
Upstate N.Y.	10	9	1	-	3	2	297	226	2,177	2,142											
N.Y. City	4	3	-	-	-	-	287	368	3,030	4,160											
N.J.	1	4	-	-	2	-	81	135	1,605	2,731											
Pa.	8	19	-	1	4	3	277	233	3,830	3,426											
E.N. CENTRAL	56	77	9	12	5	4	532	801	16,667	21,224											
Ohio	17	16	-	9	5	4	225	237	4,610	6,968											
Ind.	9	9	-	-	-	-	-	-	1,811	1,990											
Ill.	9	16	-	-	-	-	59	238	4,197	6,464											
Mich.	10	16	1	-	-	-	165	191	4,891	3,972											
Wis.	11	20	8	3	-	-	83	135	1,158	1,830											
W.N. CENTRAL	54	40	8	7	7	6	503	448	4,714	5,036											
Minn.	23	14	4	5	-	-	166	133	998	818											
Iowa	5	4	-	-	-	-	66	64	160	298											
Mo.	7	14	4	1	2	-	155	147	2,333	2,620											
N. Dak.	2	1	-	-	3	1	8	13	37	15											
S. Dak.	2	2	-	-	-	-	19	14	84	46											
Nebr.	7	4	-	1	-	-	42	43	318	448											
Kans.	8	1	-	-	2	5	47	34	784	791											
S. ATLANTIC	27	23	12	18	3	-	716	693	20,214	23,191											
Del.	-	-	N	N	N	N	16	15	310	392											
Md.	3	-	-	-	-	-	27	32	2,520	2,375											
D.C.	-	1	-	-	-	-	20	13	738	774											
Va.	1	4	5	-	-	-	109	77	2,853	2,446											
W. Va.	1	1	-	-	-	-	9	7	255	261											
N.C.	-	-	4	8	-	-	N	N	4,576	3,984											
S.C.	1	-	-	-	-	-	16	34	2,746	2,497											
Ga.	7	6	2	2	-	-	193	225	1,256	4,892											
Fla.	14	11	1	8	3	-	326	290	4,960	5,570											
E.S. CENTRAL	10	13	1	-	5	-	88	95	6,793	8,394											
Ky.	4	2	1	-	3	-	N	N	703	1,071											
Tenn.	2	7	-	-	2	-	36	42	2,436	2,528											
Ala.	1	3	-	-	-	-	52	53	1,939	2,762											
Miss.	3	1	-	-	-	-	-	-	1,715	2,033											
W.S. CENTRAL	16	13	-	2	1	-	74	64	11,900	12,818											
Ark.	1	2	-	-	-	-	35	36	1,037	1,122											
La.	-	1	-	-	-	-	8	4	3,628	3,183											
Okla.	3	1	-	-	-	-	31	24	1,380	1,127											
Tex.	12	9	-	2	1	-	-	-	5,855	7,386											
MOUNTAIN	48	34	3	6	1	1	364	361	3,200	3,324											
Mont.	2	-	-	-	-	-	11	13	11	44											
Idaho	6	9	1	4	-	-	49	45	25	27											
Wyo.	-	-	-	-	-	-	3	5	18	16											
Colo.	24	14	1	1	1	1	115	104	816	906											
N. Mex.	3	-	-	1	-	-	17	16	179	394											
Ariz.	4	8	N	N	N	N	69	65	1,458	1,269											
Utah	5	3	-	-	-	-	69	77	102	83											
Nev.	4	-	1	-	-	-	31	36	591	585											
PACIFIC	42	50	1	1	-	-	697	811	9,117	8,865											
Wash.	8	16	-	-	-	-	72	61	835	872											
Oreg.	5	8	1	1	-	-	116	84	225	289											
Calif.	22	26	-	-	-	-	461	614	7,864	7,221											
Alaska	1	-	-	-	-	-	20	26	192	168											
Hawaii	6	-	-	-	-	-	28	26	1	315											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	25	6	27	46	76											
V.I.	-	-	-	-	-	-	-	-	4	30											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


