
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 1, 2004 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	7,620	8,317	2,990	6,178	1,815	2,489	1,003	982	178	217											
NEW ENGLAND	353	395	66	97	79	247	11	42	4	1											
Maine	22	24	1	4	3	13	-	-	-	-											
N.H.	23	30	3	2	9	15	-	-	N	N											
Vt.	17	12	1	3	4	11	5	5	1	1											
Mass.	206	226	44	61	58	111	N	N	N	N											
R.I.	25	17	3	3	5	1	6	-	3	-											
Conn.	60	86	14	24	-	96	-	37	U	U											
MID. ATLANTIC	963	1,041	362	503	264	419	58	55	40	35											
Upstate N.Y.	244	190	160	85	101	152	26	25	29	24											
N.Y. City	271	325	99	136	36	61	U	U	U	U											
N.J.	171	175	61	123	45	90	N	N	N	N											
Pa.	277	351	42	159	82	116	32	30	11	11											
E.N. CENTRAL	1,083	1,180	241	482	310	633	224	192	61	82											
Ohio	293	350	55	85	118	138	172	131	39	49											
Ind.	97	90	44	34	33	52	52	61	15	10											
Ill.	282	403	81	252	29	178	-	-	-	-											
Mich.	208	159	34	73	118	176	N	N	N	N											
Wis.	203	178	27	38	12	89	N	N	7	23											
W.N. CENTRAL	549	449	109	212	149	154	94	90	20	18											
Minn.	135	126	13	30	69	67	-	-	17	15											
Iowa	95	89	29	12	N	N	N	N	N	N											
Mo.	163	119	32	73	35	33	5	6	3	1											
N. Dak.	13	10	1	3	5	8	-	3	-	2											
S. Dak.	23	20	6	8	8	14	1	-	-	-											
Nebr.	44	36	7	60	8	17	-	-	N	N											
Kans.	76	49	21	26	24	15	88	81	N	N											
S. ATLANTIC	1,834	1,939	949	2,006	440	407	502	479	4	5											
Del.	24	24	6	94	4	4	6	-	N	N											
Md.	143	195	34	180	82	119	-	3	-	-											
D.C.	12	10	16	20	2	3	2	-	3	-											
Va.	199	170	30	84	23	36	N	N	N	N											
W. Va.	29	18	-	-	11	16	45	23	1	5											
N.C.	234	312	126	226	48	36	N	N	U	U											
S.C.	95	108	132	84	23	13	31	74	N	N											
Ga.	356	265	215	429	162	88	175	128	N	N											
Fla.	742	837	390	889	85	92	243	251	N	N											
E.S. CENTRAL	407	468	168	306	87	83	56	64	2	-											
Ky.	80	82	26	40	29	21	15	6	N	N											
Tenn.	122	161	65	99	58	62	41	58	N	N											
Ala.	131	142	56	106	-	-	-	-	N	N											
Miss.	74	83	21	61	-	-	-	-	-	-											
W.S. CENTRAL	481	801	477	1,501	84	123	25	44	42	49											
Ark.	78	84	15	19	4	3	5	15	4	4											
La.	36	140	34	170	-	1	20	29	6	10											
Okla.	65	63	113	216	24	32	N	N	21	20											
Tex.	302	514	315	1,096	56	87	N	N	11	15											
MOUNTAIN	647	551	238	291	221	204	14	14	5	27											
Mont.	50	31	3	1	-	-	-	-	-	-											
Idaho	45	60	4	7	3	10	N	N	N	N											
Wyo.	19	8	1	1	5	-	4	2	-	-											
Colo.	160	156	51	47	71	61	-	-	3	25											
N. Mex.	53	47	35	59	35	53	5	12	-	-											
Ariz.	202	158	113	148	91	75	-	-	N	N											
Utah	67	54	13	14	15	4	3	-	2	2											
Nev.	51	37	18	14	1	1	2	-	-	-											
PACIFIC	1,303	1,493	380	780	181	219	19	2	-	-											
Wash.	79	139	19	64	20	-	-	-	N	N											
Oreg.	90	139	18	25	N	N	N	N	N	N											
Calif.	1,019	1,131	327	677	129	183	N	N	N	N											
Alaska	30	30	3	4	-	-	-	-	N	N											
Hawaii	85	54	13	10	32	36	19	2	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	40	193	1	2	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


