
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 15, 2004 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	371	376	41	71	44	30	5,132	5,474	102,131	115,788											
NEW ENGLAND	26	19	2	11	8	2	454	406	2,369	2,522											
Maine	-	3	-	-	-	-	47	41	97	68											
N.H.	4	6	1	1	-	-	13	19	43	44											
Vt.	-	-	-	-	-	-	34	30	26	32											
Mass.	10	4	-	5	8	2	242	206	1,174	949											
R.I.	2	1	-	-	-	-	37	42	336	351											
Conn.	10	5	1	5	-	-	81	68	693	1,078											
MID. ATLANTIC	30	44	2	5	10	9	1,153	1,152	12,676	14,749											
Upstate N.Y.	10	13	2	3	4	4	372	277	2,641	2,525											
N.Y. City	4	3	-	-	-	-	354	439	3,597	4,892											
N.J.	4	5	-	-	2	-	102	158	1,856	3,269											
Pa.	12	23	-	2	4	5	325	278	4,582	4,063											
E.N. CENTRAL	66	95	11	16	4	6	619	981	19,943	24,950											
Ohio	19	19	1	9	4	6	264	285	5,504	8,102											
Ind.	8	11	-	-	-	-	-	-	2,118	2,326											
Ill.	14	20	-	1	-	-	84	297	5,383	7,677											
Mich.	10	18	2	-	-	-	187	231	5,717	4,700											
Wis.	15	27	8	6	-	-	84	168	1,221	2,145											
W.N. CENTRAL	60	50	7	7	9	6	611	537	5,517	5,905											
Minn.	23	18	3	6	2	-	205	178	1,167	960											
Iowa	10	6	-	-	-	-	86	77	160	403											
Mo.	8	16	4	1	2	-	170	160	2,763	3,024											
N. Dak.	2	1	-	-	3	1	11	16	39	25											
S. Dak.	2	2	-	-	-	-	19	15	100	62											
Nebr.	8	5	-	-	-	-	53	46	368	529											
Kans.	7	2	-	-	2	5	67	45	920	902											
S. ATLANTIC	37	28	14	21	6	1	848	825	24,394	27,755											
Del.	-	-	N	N	N	N	35	15	355	888											
Md.	4	1	-	-	-	1	33	41	3,001	2,776											
D.C.	1	1	-	-	-	-	23	14	840	885											
Va.	1	8	6	1	-	-	132	93	3,324	3,037											
W. Va.	1	1	-	-	-	-	9	9	305	306											
N.C.	-	-	4	9	-	-	N	N	5,313	4,517											
S.C.	1	-	-	-	-	-	17	42	2,929	2,675											
Ga.	13	6	3	2	-	-	222	268	2,329	6,007											
Fla.	16	11	1	9	6	-	377	343	5,998	6,664											
E.S. CENTRAL	16	20	1	-	5	3	107	108	8,336	9,856											
Ky.	7	8	1	-	3	3	N	N	842	1,277											
Tenn.	3	9	-	-	2	-	48	48	2,881	2,909											
Ala.	2	2	-	-	-	-	59	60	2,407	3,279											
Miss.	4	1	-	-	-	-	-	-	2,206	2,391											
W.S. CENTRAL	20	17	-	2	1	-	94	82	14,125	15,435											
Ark.	4	2	-	-	-	-	43	43	1,381	1,330											
La.	-	1	-	-	-	-	12	6	4,259	3,821											
Okla.	4	2	-	-	-	-	39	33	1,581	1,456											
Tex.	12	12	-	2	1	-	-	-	6,904	8,828											
MOUNTAIN	59	41	3	7	1	3	434	431	3,532	3,975											
Mont.	2	1	-	-	-	-	14	20	19	52											
Idaho	10	11	1	4	-	-	55	57	32	30											
Wyo.	-	1	-	-	-	-	5	5	21	18											
Colo.	25	14	1	1	1	3	145	125	862	1,076											
N. Mex.	4	1	-	2	-	-	20	17	267	450											
Ariz.	6	9	N	N	N	N	72	75	1,531	1,514											
Utah	7	3	-	-	-	-	90	89	102	128											
Nev.	5	1	1	-	-	-	33	43	698	707											
PACIFIC	57	62	1	2	-	-	812	952	11,239	10,641											
Wash.	16	19	-	1	-	-	91	80	978	1,050											
Oreg.	9	8	1	1	-	-	144	106	265	349											
Calif.	26	34	-	-	-	-	523	700	9,627	8,659											
Alaska	1	1	-	-	-	-	24	30	230	196											
Hawaii	5	-	-	-	-	-	30	36	139	387											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	1	-	-	-	-	8	41	57	82											
V.I.	-	-	-	-	-	-	-	-	4	37											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


