
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 22, 2004 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	8,989	15,309	311,294	330,202	1,803	1,259	838	729	4	-											
NEW ENGLAND	312	499	10,559	10,599	-	-	52	46	-	-											
Maine	5	23	690	731	N	N	9	3	-	-											
N.H.	11	12	593	599	-	-	14	7	-	-											
Vt.	8	6	373	393	-	-	6	7	-	-											
Mass.	84	226	5,350	3,998	-	-	16	22	-	-											
R.I.	32	38	1,295	1,235	-	-	1	5	-	-											
Conn.	172	194	2,258	3,643	N	N	6	2	-	-											
MID. ATLANTIC	1,286	3,333	42,320	39,990	-	-	136	110	-	-											
Upstate N.Y.	134	182	8,480	7,210	N	N	31	25	-	-											
N.Y. City	380	1,627	11,794	13,551	-	-	29	42	-	-											
N.J.	387	595	5,121	5,745	-	-	9	4	-	-											
Pa.	385	929	16,925	13,484	N	N	67	39	-	-											
E.N. CENTRAL	809	1,390	52,329	61,269	5	3	193	178	-	-											
Ohio	231	228	11,628	16,742	-	-	53	23	-	-											
Ind.	118	224	6,929	6,486	N	N	30	16	-	-											
Ill.	279	595	13,584	19,034	-	-	13	30	-	-											
Mich.	132	277	15,261	12,405	5	3	47	33	-	-											
Wis.	49	66	4,927	6,602	-	-	50	76	-	-											
W.N. CENTRAL	228	288	18,271	18,945	4	2	95	68	1	-											
Minn.	48	56	3,358	4,181	N	N	40	34	-	-											
Iowa	11	34	1,087	1,957	N	N	14	10	-	-											
Mo.	107	139	7,473	6,912	3	1	17	6	1	-											
N. Dak.	10	-	555	528	N	N	-	2	-	-											
S. Dak.	-	6	944	922	-	-	10	12	-	-											
Nebr.	6	22	1,967	1,753	1	1	3	3	-	-											
Kans.	46	31	2,887	2,692	N	N	11	1	-	-											
S. ATLANTIC	3,515	4,482	58,393	61,143	-	1	169	98	2	-											
Del.	42	80	1,141	2,392	N	N	-	1	-	-											
Md.	343	411	7,346	6,274	-	1	9	8	-	-											
D.C.	149	476	1,389	1,305	-	-	2	-	-	-											
Va.	141	421	8,749	6,927	-	-	22	11	-	-											
W. Va.	30	32	1,080	985	N	N	2	-	-	-											
N.C.	243	504	10,639	9,092	N	N	31	12	-	-											
S.C.	205	311	6,579	5,139	-	-	7	2	2	-											
Ga.	509	609	5,925	12,993	-	-	51	36	-	-											
Fla.	1,853	1,638	15,545	16,036	N	N	45	28	-	-											
E.S. CENTRAL	448	621	19,715	21,246	N	N	36	45	-	-											
Ky.	42	67	2,121	3,197	N	N	9	9	-	-											
Tenn.	189	269	8,594	7,362	N	N	12	13	-	-											
Ala.	127	144	4,138	5,752	-	-	9	20	-	-											
Miss.	90	141	4,862	4,935	N	N	6	3	-	-											
W.S. CENTRAL	1,309	1,634	40,133	40,783	2	-	23	16	1	-											
Ark.	43	47	2,951	2,751	1	-	8	2	-	-											
La.	281	192	10,049	7,416	1	-	-	1	1	-											
Okla.	37	74	3,832	3,947	N	N	7	3	-	-											
Tex.	948	1,321	23,301	26,669	-	-	8	10	-	-											
MOUNTAIN	259	586	15,849	19,840	1,161	855	42	34	-	-											
Mont.	-	8	749	934	N	N	4	7	-	-											
Idaho	2	10	1,191	953	N	N	4	6	-	-											
Wyo.	2	4	425	397	-	-	2	1	-	-											
Colo.	48	127	2,924	5,008	N	N	23	6	-	-											
N. Mex.	20	42	2,298	2,827	9	2	1	1	-	-											
Ariz.	109	274	5,660	6,027	1,118	835	6	2	-	-											
Utah	19	29	845	1,376	12	3	1	8	-	-											
Nev.	59	92	1,757	2,318	22	15	1	3	-	-											
PACIFIC	823	2,476	53,725	56,387	629	397	92	134	-	-											
Wash.	127	178	6,608	6,050	N	N	9	12	-	-											
Oreg.	53	108	2,069	2,978	-	-	11	15	-	-											
Calif.	604	2,148	42,863	43,829	629	397	71	107	-	-											
Alaska	8	9	1,434	1,446	-	-	-	-	-	-											
Hawaii	31	33	751	2,084	-	-	1	-	-	-											
Guam	1	1	-	-	-	-	-	-	-	-											
P.R.	143	437	594	824	N	N	N	N	-	-											
V.I.	2	13	20	127	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


