
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 26, 2004 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2004
AIDS § cummulative for 2003
Chlamydia† cummulative for 2004
Chlamydia† cummulative for 2003
Coccidioidomycosis cummulative for 2004
Coccidioidomycosis cummulative for 2003
Cryptosporidiosis cummulative for 2004
Cryptosporidiosis cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2004
Encephalitis/Meningitis West Nile cummulative for 2003

tab delimited data:
test
UNITED STATES	17,011	20,273	396,892	410,429	2,608	1,466	1,035	933	35	11											
NEW ENGLAND	569	702	13,700	13,157	-	-	62	64	-	-											
Maine	5	27	928	920	N	N	14	5	-	-											
N.H.	23	15	764	757	-	-	14	10	-	-											
Vt.	13	6	489	489	-	-	6	11	-	-											
Mass.	150	324	6,559	5,002	-	-	17	26	-	-											
R.I.	66	50	1,618	1,545	-	-	2	9	-	-											
Conn.	312	280	3,342	4,444	N	N	9	3	-	-											
MID. ATLANTIC	3,912	4,262	51,223	49,863	-	-	158	135	-	3											
Upstate N.Y.	453	276	10,683	9,186	N	N	40	34	-	-											
N.Y. City	2,154	2,060	14,690	16,348	-	-	36	49	-	-											
N.J.	675	880	6,083	7,366	-	-	11	8	-	-											
Pa.	630	1,046	19,767	16,963	N	N	71	44	-	3											
E.N. CENTRAL	1,455	1,993	68,920	74,490	6	3	232	230	1	-											
Ohio	237	304	17,159	20,107	-	-	65	33	-	-											
Ind.	166	260	8,695	8,204	N	N	31	21	-	-											
Ill.	700	960	17,789	23,258	-	-	13	36	-	-											
Mich.	269	363	17,899	14,692	6	3	49	42	1	-											
Wis.	83	106	7,378	8,229	-	-	74	98	-	-											
W.N. CENTRAL	331	364	23,615	23,453	4	2	131	94	1	1											
Minn.	81	77	4,207	5,141	N	N	49	39	-	1											
Iowa	21	41	2,311	2,565	N	N	19	14	-	-											
Mo.	135	180	9,134	8,452	3	1	20	9	-	-											
N. Dak.	12	1	746	745	N	N	7	6	-	-											
S. Dak.	5	6	1,180	1,167	-	-	16	18	1	-											
Nebr.	18	24	2,469	2,047	1	1	8	4	-	-											
Kans.	59	35	3,568	3,336	N	N	12	4	-	-											
S. ATLANTIC	5,282	5,870	74,496	76,858	-	2	208	125	1	1											
Del.	78	105	1,396	1,493	N	N	-	3	-	-											
Md.	601	716	8,943	7,872	-	2	10	8	-	-											
D.C.	308	595	1,508	1,599	-	-	3	1	-	-											
Va.	288	478	10,304	9,095	-	-	23	13	-	-											
W. Va.	30	42	1,322	1,186	N	N	3	2	-	-											
N.C.	305	567	13,124	12,725	N	N	37	15	-	-											
S.C.	329	389	7,575	6,403	-	-	9	2	-	1											
Ga.	782	736	10,358	16,464	-	-	67	46	-	-											
Fla.	2,561	2,242	19,966	20,021	N	N	56	35	1	-											
E.S. CENTRAL	782	911	25,327	26,541	2	1	46	57	-	1											
Ky.	71	79	2,649	3,950	N	N	16	11	-	-											
Tenn.	326	436	10,693	9,322	N	N	12	21	-	-											
Ala.	208	185	5,151	7,167	-	-	11	22	-	1											
Miss.	177	211	6,834	6,102	2	1	7	3	-	-											
W.S. CENTRAL	2,047	2,313	52,497	51,598	2	-	31	20	-	5											
Ark.	87	85	3,842	3,598	1	-	9	3	-	-											
La.	346	365	11,986	10,015	1	-	-	1	-	2											
Okla.	90	109	5,166	5,227	N	N	10	4	-	-											
Tex.	1,524	1,754	31,503	32,758	-	-	12	12	-	3											
MOUNTAIN	571	757	19,464	24,475	1,653	952	53	44	29	-											
Mont.	-	10	971	1,094	N	N	11	10	-	-											
Idaho	3	13	1,408	1,182	N	N	5	7	-	-											
Wyo.	6	5	512	467	-	-	2	1	-	-											
Colo.	98	157	3,751	6,193	N	N	24	9	-	-											
N. Mex.	91	51	2,586	3,623	9	4	2	3	-	-											
Ariz.	208	337	6,729	7,264	1,602	926	7	3	29	-											
Utah	34	32	1,537	1,771	13	3	1	8	-	-											
Nev.	131	152	1,970	2,881	29	19	1	3	-	-											
PACIFIC	2,062	3,101	67,650	69,994	941	506	114	164	3	-											
Wash.	165	211	8,455	7,559	N	N	14	14	-	-											
Oreg.	111	126	2,069	3,629	-	-	13	19	-	-											
Calif.	1,731	2,693	54,128	54,405	941	506	86	131	3	-											
Alaska	14	12	1,746	1,842	-	-	-	-	-	-											
Hawaii	41	59	1,252	2,559	-	-	1	-	-	-											
Guam	1	1	-	345	-	-	-	-	-	-											
P.R.	209	514	1,002	1,139	N	N	N	N	-	-											
V.I.	5	15	143	153	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	32	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


