
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 10, 2004 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Giardiasis cummulative for 2004
Giardiasis cummulative for 2003
Gonorrhea cummulative for 2004
Gonorrhea cummulative for 2003

tab delimited data:
test
UNITED STATES	784	738	90	94	70	58	7,418	7,977	149,130	164,203											
NEW ENGLAND	53	40	26	18	13	2	679	579	3,383	3,482											
Maine	2	4	-	-	-	-	68	60	131	116											
N.H.	10	7	5	2	-	-	16	22	62	58											
Vt.	4	3	-	-	1	-	64	43	44	41											
Mass.	25	14	3	6	12	2	301	285	1,597	1,335											
R.I.	5	1	1	-	-	-	54	55	461	474											
Conn.	7	11	17	10	-	-	176	114	1,088	1,458											
MID. ATLANTIC	94	87	11	8	13	13	1,674	1,673	17,500	20,866											
Upstate N.Y.	45	31	6	4	4	6	570	420	3,723	3,751											
N.Y. City	13	3	-	-	-	-	529	585	5,152	6,918											
N.J.	14	12	3	1	4	-	169	237	2,531	4,455											
Pa.	22	41	2	3	5	7	406	431	6,094	5,742											
E.N. CENTRAL	154	193	17	18	9	9	881	1,433	29,854	34,643											
Ohio	44	43	4	10	9	9	369	404	9,272	11,032											
Ind.	13	28	-	-	-	-	-	-	3,190	3,283											
Ill.	28	33	-	1	-	-	84	451	7,708	10,807											
Mich.	34	32	3	-	-	-	292	322	7,601	6,545											
Wis.	35	57	10	7	-	-	136	256	2,083	2,976											
W.N. CENTRAL	164	113	15	17	14	9	878	798	8,278	8,415											
Minn.	33	40	6	8	2	-	308	297	1,654	1,372											
Iowa	49	17	-	-	-	-	124	109	412	661											
Mo.	30	32	9	2	5	1	224	230	4,194	4,302											
N. Dak.	4	4	-	3	5	2	15	19	60	35											
S. Dak.	11	6	-	3	-	-	32	21	139	99											
Nebr.	23	5	-	1	-	-	64	56	528	683											
Kans.	14	9	-	-	2	6	111	66	1,291	1,263											
S. ATLANTIC	66	55	11	21	13	14	1,224	1,198	36,293	39,868											
Del.	1	-	N	N	N	N	26	19	472	600											
Md.	15	3	1	1	1	1	50	55	4,167	3,892											
D.C.	1	1	-	-	-	-	33	18	1,124	1,246											
Va.	9	17	6	4	-	-	186	161	4,406	4,424											
W. Va.	1	2	-	-	-	-	14	14	442	433											
N.C.	-	-	-	-	6	13	N	N	7,837	7,478											
S.C.	3	-	-	-	-	-	27	64	3,564	3,880											
Ga.	15	12	2	3	-	-	344	382	5,427	8,545											
Fla.	21	20	2	13	6	-	544	485	8,854	9,370											
E.S. CENTRAL	37	32	1	-	7	4	158	166	11,737	13,824											
Ky.	14	10	1	-	4	4	N	N	1,259	1,793											
Tenn.	8	13	-	-	3	-	74	76	4,202	4,066											
Ala.	8	6	-	-	-	-	84	90	3,277	4,719											
Miss.	7	3	-	-	-	-	-	-	2,999	3,246											
W.S. CENTRAL	40	33	1	2	1	3	126	139	20,866	22,374											
Ark.	7	4	-	-	-	-	54	75	1,934	2,123											
La.	2	1	-	-	-	-	18	8	5,368	6,124											
Okla.	9	8	-	-	-	-	54	56	2,456	2,105											
Tex.	22	20	1	2	1	3	-	-	11,108	12,022											
MOUNTAIN	66	79	7	8	-	4	599	636	4,788	5,512											
Mont.	3	2	-	-	-	-	19	35	36	57											
Idaho	18	18	3	5	-	-	77	75	42	37											
Wyo.	-	2	1	-	-	-	9	9	29	24											
Colo.	14	23	1	1	-	4	197	187	1,364	1,498											
N. Mex.	4	2	-	2	-	-	33	25	313	645											
Ariz.	8	16	N	N	N	N	89	110	1,870	2,027											
Utah	12	11	1	-	-	-	134	133	261	178											
Nev.	7	5	1	-	-	-	41	62	873	1,046											
PACIFIC	110	106	1	2	-	-	1,199	1,355	16,431	15,219											
Wash.	37	28	-	1	-	-	151	131	1,372	1,461											
Oreg.	14	19	1	1	-	-	199	176	553	533											
Calif.	51	58	-	-	-	-	773	963	13,882	12,387											
Alaska	1	1	-	-	-	-	32	42	300	280											
Hawaii	7	-	-	-	-	-	44	43	324	558											
Guam	N	N	-	-	-	-	-	-	-	38											
P.R.	-	1	-	-	-	-	13	110	91	143											
V.I.	-	-	-	-	-	-	-	-	49	43											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	3	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


