
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending August 14, 2004 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	21,102	22,991	6,363	14,121	3,162	4,134	1,423	1,386	429	479											
NEW ENGLAND	1,134	1,233	153	189	139	371	22	72	49	6											
Maine	58	77	2	6	6	22	2	-	2	-											
N.H.	51	89	5	5	15	23	-	-	N	N											
Vt.	33	41	2	6	8	16	7	6	1	3											
Mass.	678	746	95	131	93	167	N	N	40	N											
R.I.	72	60	12	6	17	9	13	10	6	3											
Conn.	242	220	37	35	-	134	-	56	U	U											
MID. ATLANTIC	3,255	2,730	739	1,509	534	716	103	92	77	72											
Upstate N.Y.	696	573	325	206	180	268	47	49	53	52											
N.Y. City	741	744	217	246	73	99	U	U	U	U											
N.J.	458	485	129	259	122	141	-	-	4	2											
Pa.	1,360	928	68	798	159	208	56	43	20	18											
E.N. CENTRAL	2,449	3,347	451	1,216	633	1,007	344	317	111	208											
Ohio	798	842	97	234	171	239	239	208	56	76											
Ind.	324	321	119	91	77	96	105	109	25	19											
Ill.	321	1,198	87	638	133	255	-	-	-	77											
Mich.	516	466	72	170	216	289	N	N	N	N											
Wis.	490	520	76	83	36	128	N	N	30	36											
W.N. CENTRAL	1,452	1,375	252	456	217	250	12	11	56	54											
Minn.	342	310	32	58	113	120	-	-	39	38											
Iowa	310	216	53	36	N	N	N	N	N	N											
Mo.	377	500	103	238	43	55	8	7	8	2											
N. Dak.	27	24	2	6	10	12	-	3	2	4											
S. Dak.	64	61	8	9	9	19	4	1	-	-											
Nebr.	95	89	13	64	11	22	-	-	5	5											
Kans.	237	175	41	45	31	22	N	N	2	5											
S. ATLANTIC	5,466	5,282	1,671	4,385	617	688	723	731	27	13											
Del.	41	60	4	151	3	6	4	1	N	N											
Md.	519	459	85	391	130	172	-	9	16	-											
D.C.	28	19	24	43	4	5	4	-	3	4											
Va.	676	550	92	250	55	84	N	N	N	N											
W. Va.	133	77	4	-	17	30	82	50	8	9											
N.C.	666	643	175	596	85	80	N	N	U	U											
S.C.	387	278	204	269	35	33	65	106	N	N											
Ga.	897	996	386	854	129	134	163	161	N	N											
Fla.	2,119	2,200	697	1,831	159	144	405	404	N	N											
E.S. CENTRAL	1,251	1,531	374	605	144	142	85	101	-	-											
Ky.	205	237	45	67	50	37	21	12	N	N											
Tenn.	241	441	143	210	94	105	64	89	N	N											
Ala.	359	358	151	194	-	-	-	-	N	N											
Miss.	446	495	35	134	-	-	-	-	-	-											
W.S. CENTRAL	1,695	3,281	1,419	3,731	188	187	36	54	75	74											
Ark.	301	369	47	67	14	6	6	18	7	5											
La.	274	495	170	288	2	1	30	36	12	14											
Okla.	230	238	304	525	45	63	N	N	31	36											
Tex.	890	2,179	898	2,851	127	117	N	N	25	19											
MOUNTAIN	1,394	1,234	464	583	355	352	24	4	34	52											
Mont.	92	57	4	2	-	1	-	-	-	-											
Idaho	104	105	8	17	7	14	N	N	N	N											
Wyo.	31	59	2	3	6	2	6	3	-	-											
Colo.	338	300	91	111	88	98	-	-	31	40											
N. Mex.	130	128	64	116	61	86	5	-	-	8											
Ariz.	457	369	246	276	159	127	N	N	N	N											
Utah	140	116	26	28	32	23	11	1	3	4											
Nev.	102	100	23	30	2	1	2	-	-	-											
PACIFIC	3,006	2,978	840	1,447	335	421	74	4	-	-											
Wash.	300	346	67	114	38	41	-	-	N	N											
Oreg.	250	256	39	166	N	N	N	N	N	N											
Calif.	2,207	2,204	700	1,138	237	305	N	N	N	N											
Alaska	39	51	4	5	-	-	-	-	N	N											
Hawaii	210	121	30	24	60	75	74	4	-	-											
Guam	-	28	-	23	-	-	-	-	-	-											
P.R.	126	398	3	14	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


