
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending December 11, 2004 (WEEK 49)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	37,725	40,709	11,369	21,925	4,183	5,300	1,973	1,877	681	690											
NEW ENGLAND	1,944	2,009	278	327	168	437	66	98	71	9											
Maine	89	132	9	6	11	28	2	-	3	-											
N.H.	135	135	9	9	19	29	-	-	N	N											
Vt.	58	70	4	8	8	19	8	7	3	5											
Mass.	1,107	1,175	171	220	109	194	37	N	56	N											
R.I.	128	122	19	19	21	15	19	10	9	4											
Conn.	427	375	66	65	-	152	-	81	U	U											
MID. ATLANTIC	5,233	4,672	1,089	2,272	675	895	131	128	118	98											
Upstate N.Y.	1,196	1,101	401	553	221	336	56	69	84	69											
N.Y. City	1,142	1,267	361	405	102	140	U	U	U	U											
N.J.	948	823	228	343	147	166	-	-	7	4											
Pa.	1,947	1,481	99	971	205	253	75	59	27	25											
E.N. CENTRAL	4,618	5,319	1,061	1,786	798	1,227	464	412	167	302											
Ohio	1,178	1,269	166	287	215	280	325	268	80	94											
Ind.	578	531	209	176	94	117	139	144	39	30											
Ill.	1,278	1,865	313	962	165	322	-	-	9	124											
Mich.	774	751	205	232	270	345	N	N	N	N											
Wis.	810	903	168	129	54	163	N	N	39	54											
W.N. CENTRAL	2,325	2,353	431	755	284	320	20	19	102	74											
Minn.	603	540	63	96	138	153	-	-	67	53											
Iowa	409	369	63	84	N	N	N	N	N	N											
Mo.	594	853	172	351	58	74	15	15	14	3											
N. Dak.	41	36	3	10	13	17	-	3	4	7											
S. Dak.	130	116	13	16	20	22	5	1	-	-											
Nebr.	175	160	37	86	14	25	-	-	7	5											
Kans.	373	279	80	112	41	29	N	N	10	6											
S. ATLANTIC	10,454	10,439	2,518	6,432	810	866	964	993	59	18											
Del.	81	97	6	161	3	6	4	1	N	N											
Md.	785	807	142	555	169	214	-	25	43	-											
D.C.	60	47	39	73	10	9	6	1	3	7											
Va.	1,120	1,018	161	417	68	94	N	N	N	N											
W. Va.	223	124	9	-	25	34	104	71	13	11											
N.C.	1,595	1,301	372	944	122	102	N	N	U	U											
S.C.	793	765	286	508	37	39	71	137	N	N											
Ga.	1,788	1,971	598	1,125	163	171	238	223	N	N											
Fla.	4,009	4,309	905	2,649	213	197	541	535	N	N											
E.S. CENTRAL	2,416	2,812	754	977	190	189	124	139	6	-											
Ky.	339	372	74	125	58	45	30	20	N	N											
Tenn.	523	721	327	361	132	144	93	119	N	N											
Ala.	711	745	305	322	-	-	-	-	N	N											
Miss.	843	974	48	169	-	-	1	-	6	-											
W.S. CENTRAL	3,290	5,806	2,606	5,606	239	272	65	76	116	121											
Ark.	552	773	76	100	16	6	10	21	8	7											
La.	790	839	268	438	2	2	55	55	26	26											
Okla.	381	445	468	823	61	88	N	N	43	58											
Tex.	1,567	3,749	1,794	4,245	160	176	N	N	39	30											
MOUNTAIN	2,282	2,173	797	1,231	493	498	38	8	40	68											
Mont.	183	110	4	2	-	1	-	-	-	-											
Idaho	145	170	13	33	9	19	N	N	N	N											
Wyo.	53	74	5	8	10	2	11	7	-	-											
Colo.	515	473	148	319	128	136	-	-	37	52											
N. Mex.	261	283	122	257	82	112	5	-	-	11											
Ariz.	716	684	396	498	218	193	N	N	N	N											
Utah	237	209	50	48	42	33	20	1	3	5											
Nev.	172	170	59	66	4	2	2	-	-	-											
PACIFIC	5,163	5,126	1,835	2,539	526	596	101	4	2	-											
Wash.	559	574	107	162	53	74	-	-	N	N											
Oreg.	385	415	78	209	N	N	N	N	N	N											
Calif.	3,813	3,829	1,600	2,112	348	390	N	N	N	N											
Alaska	57	93	6	11	-	-	-	-	N	N											
Hawaii	349	215	44	45	125	132	101	4	2	-											
Guam	26	43	33	41	-	-	-	-	-	-											
P.R.	293	697	8	27	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


