
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending January 8, 2005 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral, Acute), Type A cummulative for 2005
Hepatitis (Viral, Acute), Type A cummulative for 2004
Hepatitis (Viral, Acute), Type B cummulative for 2005
Hepatitis (Viral, Acute), Type B cummulative for 2004
Hepatitis (Viral, Acute), Type C cummulative for 2005
Hepatitis (Viral, Acute), Type c cummulative for 2004

tab delimited data:
test
UNITED STATES	25	100	43	72	4	19															
NEW ENGLAND	10	13	2	4	-	-															
Maine	-	-	-	-	-	-															
N.H.	-	-	-	-	-	-															
Vt.	-	-	-	-	-	-															
Mass.	8	12	2	2	-	-															
R.I.	-	-	-	-	-	-															
Conn.	2	1	-	2	-	-															
MID. ATLANTIC	-	22	14	10	1	3															
Upstate N.Y.	-	-	-	-	-	-															
N.Y. City	-	5	-	1	-	-															
N.J.	-	7	13	5	-	-															
Pa.	-	10	1	4	1	3															
E.N. CENTRAL	1	8	1	3	-	1															
Ohio	1	1	1	1	-	-															
Ind.	-	-	-	-	-	-															
Ill.	-	6	-	-	-	-															
Mich.	-	1	-	2	-	1															
Wis.	-	-	-	-	-	-															
W.N. CENTRAL	-	2	1	7	-	4															
Minn.	-	-	-	-	-	-															
Iowa	-	-	-	-	-	-															
Mo.	-	-	-	6	-	4															
N. Dak.	-	-	-	-	-	-															
S. Dak.	-	-	-	-	-	-															
Nebr.	-	2	1	1	-	-															
Kans.	-	-	-	-	-	-															
S. ATLANTIC	6	27	24	26	2	2															
Del.	-	-	-	-	-	-															
Md.	-	2	1	1	2	1															
D.C.	-	-	-	-	-	-															
Va.	-	-	-	-	-	-															
W. Va.	-	-	-	-	-	-															
N.C.	-	-	10	-	-	-															
S.C.	-	-	-	-	-	-															
Ga.	-	17	3	17	-	1															
Fla.	6	8	10	8	-	-															
E.S. CENTRAL	-	2	-	5	1	1															
Ky.	-	-	-	-	-	-															
Tenn.	-	-	-	-	-	-															
Ala.	-	2	-	-	1	-															
Miss.	-	-	-	5	-	1															
W.S. CENTRAL	-	18	-	5	-	6															
Ark.	-	-	-	-	-	-															
La.	-	1	-	5	-	4															
Okla.	-	-	-	-	-	-															
Tex.	-	17	-	-	-	2															
MOUNTAIN	7	1	-	4	-	-															
Mont.	1	-	-	-	-	-															
Idaho	-	-	-	-	-	-															
Wyo.	-	-	-	1	-	-															
Colo.	-	1	-	-	-	-															
N. Mex.	-	-	-	-	-	-															
Ariz.	6	-	-	-	-	-															
Utah	-	-	-	-	-	-															
Nev.	-	-	-	3	-	-															
PACIFIC	1	7	1	8	-	2															
Wash.	-	-	-	-	-	-															
Oreg.	1	-	-	3	-	1															
Calif.	-	7	1	5	-	-															
Alaska	-	-	-	-	-	-															
Hawaii	-	-	-	-	-	1															
Guam	-	-	-	-	-	-															
P.R.	-	-	-	-	-	-															
V.I.	-	-	-	-	-	-															
Amer. Samoa	U	U	U	U	U	U															
C.N.M.I.	-	U	-	U	-	U															

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


