
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 8, 2005 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	47	140	31	73	11	12	49	122	-	10											
NEW ENGLAND	2	6	-	-	-	1	3	2	-	-											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	-	-	-	-											
Vt.	-	-	-	-	-	-	-	-	-	-											
Mass.	2	6	N	N	-	1	3	-	-	-											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	-	-	-	U	U	-	2	-	-											
MID. ATLANTIC	8	18	1	5	1	2	5	10	-	1											
Upstate N.Y.	4	4	-	-	-	1	-	-	-	-											
N.Y. City	-	5	U	U	U	U	-	5	-	-											
N.J.	1	2	-	-	1	-	4	4	-	-											
Pa.	3	7	1	5	-	1	1	1	-	1											
E.N. CENTRAL	1	35	6	10	6	1	-	12	-	1											
Ohio	1	12	6	10	6	-	-	2	-	-											
Ind.	-	-	-	-	-	-	-	1	-	-											
Ill.	-	12	-	-	-	-	-	5	-	-											
Mich.	-	8	N	N	-	-	-	3	-	1											
Wis.	-	3	N	N	-	1	-	1	-	-											
W.N. CENTRAL	3	5	-	1	1	-	-	1	-	-											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	N	N	N	N	-	-	-	-	-	-											
Mo.	-	2	-	1	-	-	-	1	-	-											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	2	-	-	-	-	-	-	-	-	-											
Nebr.	1	1	-	-	1	-	-	-	-	-											
Kans.	-	2	N	N	-	-	-	-	-	-											
S. ATLANTIC	21	23	20	47	2	1	24	31	-	4											
Del.	-	-	-	-	-	-	-	1	-	-											
Md.	11	3	-	-	2	1	4	6	-	1											
D.C.	-	-	-	-	-	-	3	-	-	-											
Va.	-	-	N	N	-	-	-	1	-	1											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	4	-	N	N	U	U	8	1	-	-											
S.C.	-	1	-	-	-	-	-	3	-	-											
Ga.	2	11	5	27	-	-	-	2	-	-											
Fla.	4	8	15	20	-	-	9	17	-	2											
E.S. CENTRAL	1	10	2	2	-	-	-	7	-	-											
Ky.	-	-	-	-	-	-	-	3	-	-											
Tenn.	1	10	2	2	-	-	-	3	-	-											
Ala.	-	-	-	-	-	-	-	1	-	-											
Miss.	-	-	-	-	-	-	-	-	-	-											
W.S. CENTRAL	-	16	1	3	-	2	11	20	-	3											
Ark.	-	-	-	-	-	-	-	1	-	-											
La.	-	-	1	3	-	1	-	3	-	-											
Okla.	-	-	N	N	-	-	-	-	-	-											
Tex.	-	16	N	N	-	1	11	16	-	3											
MOUNTAIN	5	10	-	1	1	5	2	4	-	-											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	N	N	-	-	-	-	-	-											
Wyo.	-	1	-	-	-	-	-	-	-	-											
Colo.	5	4	-	-	1	5	-	2	-	-											
N. Mex.	-	5	-	1	-	-	-	1	-	-											
Ariz.	-	-	N	N	-	-	2	1	-	-											
Utah	-	-	-	-	-	-	-	-	-	-											
Nev.	-	-	-	-	-	-	-	-	-	-											
PACIFIC	6	17	1	4	-	-	4	35	-	1											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	N	N	N	N	-	-	-	-	-	-											
Calif.	2	16	N	N	-	-	4	35	-	1											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	4	1	1	4	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	-	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


