
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 15, 2005 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	-	22	18,204	30,981	89	60	38	101													
NEW ENGLAND	-	-	1,312	1,006	-	-	-	7													
Maine	-	-	109	55	N	N	-	2													
N.H.	-	-	72	55	-	-	-	1													
Vt.	-	-	22	29	-	-	-	2													
Mass.	-	-	583	495	-	-	-	2													
R.I.	-	-	154	206	-	-	-	-													
Conn.	-	-	372	166	N	N	-	-													
MID. ATLANTIC	-	14	2,001	3,239	-	-	5	12													
Upstate N.Y.	-	-	164	270	N	N	2	3													
N.Y. City	-	14	942	1,134	-	-	1	5													
N.J.	-	-	442	799	-	-	-	1													
Pa.	-	-	453	1,036	N	N	2	3													
E.N. CENTRAL	-	5	1,136	5,063	-	-	9	22													
Ohio	-	-	1	1,229	N	N	9	6													
Ind.	-	-	796	597	N	N	-	-													
Ill.	-	-	155	1,488	-	-	-	6													
Mich.	-	5	78	1,149	-	-	-	5													
Wis.	-	-	106	600	-	-	-	5													
W.N. CENTRAL	-	-	451	2,104	-	-	4	8													
Minn.	-	-	-	496	N	N	-	1													
Iowa	-	-	-	251	N	N	-	1													
Mo.	-	-	-	736	-	-	2	2													
N. Dak.	-	-	21	46	N	N	-	-													
S. Dak.	-	-	116	88	-	-	1	2													
Nebr.	-	-	-	145	-	-	-	-													
Kans.	-	-	314	342	N	N	1	2													
S. ATLANTIC	-	-	6,133	5,793	-	-	12	23													
Del.	-	-	136	104	N	N	-	-													
Md.	-	-	578	665	-	-	3	1													
D.C.	-	-	139	132	-	-	-	-													
Va.	-	-	1,212	968	-	-	-	-													
W. Va.	-	-	87	99	N	N	-	-													
N.C.	-	-	1,727	1,114	N	N	2	8													
S.C.	-	-	764	296	-	-	-	1													
Ga.	-	-	277	1,418	-	-	5	5													
Fla.	-	-	1,213	997	N	N	2	8													
E.S. CENTRAL	-	-	962	2,136	-	-	1	5													
Ky.	-	-	414	267	N	N	-	-													
Tenn.	-	-	396	863	N	N	-	1													
Ala.	-	-	3	553	-	-	1	3													
Miss.	-	-	149	453	-	-	-	1													
W.S. CENTRAL	-	-	2,081	4,633	-	-	-	4													
Ark.	-	-	118	269	-	-	-	1													
La.	-	-	404	1,516	-	-	-	-													
Okla.	-	-	392	395	N	N	-	-													
Tex.	-	-	1,167	2,453	N	N	-	3													
MOUNTAIN	-	-	1,406	1,801	54	5	1	6													
Mont.	-	-	7	-	N	N	-	-													
Idaho	-	-	1	97	N	N	-	-													
Wyo.	-	-	40	34	-	-	-	1													
Colo.	-	-	265	448	N	N	1	4													
N. Mex.	-	-	21	238	-	1	-	-													
Ariz.	-	-	824	630	51	-	-	-													
Utah	-	-	18	108	-	-	-	-													
Nev.	-	-	230	246	3	4	-	1													
PACIFIC	-	3	2,722	5,206	35	55	6	14													
Wash.	-	-	647	468	N	N	-	-													
Oreg.	-	-	234	227	-	-	1	1													
Calif.	-	3	1,788	4,159	35	55	5	13													
Alaska	-	-	53	92	-	-	-	-													
Hawaii	-	-	-	260	-	-	-	-													
Guam	-	-	-	44	-	-	-	-													
P.R.	-	-	20	54	N	N	N	N													
V.I.	-	-	-	24	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


