
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 22, 2005 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Tuberculosis cummulative for 2005
Tuberculosis cummulative for 2004
Typhoid Fever cummulative for 2005
Typhoid Fever cummulative for 2004
Varicella (Chicken Pox) cummulative for 2005
Varicella (Chicken Pox) cummulative for 2004
West Nile virus disease § Neuroinvasive cummulative for 2005
West Nile virus disease § Neuroinvasive cummulative for 2004
West Nile virus disease § Non-neuroinvasive † cummulative for 2005

tab delimited data:
test
UNITED STATES	131	417	4	14	737	820	-	1	-												
NEW ENGLAND	-	10	-	1	31	63	-	-	-												
Maine	-	-	-	-	30	3	-	-	-												
N.H.	-	-	-	-	-	-	-	-	-												
Vt.	-	-	-	-	1	60	-	-	-												
Mass.	-	3	-	1	-	-	-	-	-												
R.I.	-	3	-	-	-	-	-	-	-												
Conn.	-	4	-	-	-	-	-	-	-												
MID. ATLANTIC	49	71	1	3	8	3	-	-	-												
Upstate N.Y.	2	1	-	-	-	-	-	-	-												
N.Y. City	36	63	-	1	-	-	-	-	-												
N.J.	-	7	-	2	-	-	-	-	-												
Pa.	11	-	1	-	8	3	-	-	-												
E.N. CENTRAL	36	30	-	2	359	370	-	-	-												
Ohio	7	2	-	1	96	64	-	-	-												
Ind.	4	10	-	-	N	-	-	-	-												
Ill.	20	16	-	-	-	-	-	-	-												
Mich.	-	-	-	1	250	276	-	-	-												
Wis.	5	2	-	-	13	30	-	-	-												
W.N. CENTRAL	9	2	-	-	5	7	-	-	-												
Minn.	-	2	-	-	-	-	-	-	-												
Iowa	-	-	-	-	N	N	-	-	-												
Mo.	8	-	-	-	-	-	-	-	-												
N. Dak.	-	-	-	-	-	6	-	-	-												
S. Dak.	-	-	-	-	5	1	-	-	-												
Nebr.	1	-	-	-	-	-	-	-	-												
Kans.	-	-	-	-	-	-	-	-	N												
S. ATLANTIC	4	54	1	-	87	125	-	-	-												
Del.	-	1	-	-	-	-	-	-	-												
Md.	-	3	-	-	-	-	-	-	-												
D.C.	-	-	-	-	-	-	-	-	-												
Va.	-	-	-	-	-	-	-	-	-												
W. Va.	4	1	-	-	84	117	-	-	N												
N.C.	-	-	1	-	-	N	-	-	-												
S.C.	-	1	-	-	3	8	-	-	-												
Ga.	-	48	-	-	-	-	-	-	-												
Fla.	-	-	-	-	-	-	-	-	-												
E.S. CENTRAL	-	7	-	-	-	-	-	-	-												
Ky.	-	-	-	-	N	-	-	-	-												
Tenn.	-	2	-	-	-	-	-	-	-												
Ala.	-	5	-	-	-	-	-	-	-												
Miss.	-	-	-	-	-	-	-	-	-												
W.S. CENTRAL	5	118	-	4	52	215	-	1	-												
Ark.	5	2	-	-	-	-	-	1	-												
La.	-	-	-	-	1	2	-	-	-												
Okla.	-	4	-	-	-	-	-	-	-												
Tex.	-	112	-	4	51	213	-	-	-												
MOUNTAIN	2	6	-	1	195	37	-	-	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	-	-	-	-	-	-	-	-	-												
Wyo.	-	-	-	-	5	8	-	-	-												
Colo.	-	3	-	-	160	-	-	-	-												
N. Mex.	-	1	-	-	2	4	-	-	-												
Ariz.	2	1	-	-	-	-	-	-	-												
Utah	-	1	-	1	28	25	-	-	-												
Nev.	-	-	-	-	-	-	-	-	-												
PACIFIC	26	119	2	3	-	-	-	-	-												
Wash.	13	10	-	-	-	-	-	-	-												
Oreg.	3	4	-	-	-	-	-	-	-												
Calif.	-	101	2	2	-	-	-	-	-												
Alaska	-	-	-	-	-	-	-	-	-												
Hawaii	10	4	-	1	-	-	-	-	-												
Guam	-	4	-	-	-	13	-	-	-												
P.R.	-	-	-	-	1	20	-	-	-												
V.I.	-	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	-												
C.N.M.I.	-	U	-	U	-	U	-	U	-												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

§ Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious Diseases 
(ArboNet Surveillance).

† Not previously notifiable.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


