
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 29, 2005 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	115	173	-	1	3	3	10	23													
NEW ENGLAND	5	16	-	-	-	-	2	-													
Maine	-	-	-	-	-	-	-	-													
N.H.	-	2	-	-	-	-	-	-													
Vt.	4	1	-	-	-	-	2	-													
Mass.	1	9	-	-	-	-	-	-													
R.I.	-	-	-	-	-	-	-	-													
Conn.	-	4	-	-	-	-	-	-													
MID. ATLANTIC	27	37	-	-	-	-	2	6													
Upstate N.Y.	8	6	-	-	-	-	-	-													
N.Y. City	3	8	-	-	-	-	-	3													
N.J.	5	8	-	-	-	-	-	1													
Pa.	11	15	-	-	-	-	2	2													
E.N. CENTRAL	21	38	-	-	-	1	2	10													
Ohio	17	13	-	-	-	-	2	3													
Ind.	1	1	-	-	-	-	-	1													
Ill.	-	12	-	-	-	-	-	4													
Mich.	3	4	-	-	-	1	-	1													
Wis.	-	8	-	-	-	-	-	1													
W.N. CENTRAL	5	6	-	-	-	-	1	1													
Minn.	-	-	-	-	-	-	-	-													
Iowa	-	-	-	-	-	-	-	-													
Mo.	5	2	-	-	-	-	1	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	-	4	-	-	-	-	-	-													
Kans.	-	-	-	-	-	-	-	-													
S. ATLANTIC	37	39	-	-	1	-	1	2													
Del.	-	-	-	-	-	-	-	-													
Md.	8	14	-	-	1	-	1	-													
D.C.	-	-	-	-	-	-	-	-													
Va.	-	4	-	-	-	-	-	-													
W. Va.	-	1	-	-	-	-	-	-													
N.C.	11	1	-	-	-	-	-	-													
S.C.	1	-	-	-	-	-	-	-													
Ga.	8	11	-	-	-	-	-	2													
Fla.	9	8	-	-	-	-	-	-													
E.S. CENTRAL	4	9	-	-	-	-	-	1													
Ky.	-	-	-	-	-	-	-	-													
Tenn.	3	4	-	-	-	-	-	-													
Ala.	1	5	-	-	-	-	-	1													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	4	5	-	-	-	-	1	-													
Ark.	-	-	-	-	-	-	-	-													
La.	2	3	-	-	-	-	1	-													
Okla.	2	2	-	-	-	-	-	-													
Tex.	-	-	-	-	-	-	-	-													
MOUNTAIN	9	18	-	1	2	2	1	1													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	-	-	-	-	-	-	-													
Wyo.	1	-	-	-	-	-	-	-													
Colo.	-	8	-	-	-	-	-	-													
N. Mex.	-	6	-	-	-	1	-	1													
Ariz.	4	-	-	-	1	-	1	-													
Utah	1	1	-	1	-	-	-	-													
Nev.	2	3	-	-	1	1	-	-													
PACIFIC	3	5	-	-	-	-	-	2													
Wash.	-	1	-	-	-	-	-	1													
Oreg.	1	2	-	-	-	-	-	-													
Calif.	-	2	-	-	-	-	-	1													
Alaska	1	-	-	-	-	-	-	-													
Hawaii	1	-	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


