
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending January 29, 2005 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	270	428	142	256	35	54	281	513	7	42											
NEW ENGLAND	13	25	-	-	4	7	17	8	-	-											
Maine	1	1	N	N	-	-	-	-	-	-											
N.H.	1	3	-	-	-	N	-	1	-	-											
Vt.	1	-	-	-	-	-	-	-	-	-											
Mass.	10	21	-	-	4	7	17	3	-	-											
R.I.	-	-	-	-	-	-	-	1	-	-											
Conn.	-	-	-	-	U	U	-	3	-	-											
MID. ATLANTIC	54	65	15	16	4	5	28	64	1	7											
Upstate N.Y.	25	14	2	5	1	2	1	-	1	1											
N.Y. City	3	20	U	U	U	U	16	42	-	2											
N.J.	6	12	N	N	1	-	9	12	-	3											
Pa.	20	19	13	11	2	3	2	10	-	1											
E.N. CENTRAL	25	106	32	78	11	18	9	49	-	8											
Ohio	12	27	27	68	9	13	3	13	-	-											
Ind.	1	-	5	10	2	3	3	5	-	1											
Ill.	-	29	-	-	-	-	3	20	-	2											
Mich.	12	38	-	N	-	N	-	8	-	5											
Wis.	-	12	N	N	-	2	-	3	-	-											
W.N. CENTRAL	14	22	3	1	3	3	3	12	-	-											
Minn.	-	-	-	-	-	-	-	1	-	-											
Iowa	N	N	N	N	-	N	-	1	-	-											
Mo.	7	7	3	1	-	1	3	9	-	-											
N. Dak.	1	1	-	-	1	-	-	-	-	-											
S. Dak.	3	3	-	-	-	-	-	-	-	-											
Nebr.	3	3	-	-	1	1	-	1	-	-											
Kans.	-	8	N	N	1	1	-	-	-	-											
S. ATLANTIC	69	78	68	119	8	6	103	119	-	7											
Del.	-	-	-	-	-	N	-	1	-	-											
Md.	27	15	-	-	8	5	20	23	-	2											
D.C.	-	-	-	-	-	1	7	3	-	-											
Va.	2	4	N	N	-	N	4	3	-	1											
W. Va.	-	1	-	4	-	-	-	1	-	-											
N.C.	9	11	N	N	U	U	20	7	-	-											
S.C.	-	1	-	9	-	N	4	5	-	2											
Ga.	12	24	15	41	-	N	-	18	-	-											
Fla.	19	22	53	65	-	N	48	58	-	2											
E.S. CENTRAL	5	23	6	12	-	-	24	26	2	2											
Ky.	1	9	-	3	N	N	-	5	-	-											
Tenn.	4	14	6	9	-	N	7	9	1	1											
Ala.	-	-	-	-	-	N	16	7	1	1											
Miss.	-	-	-	-	-	-	1	5	-	-											
W.S. CENTRAL	6	33	8	9	2	7	53	79	3	13											
Ark.	2	-	3	1	-	-	3	5	-	-											
La.	-	1	5	8	1	2	6	14	-	-											
Okla.	4	3	N	N	1	1	7	3	-	2											
Tex.	-	29	N	N	-	4	37	57	3	11											
MOUNTAIN	58	27	6	5	3	8	16	27	1	1											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	1	N	N	-	N	-	3	-	-											
Wyo.	1	2	-	2	-	-	-	1	-	-											
Colo.	22	10	N	N	3	8	-	4	-	-											
N. Mex.	4	12	-	2	-	-	-	8	-	1											
Ariz.	30	-	N	N	-	N	11	8	1	-											
Utah	1	2	5	1	-	-	-	1	-	-											
Nev.	-	-	1	-	-	-	5	2	-	-											
PACIFIC	26	49	4	16	-	-	28	129	-	4											
Wash.	N	N	N	N	N	N	4	8	-	-											
Oreg.	N	N	N	N	-	N	-	3	-	-											
Calif.	13	35	N	N	-	N	24	118	-	4											
Alaska	-	-	-	-	-	N	-	-	-	-											
Hawaii	13	14	4	16	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	N	3	10	-	-											
V.I.	-	-	-	-	-	-	-	2	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


