
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 12, 2005 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	207	273	-	3	8	13	17	29													
NEW ENGLAND	13	29	-	-	1	3	2	-													
Maine	-	1	-	-	-	-	-	-													
N.H.	-	6	-	-	-	1	-	-													
Vt.	4	3	-	-	-	-	2	-													
Mass.	5	12	-	-	-	1	-	-													
R.I.	-	1	-	-	-	-	-	-													
Conn.	4	6	-	-	1	1	-	-													
MID. ATLANTIC	48	53	-	-	-	-	3	7													
Upstate N.Y.	12	16	-	-	-	-	-	1													
N.Y. City	7	11	-	-	-	-	-	3													
N.J.	9	9	-	-	-	-	-	1													
Pa.	20	17	-	-	-	-	3	2													
E.N. CENTRAL	27	60	-	-	-	4	2	13													
Ohio	19	20	-	-	-	2	2	3													
Ind.	3	3	-	-	-	1	-	1													
Ill.	2	17	-	-	-	-	-	5													
Mich.	3	7	-	-	-	1	-	3													
Wis.	-	13	-	-	-	-	-	1													
W.N. CENTRAL	12	10	-	-	-	1	2	1													
Minn.	-	3	-	-	-	1	-	-													
Iowa	-	-	-	-	-	-	-	-													
Mo.	10	3	-	-	-	-	2	1													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	1	4	-	-	-	-	-	-													
Kans.	1	-	-	-	-	-	-	-													
S. ATLANTIC	65	54	-	-	1	1	4	2													
Del.	-	-	-	-	-	-	-	-													
Md.	11	17	-	-	1	1	1	-													
D.C.	-	-	-	-	-	-	-	-													
Va.	1	6	-	-	-	-	-	-													
W. Va.	-	2	-	-	-	-	-	-													
N.C.	14	1	-	-	-	-	-	-													
S.C.	1	-	-	-	-	-	-	-													
Ga.	21	15	-	-	-	-	3	2													
Fla.	17	13	-	-	-	-	-	-													
E.S. CENTRAL	4	11	-	-	-	-	-	1													
Ky.	-	-	-	-	-	-	-	-													
Tenn.	3	5	-	-	-	-	-	-													
Ala.	1	6	-	-	-	-	-	1													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	6	7	-	-	-	1	1	-													
Ark.	-	-	-	-	-	-	-	-													
La.	2	3	-	-	-	-	1	-													
Okla.	4	4	-	-	-	1	-	-													
Tex.	-	-	-	-	-	-	-	-													
MOUNTAIN	27	37	-	1	6	3	2	3													
Mont.	-	-	-	-	-	-	-	-													
Idaho	1	1	-	-	-	-	-	-													
Wyo.	1	-	-	-	-	-	-	-													
Colo.	3	10	-	-	-	-	-	1													
N. Mex.	4	9	-	-	2	1	-	1													
Ariz.	14	13	-	-	2	1	2	1													
Utah	1	1	-	1	-	-	-	-													
Nev.	3	3	-	-	2	1	-	-													
PACIFIC	5	12	-	2	-	-	1	2													
Wash.	-	3	-	2	-	-	-	1													
Oreg.	3	6	-	-	-	-	1	-													
Calif.	-	3	-	-	-	-	-	1													
Alaska	1	-	-	-	-	-	-	-													
Hawaii	1	-	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


