
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 19, 2005 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	2,989	2,511	96,377	114,635	549	375	189	363													
NEW ENGLAND	133	50	3,594	4,012	-	-	10	22													
Maine	3	1	308	252	N	N	-	4													
N.H.	2	4	223	236	-	-	3	5													
Vt.	-	7	147	151	-	-	2	2													
Mass.	47	1	1,957	1,804	-	-	2	9													
R.I.	14	16	449	574	-	-	-	-													
Conn.	67	21	510	995	N	N	3	2													
MID. ATLANTIC	447	459	11,901	13,423	-	-	34	59													
Upstate N.Y.	39	24	1,985	2,077	N	N	9	8													
N.Y. City	221	281	3,634	4,552	-	-	8	21													
N.J.	87	98	1,440	2,282	N	N	1	4													
Pa.	100	56	4,842	4,512	N	N	16	26													
E.N. CENTRAL	275	307	11,609	21,906	-	-	28	87													
Ohio	59	96	1,655	5,906	N	N	15	23													
Ind.	37	53	2,333	2,469	N	N	2	6													
Ill.	147	125	4,212	5,988	-	-	-	18													
Mich.	26	15	1,710	5,217	-	-	2	17													
Wis.	6	18	1,699	2,326	N	N	9	23													
W.N. CENTRAL	85	60	4,913	7,510	-	1	28	28													
Minn.	35	12	832	1,570	N	N	6	7													
Iowa	16	5	-	937	N	N	5	2													
Mo.	17	12	2,339	2,810	-	-	12	10													
N. Dak.	-	5	105	195	N	N	-	-													
S. Dak.	3	-	385	280	-	-	2	4													
Nebr.	-	5	404	688	-	1	-	-													
Kans.	14	21	848	1,030	N	N	3	5													
S. ATLANTIC	1,108	715	21,205	20,051	-	-	45	66													
Del.	-	12	427	383	N	N	-	-													
Md.	82	10	2,124	2,398	-	-	5	5													
D.C.	28	21	430	447	-	-	-	1													
Va.	58	3	3,252	2,838	-	-	3	2													
W. Va.	12	8	296	373	N	N	4	-													
N.C.	127	1	4,660	1,953	N	N	7	14													
S.C.	42	27	2,944	2,119	-	-	-	2													
Ga.	231	192	1,604	4,651	-	-	10	26													
Fla.	528	441	5,468	4,889	N	N	16	16													
E.S. CENTRAL	141	98	7,147	7,060	-	1	6	23													
Ky.	25	20	1,777	805	N	N	1	5													
Tenn.	59	33	2,434	2,939	N	N	1	10													
Ala.	54	26	288	1,819	-	-	3	6													
Miss.	3	19	2,648	1,497	-	1	1	2													
W.S. CENTRAL	331	383	13,738	14,898	-	-	5	19													
Ark.	35	15	1,119	990	-	-	-	7													
La.	39	28	1,034	3,799	-	-	-	-													
Okla.	43	5	1,324	1,199	N	N	3	5													
Tex.	214	335	10,261	8,910	N	N	2	7													
MOUNTAIN	112	70	6,305	6,906	379	166	11	17													
Mont.	-	-	251	27	N	N	-	-													
Idaho	1	1	224	477	N	N	-	-													
Wyo.	-	-	161	132	-	-	-	2													
Colo.	12	1	1,320	1,531	N	N	3	10													
N. Mex.	17	-	422	972	-	5	1	1													
Ariz.	57	64	2,997	2,609	369	145	3	3													
Utah	8	3	346	399	1	4	1	-													
Nev.	17	1	584	759	9	12	3	1													
PACIFIC	357	369	15,965	18,869	170	207	22	42													
Wash.	28	22	2,511	2,225	N	N	-	-													
Oreg.	32	16	1,142	1,001	-	-	1	4													
Calif.	291	318	11,452	14,431	170	207	21	37													
Alaska	5	-	410	400	-	-	-	-													
Hawaii	1	13	450	812	-	-	-	1													
Guam	1	-	-	146	-	-	-	-													
P.R.	1	47	350	241	N	N	N	N													
V.I.	3	-	-	67	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


