
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 26, 2005 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	692	855	361	449	91	120	832	1,073	23	77											
NEW ENGLAND	24	45	-	1	10	13	32	17	-	-											
Maine	1	1	N	N	-	-	1	-	-	-											
N.H.	2	5	-	-	-	N	2	1	-	-											
Vt.	3	-	-	-	-	-	-	-	-	-											
Mass.	18	37	-	-	10	12	29	7	-	-											
R.I.	-	2	-	1	-	1	-	1	-	-											
Conn.	-	-	-	-	U	U	-	8	-	-											
MID. ATLANTIC	124	140	39	27	19	10	100	141	4	13											
Upstate N.Y.	47	39	10	9	9	4	10	3	2	1											
N.Y. City	8	33	U	U	U	U	68	89	1	3											
N.J.	22	30	N	N	2	-	14	26	-	8											
Pa.	47	38	29	18	8	6	8	23	1	1											
E.N. CENTRAL	88	192	69	110	25	32	71	108	1	17											
Ohio	27	46	54	86	18	16	39	32	-	-											
Ind.	15	11	15	24	3	5	6	8	-	5											
Ill.	2	60	-	-	1	-	18	51	-	2											
Mich.	40	57	-	N	-	N	5	14	-	10											
Wis.	4	18	N	N	3	11	3	3	1	-											
W.N. CENTRAL	25	62	9	2	8	11	25	32	-	-											
Minn.	-	24	-	-	4	5	1	5	-	-											
Iowa	N	N	N	N	-	N	-	1	-	-											
Mo.	11	11	8	2	-	3	21	18	-	-											
N. Dak.	1	3	-	-	1	-	-	-	-	-											
S. Dak.	4	4	1	-	-	-	-	-	-	-											
Nebr.	7	5	-	-	1	2	1	5	-	-											
Kans.	2	15	N	N	2	1	2	3	-	-											
S. ATLANTIC	168	152	172	221	10	10	248	271	4	11											
Del.	-	-	-	1	-	N	2	1	-	-											
Md.	54	40	-	-	9	7	54	44	1	3											
D.C.	1	-	-	3	1	3	13	11	-	-											
Va.	5	8	N	N	-	N	12	3	2	1											
W. Va.	2	6	-	9	-	-	1	2	-	-											
N.C.	15	17	N	N	U	U	44	27	-	-											
S.C.	-	1	-	17	-	N	11	22	-	2											
Ga.	37	41	63	74	-	N	5	42	-	1											
Fla.	54	39	109	117	-	N	106	119	1	4											
E.S. CENTRAL	17	43	27	30	-	-	51	59	3	2											
Ky.	4	19	6	8	N	N	3	10	-	-											
Tenn.	13	24	21	22	-	N	20	28	1	1											
Ala.	-	-	-	-	-	N	25	13	2	1											
Miss.	-	-	-	-	-	-	3	8	-	-											
W.S. CENTRAL	28	74	20	18	10	31	155	165	9	20											
Ark.	6	2	5	2	-	1	6	10	-	2											
La.	3	1	15	16	4	7	12	29	-	-											
Okla.	19	11	N	N	6	9	8	4	1	2											
Tex.	-	60	N	N	-	14	129	122	8	16											
MOUNTAIN	140	54	14	10	9	13	37	55	2	1											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	1	1	N	N	-	N	6	4	-	-											
Wyo.	1	3	2	4	-	-	-	1	-	-											
Colo.	58	20	N	N	8	12	-	10	-	-											
N. Mex.	11	21	-	4	-	-	6	21	-	1											
Ariz.	61	3	N	N	-	N	20	15	2	-											
Utah	8	6	11	1	1	1	-	2	-	-											
Nev.	-	-	1	1	-	-	5	2	-	-											
PACIFIC	78	93	11	30	-	-	113	225	-	13											
Wash.	N	N	N	N	N	N	17	12	-	-											
Oreg.	N	N	N	N	-	N	1	9	-	-											
Calif.	58	70	N	N	-	N	93	202	-	13											
Alaska	-	-	-	-	-	N	-	-	-	-											
Hawaii	20	23	11	30	-	-	2	2	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	N	17	20	3	-											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


