
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 5, 2005 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	2,989	5,431	129,721	152,544	747	895	244	476													
NEW ENGLAND	133	180	4,416	5,283	-	-	16	27													
Maine	3	5	377	329	N	N	1	5													
N.H.	2	5	295	309	-	-	4	6													
Vt.	-	7	173	210	-	-	5	3													
Mass.	47	49	2,432	2,412	-	-	3	10													
R.I.	14	22	590	668	-	-	-	-													
Conn.	67	92	549	1,355	N	N	3	3													
MID. ATLANTIC	447	626	15,547	18,599	-	-	39	83													
Upstate N.Y.	39	78	3,024	3,078	N	N	13	13													
N.Y. City	221	300	4,582	6,281	-	-	8	24													
N.J.	87	186	1,774	2,931	N	N	1	7													
Pa.	100	62	6,167	6,309	N	N	17	39													
E.N. CENTRAL	275	614	17,015	28,494	-	-	37	114													
Ohio	59	155	2,286	7,452	N	N	20	28													
Ind.	37	83	3,482	3,235	N	N	3	15													
Ill.	147	278	5,704	8,000	-	-	-	20													
Mich.	26	61	3,255	6,744	-	-	5	21													
Wis.	6	37	2,288	3,063	N	N	9	30													
W.N. CENTRAL	85	176	7,092	9,851	-	1	33	44													
Minn.	35	33	1,194	2,041	N	N	6	13													
Iowa	16	9	643	1,242	N	N	8	7													
Mo.	17	82	3,158	3,649	-	-	12	13													
N. Dak.	-	8	206	271	N	N	-	-													
S. Dak.	3	-	491	400	-	-	2	4													
Nebr.	-	8	404	913	-	1	-	-													
Kans.	14	36	996	1,335	N	N	5	7													
S. ATLANTIC	1,108	1,966	27,932	28,150	-	-	57	91													
Del.	-	29	519	513	N	N	-	-													
Md.	82	193	2,793	3,285	-	-	5	6													
D.C.	28	96	615	623	-	-	1	2													
Va.	58	76	4,329	3,807	-	-	6	7													
W. Va.	12	23	439	516	N	N	4	-													
N.C.	127	173	6,372	4,350	N	N	8	20													
S.C.	42	135	3,690	2,806	-	-	-	2													
Ga.	231	324	1,908	5,763	-	-	15	37													
Fla.	528	917	7,267	6,487	N	N	18	17													
E.S. CENTRAL	141	266	9,421	8,871	-	1	7	25													
Ky.	25	39	2,262	978	N	N	1	5													
Tenn.	59	109	3,503	3,660	N	N	2	11													
Ala.	54	75	371	2,279	-	-	3	6													
Miss.	3	43	3,285	1,954	-	1	1	3													
W.S. CENTRAL	331	788	16,840	19,479	-	-	6	21													
Ark.	35	42	1,419	1,306	-	-	-	7													
La.	39	147	1,034	4,403	-	-	-	-													
Okla.	43	27	1,622	1,547	N	N	4	6													
Tex.	214	572	12,765	12,223	N	N	2	8													
MOUNTAIN	112	191	8,463	8,878	488	604	15	20													
Mont.	-	-	366	26	N	N	-	-													
Idaho	1	2	275	620	N	N	-	-													
Wyo.	-	-	180	174	-	-	-	2													
Colo.	12	28	1,867	2,027	N	N	5	12													
N. Mex.	17	19	537	1,283	1	6	2	1													
Ariz.	57	104	3,717	3,203	472	581	3	4													
Utah	8	9	553	538	2	4	2	-													
Nev.	17	29	968	1,007	13	13	3	1													
PACIFIC	357	624	22,995	24,939	259	289	34	51													
Wash.	28	63	3,265	2,835	N	N	-	-													
Oreg.	32	17	1,537	1,315	-	-	2	6													
Calif.	291	514	17,005	19,196	259	289	32	44													
Alaska	5	5	546	548	-	-	-	-													
Hawaii	1	25	642	1,045	-	-	-	1													
Guam	1	-	-	173	-	-	-	-													
P.R.	1	141	585	348	N	N	N	N													
V.I.	3	2	32	83	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


