
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 19, 2005 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	2,989	5,431	164,012	189,128	911	1,125	318	582													
NEW ENGLAND	133	180	5,423	6,371	-	-	22	30													
Maine	3	5	462	405	N	N	1	5													
N.H.	2	5	405	375	-	-	4	7													
Vt.	-	7	225	248	-	-	8	3													
Mass.	47	49	3,047	2,844	-	-	5	10													
R.I.	14	22	701	776	-	-	1	1													
Conn.	67	92	583	1,723	N	N	3	4													
MID. ATLANTIC	447	626	19,751	23,255	-	-	47	101													
Upstate N.Y.	39	78	3,926	4,179	N	N	15	18													
N.Y. City	221	300	5,730	7,560	-	-	10	29													
N.J.	87	186	2,174	3,770	N	N	2	8													
Pa.	100	62	7,921	7,746	N	N	20	46													
E.N. CENTRAL	275	614	21,319	34,692	1	4	49	138													
Ohio	59	155	2,782	8,494	N	N	24	36													
Ind.	37	83	3,867	3,916	N	N	4	21													
Ill.	147	278	7,244	9,998	-	-	-	22													
Mich.	26	61	4,252	8,505	1	4	9	23													
Wis.	6	37	3,174	3,779	N	N	12	36													
W.N. CENTRAL	85	176	9,778	12,015	-	1	44	57													
Minn.	35	33	1,638	2,458	N	N	10	23													
Iowa	16	9	1,421	1,500	N	N	10	8													
Mo.	17	82	4,236	4,480	-	-	16	14													
N. Dak.	-	8	254	349	N	N	-	-													
S. Dak.	3	-	569	509	-	-	2	4													
Nebr.	-	8	404	1,142	-	1	-	-													
Kans.	14	36	1,256	1,577	N	N	6	8													
S. ATLANTIC	1,108	1,966	34,539	35,394	-	-	72	113													
Del.	-	29	660	653	N	N	-	-													
Md.	82	193	3,512	4,169	-	-	5	7													
D.C.	28	96	773	770	-	-	1	2													
Va.	58	76	5,303	4,845	-	-	8	8													
W. Va.	12	23	568	630	N	N	4	1													
N.C.	127	173	7,754	5,277	N	N	10	24													
S.C.	42	135	4,724	3,844	-	-	-	3													
Ga.	231	324	2,219	6,926	-	-	19	40													
Fla.	528	917	9,026	8,280	N	N	25	28													
E.S. CENTRAL	141	266	12,196	11,192	-	2	7	29													
Ky.	25	39	2,751	1,258	N	N	1	6													
Tenn.	59	109	4,307	4,630	N	N	2	11													
Ala.	54	75	648	2,825	-	-	3	8													
Miss.	3	43	4,490	2,479	-	2	1	4													
W.S. CENTRAL	331	788	20,536	24,564	-	-	10	24													
Ark.	35	42	1,790	1,633	-	-	-	8													
La.	39	147	1,034	5,431	-	-	2	-													
Okla.	43	27	2,234	2,027	N	N	4	7													
Tex.	214	572	15,478	15,473	N	N	4	9													
MOUNTAIN	112	191	10,714	10,297	581	730	20	26													
Mont.	-	-	421	26	N	N	-	2													
Idaho	1	2	391	692	N	N	1	1													
Wyo.	-	-	240	224	-	-	-	2													
Colo.	12	28	2,298	2,561	N	N	6	14													
N. Mex.	17	19	537	1,384	2	7	2	1													
Ariz.	57	104	4,655	3,712	559	705	3	5													
Utah	8	9	742	585	2	4	3	-													
Nev.	17	29	1,430	1,113	18	14	5	1													
PACIFIC	357	624	29,756	31,348	329	388	47	64													
Wash.	28	63	4,060	3,640	N	N	-	3													
Oreg.	32	17	1,734	1,630	-	-	5	7													
Calif.	291	514	22,292	24,107	329	388	42	53													
Alaska	5	5	782	685	-	-	-	-													
Hawaii	1	25	888	1,286	-	-	-	1													
Guam	1	-	-	197	-	-	-	-													
P.R.	1	141	834	473	N	N	N	N													
V.I.	3	2	32	101	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


