
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 2, 2005 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	5,673	8,770	199,277	225,389	987	1,371	377	647													
NEW ENGLAND	171	311	6,355	7,550	-	-	24	35													
Maine	3	5	564	476	N	N	1	5													
N.H.	2	10	470	432	-	-	4	9													
Vt.	-	8	251	293	-	-	8	5													
Mass.	61	84	3,635	3,398	-	-	7	10													
R.I.	14	33	830	889	-	-	1	1													
Conn.	91	171	605	2,062	N	N	3	5													
MID. ATLANTIC	1,105	1,292	23,884	28,289	-	-	58	114													
Upstate N.Y.	103	132	4,900	5,197	N	N	17	21													
N.Y. City	637	381	7,201	9,208	-	-	13	35													
N.J.	196	386	2,564	4,649	N	N	3	8													
Pa.	169	393	9,219	9,235	N	N	25	50													
E.N. CENTRAL	534	805	26,232	40,886	1	4	53	159													
Ohio	83	227	3,450	10,155	N	N	26	40													
Ind.	84	116	4,661	4,646	N	N	6	21													
Ill.	273	282	8,721	11,952	-	-	-	23													
Mich.	72	131	5,355	9,575	1	4	9	32													
Wis.	22	49	4,045	4,558	N	N	12	43													
W.N. CENTRAL	117	222	12,318	13,973	-	3	52	64													
Minn.	52	45	2,155	2,880	N	N	14	27													
Iowa	18	9	2,165	1,734	N	N	11	9													
Mo.	20	104	5,258	5,220	-	2	19	14													
N. Dak.	-	11	254	439	N	N	-	-													
S. Dak.	3	-	702	606	-	-	2	5													
Nebr.	-	8	404	1,266	-	1	-	-													
Kans.	24	45	1,380	1,828	N	N	6	9													
S. ATLANTIC	2,033	3,419	40,332	43,045	-	-	89	129													
Del.	16	41	777	754	N	N	-	-													
Md.	205	340	4,395	5,019	-	-	5	7													
D.C.	80	148	942	912	-	-	1	2													
Va.	104	135	5,775	5,673	-	-	11	13													
W. Va.	16	29	614	714	N	N	4	2													
N.C.	219	236	8,718	7,233	N	N	12	25													
S.C.	60	203	5,545	4,362	-	-	2	4													
Ga.	364	508	2,899	8,174	-	-	26	43													
Fla.	969	1,779	10,667	10,204	N	N	28	33													
E.S. CENTRAL	397	442	14,682	13,239	-	3	8	31													
Ky.	48	41	2,963	1,494	N	N	1	6													
Tenn.	157	187	5,168	5,602	N	N	2	12													
Ala.	121	124	881	3,335	-	-	4	9													
Miss.	71	90	5,670	2,808	-	3	1	4													
W.S. CENTRAL	672	1,292	27,470	28,767	-	2	12	24													
Ark.	41	44	2,146	1,983	-	1	-	7													
La.	60	279	4,407	6,353	-	1	2	-													
Okla.	71	36	2,361	2,498	N	N	6	7													
Tex.	500	933	18,556	17,933	N	N	4	10													
MOUNTAIN	246	254	12,916	12,181	635	890	23	27													
Mont.	3	-	521	250	N	N	-	2													
Idaho	3	2	391	793	N	N	1	1													
Wyo.	-	3	279	263	-	-	2	2													
Colo.	14	47	2,959	3,081	N	N	7	15													
N. Mex.	35	20	748	1,507	2	7	1	1													
Ariz.	113	104	5,480	4,345	609	863	3	5													
Utah	12	19	977	665	2	4	4	-													
Nev.	66	59	1,561	1,277	22	16	5	1													
PACIFIC	398	733	35,088	37,459	351	469	58	64													
Wash.	58	127	4,986	4,215	N	N	5	-													
Oreg.	32	50	2,262	1,961	-	-	6	7													
Calif.	297	518	25,816	28,839	351	469	47	56													
Alaska	6	7	939	938	-	-	-	-													
Hawaii	5	31	1,085	1,506	-	-	-	1													
Guam	1	-	-	231	-	-	-	-													
P.R.	1	142	1,025	511	N	N	N	N													
V.I.	4	2	32	112	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


