
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending April 23, 2005 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	10,042	8,762	250,327	280,478	1,288	1,635	497	755													
NEW ENGLAND	406	311	7,915	9,364	-	-	29	40													
Maine	3	5	698	592	N	N	3	6													
N.H.	2	10	548	529	-	-	4	10													
Vt.	1	8	320	363	-	-	8	5													
Mass.	211	84	4,468	4,235	-	-	9	12													
R.I.	34	33	1,035	1,100	-	-	1	1													
Conn.	155	171	846	2,545	N	N	4	6													
MID. ATLANTIC	1,995	1,292	29,688	34,911	-	-	73	131													
Upstate N.Y.	188	132	6,332	6,553	N	N	19	26													
N.Y. City	1,137	381	9,013	11,027	-	-	17	39													
N.J.	357	386	3,251	5,679	N	N	6	9													
Pa.	313	393	11,092	11,652	N	N	31	57													
E.N. CENTRAL	915	804	36,899	51,332	2	5	89	195													
Ohio	136	227	8,437	12,979	N	N	37	45													
Ind.	119	116	5,780	5,588	N	N	5	26													
Ill.	482	281	10,544	14,679	-	-	-	32													
Mich.	135	131	7,110	12,513	2	5	15	40													
Wis.	43	49	5,028	5,573	N	N	32	52													
W.N. CENTRAL	227	218	15,501	17,273	3	4	72	78													
Minn.	69	45	2,552	3,493	3	N	18	31													
Iowa	18	9	1,637	2,106	N	N	15	12													
Mo.	99	100	6,875	6,445	-	3	25	15													
N. Dak.	5	11	254	557	N	N	-	-													
S. Dak.	5	-	842	772	-	-	5	9													
Nebr.	2	8	1,344	1,651	-	1	1	2													
Kans.	29	45	1,997	2,249	N	N	8	9													
S. ATLANTIC	3,395	3,420	49,777	53,331	-	-	112	145													
Del.	51	41	1,006	934	N	N	-	-													
Md.	406	340	5,383	5,925	-	-	5	7													
D.C.	176	148	1,139	1,151	-	-	1	3													
Va.	177	135	6,979	7,038	-	-	10	15													
W. Va.	19	29	697	897	N	N	4	2													
N.C.	298	236	10,459	8,425	N	N	14	30													
S.C.	133	203	6,675	5,927	-	-	5	5													
Ga.	503	509	4,447	10,397	-	-	33	46													
Fla.	1,632	1,779	12,992	12,637	N	N	40	37													
E.S. CENTRAL	581	442	17,838	16,217	-	3	10	35													
Ky.	70	41	3,788	1,764	N	N	3	8													
Tenn.	232	187	6,481	6,915	N	N	2	12													
Ala.	168	124	1,859	3,960	-	-	4	9													
Miss.	111	90	5,710	3,578	-	3	1	6													
W.S. CENTRAL	1,021	1,290	34,245	35,313	-	2	14	25													
Ark.	69	44	2,717	2,476	-	1	-	7													
La.	170	279	5,646	7,727	-	1	2	-													
Okla.	72	36	3,333	3,190	N	N	7	7													
Tex.	710	931	22,549	21,920	N	N	5	11													
MOUNTAIN	398	253	16,342	15,485	859	1,061	32	32													
Mont.	3	-	679	529	N	N	4	3													
Idaho	3	2	731	980	N	N	1	4													
Wyo.	-	3	356	337	-	-	2	2													
Colo.	83	47	3,961	3,748	N	N	11	15													
N. Mex.	42	20	748	2,517	2	9	2	1													
Ariz.	166	104	6,732	4,928	829	1,023	3	5													
Utah	20	19	1,249	974	2	10	4	1													
Nev.	81	58	1,886	1,472	26	19	5	1													
PACIFIC	1,104	732	42,122	47,252	424	560	66	74													
Wash.	106	127	5,973	5,307	N	N	5	-													
Oreg.	66	50	2,649	2,443	-	-	11	7													
Calif.	897	517	30,903	36,429	424	560	50	66													
Alaska	7	7	1,195	1,233	-	-	-	-													
Hawaii	28	31	1,402	1,840	-	-	-	1													
Guam	1	-	-	294	-	-	-	-													
P.R.	259	142	1,342	696	N	N	N	N													
V.I.	7	2	32	125	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


