
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 7, 2005 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	10,042	12,150	288,880	314,750	1,395	1,723	578	850													
NEW ENGLAND	406	370	8,731	10,347	-	-	33	49													
Maine	3	5	775	673	N	N	3	8													
N.H.	2	19	639	595	-	-	5	12													
Vt.	1	10	330	406	-	-	9	6													
Mass.	211	119	5,045	4,649	-	-	11	16													
R.I.	34	44	1,096	1,212	-	-	1	1													
Conn.	155	173	846	2,812	N	N	4	6													
MID. ATLANTIC	1,995	2,409	34,686	39,302	-	-	82	138													
Upstate N.Y.	188	186	7,585	7,442	N	N	20	27													
N.Y. City	1,137	1,134	10,644	12,493	-	-	20	43													
N.J.	357	524	3,823	6,413	N	N	7	10													
Pa.	313	565	12,634	12,954	N	N	35	58													
E.N. CENTRAL	915	1,275	46,400	56,917	2	5	109	221													
Ohio	136	231	13,376	14,675	N	N	42	49													
Ind.	119	164	6,594	6,276	N	N	11	30													
Ill.	482	605	12,378	16,287	-	-	-	34													
Mich.	135	207	7,868	13,422	2	5	18	47													
Wis.	43	68	6,184	6,257	N	N	38	61													
W.N. CENTRAL	227	302	17,862	19,385	3	4	82	92													
Minn.	69	67	2,821	3,910	3	N	24	39													
Iowa	18	19	2,357	2,373	N	N	16	13													
Mo.	99	125	7,756	7,214	-	3	28	17													
N. Dak.	5	12	254	689	N	N	-	-													
S. Dak.	5	5	931	867	-	-	5	10													
Nebr.	2	20	1,459	1,826	-	1	1	3													
Kans.	29	54	2,284	2,506	N	N	8	10													
S. ATLANTIC	3,395	4,148	55,454	59,547	-	-	137	161													
Del.	51	55	1,173	1,025	N	N	-	-													
Md.	406	475	6,127	6,676	-	-	5	9													
D.C.	176	149	1,283	1,281	-	-	1	4													
Va.	177	208	6,979	7,899	-	-	10	21													
W. Va.	19	29	807	997	N	N	4	2													
N.C.	298	238	11,956	9,037	N	N	19	31													
S.C.	133	268	6,964	6,309	-	-	7	7													
Ga.	503	691	5,526	11,952	-	-	39	44													
Fla.	1,632	2,035	14,639	14,371	N	N	52	43													
E.S. CENTRAL	581	555	19,411	18,286	-	3	10	37													
Ky.	70	68	4,105	1,908	N	N	3	9													
Tenn.	232	208	7,415	7,840	N	N	2	12													
Ala.	168	167	2,181	4,291	-	-	4	9													
Miss.	111	112	5,710	4,247	-	3	1	7													
W.S. CENTRAL	1,021	1,705	38,213	39,576	-	2	17	27													
Ark.	69	88	3,088	2,784	-	1	1	7													
La.	170	337	6,301	8,589	-	1	2	-													
Okla.	72	68	3,712	3,684	N	N	7	8													
Tex.	710	1,212	25,112	24,519	N	N	7	12													
MOUNTAIN	398	486	17,966	17,650	920	1,116	33	34													
Mont.	3	-	722	681	N	N	4	3													
Idaho	3	3	731	1,082	N	N	1	4													
Wyo.	-	5	387	377	-	-	2	2													
Colo.	83	97	4,360	4,631	N	N	11	17													
N. Mex.	42	51	748	2,906	2	9	2	1													
Ariz.	166	198	7,290	5,223	887	1,075	4	5													
Utah	20	29	1,490	1,135	2	12	4	1													
Nev.	81	103	2,238	1,615	29	20	5	1													
PACIFIC	1,104	900	50,157	53,740	470	593	75	91													
Wash.	106	166	6,663	6,061	N	N	5	-													
Oreg.	66	90	3,069	2,747	-	-	13	9													
Calif.	897	593	37,442	41,488	470	593	57	81													
Alaska	7	10	1,329	1,394	-	-	-	-													
Hawaii	28	41	1,654	2,050	-	-	-	1													
Guam	1	-	-	324	-	-	-	-													
P.R.	259	208	1,446	801	N	N	N	N													
V.I.	7	4	32	141	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


