
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending May 21, 2005 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	906	892	2	6	49	46	87	94													
NEW ENGLAND	65	86	-	1	5	6	4	1													
Maine	3	7	-	-	-	-	1	-													
N.H.	3	12	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	24	43	-	1	-	2	1	-													
R.I.	6	2	-	-	2	-	-	-													
Conn.	23	17	-	-	3	2	-	-													
MID. ATLANTIC	178	185	-	1	-	3	21	24													
Upstate N.Y.	48	63	-	1	-	3	5	3													
N.Y. City	27	38	-	-	-	-	6	8													
N.J.	37	34	-	-	-	-	5	2													
Pa.	66	50	-	-	-	-	5	11													
E.N. CENTRAL	122	160	-	-	1	7	6	24													
Ohio	61	57	-	-	-	2	5	10													
Ind.	35	22	-	-	1	4	1	1													
Ill.	9	47	-	-	-	-	-	10													
Mich.	10	9	-	-	-	1	-	3													
Wis.	7	25	-	-	-	-	-	-													
W.N. CENTRAL	45	43	-	1	2	2	6	5													
Minn.	18	14	-	-	2	2	-	-													
Iowa	-	1	-	1	-	-	-	-													
Mo.	20	18	-	-	-	-	4	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	3	2	-	-	-	-	1	-													
Kans.	3	5	-	-	-	-	-	1													
S. ATLANTIC	235	205	-	-	13	10	14	16													
Del.	-	-	-	-	-	-	-	-													
Md.	34	38	-	-	4	2	-	-													
D.C.	-	1	-	-	-	-	-	1													
Va.	18	17	-	-	-	-	-	1													
W. Va.	14	10	-	-	1	3	2	-													
N.C.	37	24	-	-	5	3	-	-													
S.C.	10	5	-	-	-	-	1	-													
Ga.	60	59	-	-	-	-	6	14													
Fla.	62	51	-	-	3	2	5	-													
E.S. CENTRAL	46	29	-	-	1	-	10	6													
Ky.	4	-	-	-	1	-	1	-													
Tenn.	32	20	-	-	-	-	6	4													
Ala.	10	9	-	-	-	-	3	2													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	55	37	1	1	4	4	6	1													
Ark.	-	1	-	-	-	-	-	-													
La.	26	9	1	-	2	-	6	1													
Okla.	29	26	-	-	2	4	-	-													
Tex.	-	1	-	1	-	-	-	-													
MOUNTAIN	121	105	-	2	14	10	17	12													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	4	-	-	-	-	1	2													
Wyo.	1	-	-	-	-	-	-	-													
Colo.	26	25	-	-	-	-	3	3													
N. Mex.	13	23	-	-	4	3	1	4													
Ariz.	55	43	-	-	8	6	4	1													
Utah	10	8	-	2	-	1	6	1													
Nev.	13	2	-	-	2	-	2	1													
PACIFIC	39	42	1	-	9	4	3	5													
Wash.	-	1	-	-	-	-	-	1													
Oreg.	17	22	-	-	-	-	3	2													
Calif.	16	12	1	-	9	4	-	1													
Alaska	1	3	-	-	-	-	-	1													
Hawaii	5	4	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


