
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 11, 2005 (WEEK 23)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	16,504	16,762	381,031	402,514	1,790	2,149	799	1,058													
NEW ENGLAND	673	563	13,295	13,370	-	-	45	63													
Maine	8	5	938	850	N	N	6	11													
N.H.	10	23	800	751	-	-	7	14													
Vt.	4	13	443	510	-	-	10	7													
Mass.	331	149	6,051	5,916	-	-	15	22													
R.I.	68	66	1,415	1,548	-	-	1	1													
Conn.	252	307	3,648	3,795	N	N	6	8													
MID. ATLANTIC	3,059	3,919	45,773	50,255	-	-	115	173													
Upstate N.Y.	318	464	9,770	9,781	N	N	30	36													
N.Y. City	1,725	2,143	15,085	15,659	-	-	27	53													
N.J.	472	670	4,802	8,026	N	N	7	13													
Pa.	544	642	16,116	16,789	N	N	51	71													
E.N. CENTRAL	1,387	1,440	57,940	71,685	3	5	162	267													
Ohio	209	229	14,816	18,518	N	N	59	62													
Ind.	198	164	8,794	8,063	N	N	11	31													
Ill.	664	702	16,852	20,604	-	-	12	44													
Mich.	246	263	10,354	16,434	3	5	26	50													
Wis.	70	82	7,124	8,066	N	N	54	80													
W.N. CENTRAL	394	320	22,389	24,407	3	4	124	120													
Minn.	104	78	3,593	5,125	3	N	37	46													
Iowa	48	19	2,951	2,961	N	N	19	15													
Mo.	163	127	9,815	8,963	-	3	45	20													
N. Dak.	5	13	462	860	N	N	-	4													
S. Dak.	9	5	1,244	1,089	-	-	11	16													
Nebr.	18	21	1,580	2,246	-	1	1	7													
Kans.	47	57	2,744	3,163	N	N	11	12													
S. ATLANTIC	5,315	5,171	72,981	75,833	-	-	159	193													
Del.	81	75	1,443	1,290	N	N	-	-													
Md.	637	597	7,762	8,064	-	-	10	9													
D.C.	407	308	1,672	1,590	-	-	2	4													
Va.	273	282	9,241	9,529	-	-	12	23													
W. Va.	30	29	1,121	1,223	N	N	4	2													
N.C.	399	295	14,010	12,674	N	N	23	34													
S.C.	287	328	8,763	8,242	-	-	7	9													
Ga.	896	778	10,394	14,657	-	-	38	58													
Fla.	2,305	2,479	18,575	18,564	N	N	63	54													
E.S. CENTRAL	896	773	27,426	25,219	-	3	23	45													
Ky.	118	68	4,810	2,423	N	N	8	14													
Tenn.	369	324	9,718	9,905	N	N	4	13													
Ala.	244	202	3,534	6,047	-	-	10	10													
Miss.	165	179	9,364	6,844	-	3	1	8													
W.S. CENTRAL	1,896	2,023	48,189	50,991	-	2	22	38													
Ark.	71	88	3,786	3,548	-	1	1	7													
La.	370	340	8,168	11,439	-	1	3	-													
Okla.	113	87	4,795	4,743	N	N	10	9													
Tex.	1,342	1,508	31,440	31,261	N	N	8	22													
MOUNTAIN	643	553	23,315	22,408	1,203	1,351	49	48													
Mont.	4	-	898	1,150	N	N	8	9													
Idaho	7	3	818	1,309	N	N	2	4													
Wyo.	1	6	478	477	2	-	2	2													
Colo.	127	96	6,063	5,743	N	N	18	23													
N. Mex.	60	88	1,945	3,815	3	10	2	2													
Ariz.	258	198	8,484	6,092	1,165	1,307	4	6													
Utah	33	31	1,785	1,508	2	6	7	1													
Nev.	153	131	2,844	2,314	31	28	6	1													
PACIFIC	2,241	2,000	69,723	68,346	581	784	100	111													
Wash.	196	165	8,386	7,681	N	N	5	-													
Oreg.	117	110	3,763	3,546	-	-	17	14													
Calif.	1,865	1,675	53,731	52,887	581	784	78	95													
Alaska	10	13	1,718	1,719	-	-	-	-													
Hawaii	53	37	2,125	2,513	-	-	-	2													
Guam	1	-	-	651	-	-	-	-													
P.R.	335	208	1,819	1,456	N	N	N	N													
V.I.	8	5	32	164	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


