
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending June 25, 2005 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,130	1,095	3	8	58	61	116	103													
NEW ENGLAND	79	108	-	1	6	7	4	1													
Maine	4	7	-	-	-	-	1	-													
N.H.	3	13	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	33	54	-	1	1	2	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	26	26	-	-	3	3	-	-													
MID. ATLANTIC	220	224	-	1	-	3	28	27													
Upstate N.Y.	61	77	-	1	-	3	5	4													
N.Y. City	38	47	-	-	-	-	9	9													
N.J.	44	40	-	-	-	-	7	2													
Pa.	77	60	-	-	-	-	7	12													
E.N. CENTRAL	147	203	1	-	1	8	9	28													
Ohio	77	65	-	-	-	2	7	10													
Ind.	39	30	-	-	1	4	1	1													
Ill.	13	65	-	-	-	-	1	14													
Mich.	11	12	1	-	-	2	-	3													
Wis.	7	31	-	-	-	-	-	-													
W.N. CENTRAL	62	56	-	2	3	3	9	5													
Minn.	21	24	-	1	3	3	-	-													
Iowa	-	1	-	1	-	-	-	-													
Mo.	30	20	-	-	-	-	7	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	5	2	-	-	-	-	1	-													
Kans.	5	6	-	-	-	-	-	1													
S. ATLANTIC	270	251	1	-	16	17	14	17													
Del.	-	-	-	-	-	-	-	-													
Md.	39	43	-	-	4	4	-	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	26	21	-	-	-	-	-	1													
W. Va.	14	10	-	-	1	3	2	-													
N.C.	52	35	1	-	5	5	-	-													
S.C.	10	7	-	-	-	-	1	1													
Ga.	56	72	-	-	-	-	7	14													
Fla.	73	61	-	-	6	5	4	-													
E.S. CENTRAL	68	42	-	-	1	-	12	7													
Ky.	6	3	-	-	1	-	1	-													
Tenn.	46	28	-	-	-	-	7	5													
Ala.	16	11	-	-	-	-	4	2													
Miss.	-	-	-	-	-	-	-	-													
W.S. CENTRAL	70	41	1	1	4	5	7	1													
Ark.	4	1	-	-	-	-	1	-													
La.	27	9	1	-	2	-	6	1													
Okla.	39	30	-	-	2	5	-	-													
Tex.	-	1	-	1	-	-	-	-													
MOUNTAIN	160	120	-	3	15	13	27	12													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	3	-	-	-	-	-	1	-													
Colo.	29	29	-	-	-	-	6	3													
N. Mex.	13	25	-	-	4	4	1	4													
Ariz.	88	43	-	-	9	6	10	1													
Utah	11	9	-	2	-	1	6	1													
Nev.	13	9	-	1	2	2	2	1													
PACIFIC	54	50	-	-	12	5	6	5													
Wash.	-	1	-	-	-	-	-	1													
Oreg.	20	25	-	-	-	-	4	2													
Calif.	25	16	-	-	12	5	1	1													
Alaska	4	4	-	-	-	-	1	1													
Hawaii	5	4	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	-	-													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


