
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 9, 2005 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	16,504	20,011	456,607	470,354	2,228	2,721	992	1,306													
NEW ENGLAND	673	729	16,076	15,554	-	-	59	75													
Maine	8	14	1,091	1,008	N	N	8	13													
N.H.	10	26	882	856	-	-	7	16													
Vt.	4	13	517	591	-	-	14	7													
Mass.	331	234	7,403	6,858	-	-	21	28													
R.I.	68	70	1,673	1,716	-	-	1	2													
Conn.	252	372	4,510	4,525	N	N	8	9													
MID. ATLANTIC	3,059	4,442	54,603	58,190	-	-	135	209													
Upstate N.Y.	318	603	11,290	11,427	N	N	36	45													
N.Y. City	1,725	2,328	18,826	17,985	-	-	31	63													
N.J.	472	786	5,526	9,262	N	N	8	17													
Pa.	544	725	18,961	19,516	N	N	60	84													
E.N. CENTRAL	1,387	1,702	70,929	83,012	4	5	212	346													
Ohio	209	229	19,366	21,066	N	N	75	75													
Ind.	198	215	10,139	9,297	N	N	11	37													
Ill.	664	846	21,195	23,751	-	-	18	55													
Mich.	246	323	12,247	19,327	4	5	31	64													
Wis.	70	89	7,982	9,571	N	N	77	115													
W.N. CENTRAL	394	392	27,122	28,620	3	5	148	167													
Minn.	104	92	4,233	6,044	3	N	42	59													
Iowa	48	26	3,345	3,376	N	N	27	30													
Mo.	163	169	11,460	10,454	-	3	55	24													
N. Dak.	5	13	546	975	N	N	-	8													
S. Dak.	9	6	1,408	1,256	-	-	12	22													
Nebr.	18	21	2,778	2,731	-	2	1	12													
Kans.	47	65	3,352	3,784	N	N	11	12													
S. ATLANTIC	5,315	6,029	87,586	87,846	-	-	208	220													
Del.	81	80	1,671	1,472	N	N	-	-													
Md.	637	686	9,319	9,695	-	-	12	10													
D.C.	407	355	1,934	1,844	-	-	2	4													
Va.	273	330	10,550	11,071	-	-	14	24													
W. Va.	30	30	1,350	1,446	N	N	4	3													
N.C.	399	334	17,159	14,603	N	N	25	38													
S.C.	287	375	10,314	9,121	-	-	8	11													
Ga.	896	888	13,225	16,724	-	-	46	67													
Fla.	2,305	2,951	22,064	21,870	N	N	97	63													
E.S. CENTRAL	896	946	32,912	30,272	-	3	28	51													
Ky.	118	106	5,024	2,868	N	N	10	16													
Tenn.	369	386	11,253	11,640	N	N	6	14													
Ala.	244	228	6,429	7,056	-	-	11	11													
Miss.	165	226	10,206	8,708	-	3	1	10													
W.S. CENTRAL	1,896	2,515	57,218	60,287	-	2	26	51													
Ark.	71	125	4,472	4,216	-	1	1	10													
La.	370	563	9,954	13,175	-	1	3	-													
Okla.	113	87	5,484	5,925	N	N	14	13													
Tex.	1,342	1,740	37,308	36,971	N	N	8	28													
MOUNTAIN	643	717	27,283	26,621	1,491	1,652	61	59													
Mont.	4	4	1,071	1,306	N	N	11	11													
Idaho	7	11	1,112	1,486	N	N	4	6													
Wyo.	1	6	568	542	2	-	2	2													
Colo.	127	135	7,161	6,892	N	N	20	25													
N. Mex.	60	106	2,338	4,466	3	14	2	3													
Ariz.	258	278	9,614	7,565	1,453	1,596	7	9													
Utah	33	31	2,119	1,780	2	8	7	2													
Nev.	153	146	3,300	2,584	31	34	8	1													
PACIFIC	2,241	2,539	82,878	79,952	730	1,054	115	128													
Wash.	196	213	9,949	9,105	N	N	6	-													
Oreg.	117	131	4,397	4,241	-	-	20	18													
Calif.	1,865	2,135	64,136	61,714	730	1,054	89	108													
Alaska	10	14	1,970	1,980	-	-	-	-													
Hawaii	53	46	2,426	2,912	-	-	-	2													
Guam	1	1	-	679	-	-	-	-													
P.R.	335	208	2,089	1,956	N	N	N	N													
V.I.	8	6	32	202	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


