
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 30, 2005 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	23,315	497,963	524,919	2,345	3,112	1,144	1,552													
NEW ENGLAND	778	769	17,200	17,418	-	-	64	93													
Maine	11	14	1,188	1,129	N	N	9	14													
N.H.	20	28	1,004	963	-	-	8	16													
Vt.	4	13	539	658	-	-	14	12													
Mass.	368	232	7,839	7,665	-	-	22	37													
R.I.	68	82	1,747	1,924	-	-	2	2													
Conn.	307	400	4,883	5,079	N	N	9	12													
MID. ATLANTIC	4,352	4,995	62,593	64,751	-	-	152	248													
Upstate N.Y.	800	653	12,380	12,766	N	N	45	53													
N.Y. City	2,327	2,723	20,622	19,958	-	-	31	71													
N.J.	574	919	9,329	10,369	N	N	10	22													
Pa.	651	700	20,262	21,658	N	N	66	102													
E.N. CENTRAL	1,938	1,901	76,161	91,477	5	7	245	427													
Ohio	312	229	20,028	22,697	N	N	86	84													
Ind.	236	246	10,970	10,276	N	N	17	40													
Ill.	983	941	21,585	26,912	-	-	18	70													
Mich.	322	380	13,207	20,831	5	7	36	76													
Wis.	85	105	10,371	10,761	N	N	88	157													
W.N. CENTRAL	463	470	29,405	32,044	4	5	181	203													
Minn.	123	118	4,740	6,740	3	N	47	71													
Iowa	50	36	3,345	3,881	N	N	40	37													
Mo.	198	201	12,432	11,720	1	3	65	36													
N. Dak.	5	14	603	1,090	N	N	-	8													
S. Dak.	10	7	1,513	1,394	-	-	12	23													
Nebr.	18	21	3,128	2,986	-	2	1	14													
Kans.	59	73	3,644	4,233	N	N	16	14													
S. ATLANTIC	6,473	7,144	95,611	97,759	-	-	240	252													
Del.	100	102	1,792	1,617	N	N	-	-													
Md.	812	804	10,218	10,756	-	-	14	10													
D.C.	467	460	2,065	2,033	-	-	2	8													
Va.	307	393	11,154	12,694	-	-	14	27													
W. Va.	36	32	1,449	1,638	N	N	4	3													
N.C.	531	390	18,599	15,979	N	N	29	43													
S.C.	386	426	10,928	10,535	-	-	8	11													
Ga.	1,103	1,011	15,448	18,081	-	-	53	80													
Fla.	2,731	3,526	23,958	24,426	N	N	116	70													
E.S. CENTRAL	1,093	1,163	36,420	34,280	-	4	36	62													
Ky.	135	129	5,421	3,265	N	N	12	23													
Tenn.	434	461	12,273	12,863	N	N	10	16													
Ala.	295	286	7,235	7,869	-	-	13	13													
Miss.	229	287	11,491	10,283	-	4	1	10													
W.S. CENTRAL	2,206	2,954	61,822	67,301	1	2	29	56													
Ark.	72	131	4,672	4,665	-	1	2	11													
La.	436	590	10,801	14,107	1	1	3	-													
Okla.	167	120	6,046	6,768	N	N	16	14													
Tex.	1,531	2,113	40,303	41,761	N	N	8	31													
MOUNTAIN	789	828	29,560	31,201	1,577	1,888	67	70													
Mont.	4	4	1,121	1,486	N	N	12	14													
Idaho	9	11	1,341	1,668	N	N	4	8													
Wyo.	2	6	579	621	2	1	2	2													
Colo.	163	162	7,788	7,617	N	N	22	27													
N. Mex.	72	116	2,422	5,147	3	15	3	6													
Ariz.	329	309	10,433	9,443	1,539	1,826	8	10													
Utah	33	41	2,384	2,109	2	10	8	2													
Nev.	177	179	3,492	3,110	31	36	8	1													
PACIFIC	2,313	3,091	89,191	88,688	758	1,206	130	141													
Wash.	229	213	10,596	10,022	N	N	10	-													
Oreg.	136	155	4,783	4,744	-	-	23	20													
Calif.	1,874	2,646	69,128	68,522	758	1,206	97	119													
Alaska	14	21	2,258	2,149	-	-	-	-													
Hawaii	60	56	2,426	3,251	-	-	-	2													
Guam	1	1	-	686	-	-	-	-													
P.R.	537	394	2,090	2,191	N	N	N	N													
V.I.	10	6	32	226	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


