
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 13, 2005 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	23,315	553,920	562,768	2,678	3,441	1,476	1,831													
NEW ENGLAND	778	769	19,248	18,463	-	-	85	104													
Maine	11	14	1,267	1,206	N	N	12	14													
N.H.	20	28	1,144	1,035	-	-	13	19													
Vt.	4	13	571	703	-	-	18	14													
Mass.	368	232	8,629	8,143	-	-	28	42													
R.I.	68	82	1,983	2,078	-	-	2	3													
Conn.	307	400	5,654	5,298	N	N	12	12													
MID. ATLANTIC	4,352	4,995	68,714	69,431	-	-	201	280													
Upstate N.Y.	800	653	13,764	13,778	N	N	63	61													
N.Y. City	2,327	2,723	22,115	21,604	-	-	42	77													
N.J.	574	919	10,585	11,055	N	N	10	25													
Pa.	651	700	22,250	22,994	N	N	86	117													
E.N. CENTRAL	1,938	1,901	84,560	99,131	5	8	313	541													
Ohio	312	229	20,890	24,363	N	N	101	102													
Ind.	236	246	12,051	11,036	N	N	21	47													
Ill.	983	941	25,632	28,966	-	-	28	93													
Mich.	322	380	14,712	23,280	5	8	45	90													
Wis.	85	105	11,275	11,486	N	N	118	209													
W.N. CENTRAL	463	470	33,836	34,194	5	5	255	233													
Minn.	123	118	6,318	7,190	3	N	60	76													
Iowa	50	36	3,994	4,147	N	N	55	47													
Mo.	198	201	13,701	12,571	2	3	107	42													
N. Dak.	5	14	685	1,141	N	N	-	9													
S. Dak.	10	7	1,692	1,480	-	-	13	23													
Nebr.	18	21	3,381	3,175	-	2	3	17													
Kans.	59	73	4,065	4,490	N	N	17	19													
S. ATLANTIC	6,473	7,144	108,347	105,181	1	-	287	284													
Del.	100	102	2,006	1,756	N	N	-	-													
Md.	812	804	11,470	11,610	1	-	18	11													
D.C.	467	460	2,237	2,180	-	-	5	10													
Va.	307	393	12,428	13,678	-	-	19	30													
W. Va.	36	32	1,583	1,736	N	N	4	3													
N.C.	531	390	20,575	17,612	N	N	34	49													
S.C.	386	426	13,902	11,022	-	-	9	11													
Ga.	1,103	1,011	17,812	19,532	-	-	61	93													
Fla.	2,731	3,526	26,334	26,055	N	N	137	77													
E.S. CENTRAL	1,093	1,163	39,932	36,545	-	4	50	68													
Ky.	135	129	5,887	3,502	N	N	20	23													
Tenn.	434	461	13,579	13,916	N	N	15	19													
Ala.	295	286	7,235	8,333	-	-	14	13													
Miss.	229	287	13,231	10,794	-	4	1	13													
W.S. CENTRAL	2,206	2,954	67,743	71,247	1	2	55	61													
Ark.	72	131	4,672	4,993	-	1	2	12													
La.	436	590	11,798	14,558	1	1	3	1													
Okla.	167	120	6,684	7,075	N	N	30	15													
Tex.	1,531	2,113	44,589	44,621	N	N	20	33													
MOUNTAIN	789	828	32,698	33,805	1,862	2,172	73	97													
Mont.	4	4	1,142	1,566	N	N	12	28													
Idaho	9	11	1,554	1,749	N	N	6	9													
Wyo.	2	6	675	663	2	1	2	2													
Colo.	163	162	8,431	8,324	N	N	23	33													
N. Mex.	72	116	2,969	5,453	6	16	3	7													
Ariz.	329	309	11,259	10,241	1,820	2,104	9	14													
Utah	33	41	2,651	2,268	3	11	10	2													
Nev.	177	179	4,017	3,541	31	40	8	2													
PACIFIC	2,313	3,091	98,842	94,771	804	1,250	157	163													
Wash.	229	213	11,518	10,593	N	N	21	14													
Oreg.	136	155	5,115	5,044	-	-	28	22													
Calif.	1,874	2,646	77,061	73,371	804	1,250	107	125													
Alaska	14	21	2,439	2,314	-	-	-	-													
Hawaii	60	56	2,709	3,449	-	-	1	2													
Guam	1	1	-	719	-	-	-	-													
P.R.	537	394	2,274	2,284	N	N	N	N													
V.I.	10	6	119	235	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


