
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending August 13, 2005 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2005
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2005
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004

tab delimited data:
test
UNITED STATES	1,396	1,303	3	9	73	73	133	122													
NEW ENGLAND	107	119	-	1	9	7	4	1													
Maine	5	9	-	-	-	-	1	-													
N.H.	5	14	-	-	-	2	-	-													
Vt.	6	5	-	-	-	-	2	1													
Mass.	49	58	-	1	3	2	1	-													
R.I.	7	3	-	-	2	-	-	-													
Conn.	35	30	-	-	4	3	-	-													
MID. ATLANTIC	268	270	-	1	-	4	33	29													
Upstate N.Y.	76	91	-	1	-	4	5	4													
N.Y. City	49	60	-	-	-	-	10	10													
N.J.	49	51	-	-	-	-	8	2													
Pa.	94	68	-	-	-	-	10	13													
E.N. CENTRAL	206	242	1	-	3	8	12	37													
Ohio	89	71	-	-	-	2	8	12													
Ind.	48	37	-	-	3	4	-	1													
Ill.	35	81	-	-	-	-	3	19													
Mich.	13	15	1	-	-	2	-	3													
Wis.	21	38	-	-	-	-	1	2													
W.N. CENTRAL	82	66	-	2	3	3	10	5													
Minn.	32	29	-	1	3	3	1	-													
Iowa	-	1	-	1	-	-	-	-													
Mo.	35	24	-	-	-	-	7	4													
N. Dak.	1	3	-	-	-	-	1	-													
S. Dak.	-	-	-	-	-	-	-	-													
Nebr.	6	3	-	-	-	-	1	-													
Kans.	8	6	-	-	-	-	-	1													
S. ATLANTIC	335	295	1	-	21	19	18	21													
Del.	-	-	-	-	-	-	-	-													
Md.	49	47	-	-	5	5	-	-													
D.C.	-	2	-	-	-	-	-	1													
Va.	32	27	-	-	-	-	1	3													
W. Va.	21	10	-	-	1	3	4	-													
N.C.	59	40	1	-	7	5	-	1													
S.C.	20	9	-	-	-	-	1	1													
Ga.	64	85	-	-	-	-	8	15													
Fla.	90	75	-	-	8	6	4	-													
E.S. CENTRAL	81	54	-	1	1	-	14	7													
Ky.	8	5	-	-	1	-	2	-													
Tenn.	56	35	-	-	-	-	8	5													
Ala.	17	12	-	1	-	-	4	2													
Miss.	-	2	-	-	-	-	-	-													
W.S. CENTRAL	77	51	1	1	5	6	6	1													
Ark.	4	1	-	-	1	-	-	-													
La.	28	10	1	-	2	-	6	1													
Okla.	44	39	-	-	2	6	-	-													
Tex.	1	1	-	1	-	-	-	-													
MOUNTAIN	166	141	-	3	13	17	28	16													
Mont.	-	-	-	-	-	-	-	-													
Idaho	3	5	-	-	-	-	1	2													
Wyo.	4	-	-	-	-	-	1	-													
Colo.	34	32	-	-	-	-	9	3													
N. Mex.	15	30	-	-	4	5	1	6													
Ariz.	83	51	-	-	7	7	7	2													
Utah	14	12	-	2	-	2	7	2													
Nev.	13	11	-	1	2	3	2	1													
PACIFIC	74	65	-	-	18	9	8	5													
Wash.	1	1	-	-	-	-	1	1													
Oreg.	28	29	-	-	-	-	5	2													
Calif.	33	24	-	-	18	9	1	1													
Alaska	4	5	-	-	-	-	1	1													
Hawaii	8	6	-	-	-	-	-	-													
Guam	-	-	-	-	-	-	-	-													
P.R.	1	2	-	-	-	-	-	2													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


