
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 10, 2005 (WEEK 36)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	20,405	26,653	623,560	633,821	3,101	3,954	3,457	2,332													
NEW ENGLAND	778	865	22,054	20,625	-	-	158	127													
Maine	11	20	1,509	1,400	N	N	14	16													
N.H.	20	29	1,283	1,163	-	-	20	21													
Vt.	4	13	674	780	-	-	23	21													
Mass.	368	283	9,864	9,038	-	-	58	51													
R.I.	68	98	2,254	2,367	-	-	5	4													
Conn.	307	422	6,470	5,877	N	N	38	14													
MID. ATLANTIC	4,352	5,934	77,907	78,183	-	-	1,502	329													
Upstate N.Y.	800	723	15,376	15,552	N	N	1,290	75													
N.Y. City	2,327	3,242	24,501	24,283	-	-	53	85													
N.J.	574	1,017	12,841	12,313	N	N	16	37													
Pa.	651	952	25,189	26,035	N	N	143	132													
E.N. CENTRAL	1,938	2,339	96,088	112,120	5	10	639	743													
Ohio	312	465	24,139	27,789	N	N	326	169													
Ind.	236	264	12,923	12,699	N	N	34	55													
Ill.	983	1,106	29,604	32,779	-	-	52	128													
Mich.	322	383	16,703	25,946	5	10	64	110													
Wis.	85	121	12,719	12,907	N	N	163	281													
W.N. CENTRAL	463	578	38,634	38,572	5	5	391	284													
Minn.	123	141	7,120	8,110	3	N	80	91													
Iowa	50	47	4,830	4,630	N	N	76	59													
Mo.	198	254	15,380	14,221	1	3	188	55													
N. Dak.	5	15	830	1,236	N	N	-	9													
S. Dak.	10	7	1,881	1,685	-	-	16	23													
Nebr.	18	35	3,837	3,560	1	2	4	24													
Kans.	59	79	4,756	5,130	N	N	27	23													
S. ATLANTIC	6,473	8,273	121,873	119,223	1	-	344	351													
Del.	100	105	2,259	1,954	N	N	-	-													
Md.	812	988	12,807	13,043	1	-	23	14													
D.C.	467	523	2,573	2,417	-	-	7	13													
Va.	307	472	14,310	15,266	-	-	22	38													
W. Va.	36	55	1,808	1,949	N	N	9	4													
N.C.	531	416	22,985	20,104	N	N	44	54													
S.C.	386	504	15,058	13,348	-	-	9	17													
Ga.	1,103	1,161	20,655	22,242	-	-	65	122													
Fla.	2,731	4,049	29,418	28,900	N	N	165	89													
E.S. CENTRAL	1,093	1,322	45,391	41,119	-	5	72	97													
Ky.	135	157	6,446	3,891	N	N	33	29													
Tenn.	434	533	16,560	15,521	N	N	22	29													
Ala.	295	305	8,258	9,394	-	-	15	16													
Miss.	229	327	14,127	12,313	-	5	2	23													
W.S. CENTRAL	2,206	3,151	75,337	78,744	1	2	59	72													
Ark.	72	135	5,872	5,578	-	1	3	13													
La.	436	639	12,572	16,217	1	1	3	3													
Okla.	167	130	7,710	7,735	N	N	33	17													
Tex.	1,531	2,247	49,183	49,214	N	N	20	39													
MOUNTAIN	789	933	36,237	38,605	2,136	2,470	90	129													
Mont.	4	4	1,377	1,674	N	N	14	34													
Idaho	9	16	1,655	1,946	N	N	6	18													
Wyo.	2	13	765	747	3	2	2	3													
Colo.	163	162	9,229	9,783	N	N	32	43													
N. Mex.	72	138	3,272	6,140	9	18	3	11													
Ariz.	329	356	12,440	11,286	2,089	2,392	10	15													
Utah	33	51	2,976	2,559	4	13	15	3													
Nev.	177	193	4,523	4,470	31	45	8	2													
PACIFIC	2,313	3,258	110,039	106,630	953	1,462	202	200													
Wash.	229	288	12,787	12,084	N	N	30	23													
Oreg.	136	216	5,641	5,635	-	-	45	28													
Calif.	1,874	2,658	86,219	82,469	953	1,462	125	147													
Alaska	14	29	2,683	2,638	-	-	1	-													
Hawaii	60	67	2,709	3,804	-	-	1	2													
Guam	1	1	-	789	-	-	-	-													
P.R.	537	396	2,584	2,532	N	N	N	N													
V.I.	10	10	119	259	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


